time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100716	7.0	3.0	80.0	-62.0	30759.7	975.0	9.0	1.0	0.0	1154.0	1.0	111.0	0.0	14	fan	1
8.201003	6.33333	3.0	80.0	-63.0	92913.5	910.0	18.0	3.0	0.0	1195.0	3.0	1954.0	0.0	14	fan	1
8.301376	7.0	3.0	80.0	-63.0	30984.5	975.0	1.0	1.0	0.0	1220.0	1.0	1009.0	0.0	14	fan	1
8.402105	5.0	3.0	80.0	-60.2222	276920.0	780.0	23.0	9.0	9.0	1197.0	0.0	0.0	0.0	14	fan	1
8.503304							7.0	0.0	0.0	1074.0	0.0	0.0	0.0	14	fan	1
8.603392	7.0	3.0	80.0	-63.0	31072.6	975.0	28.0	1.0	0.0	1044.0	1.0	0.0	0.0	14	fan	1
8.703486							18.0	0.0	0.0	1087.0	0.0	0.0	0.0	14	fan	1
8.803917	5.0	3.0	80.0	-61.5743	13038600.0	780.0	22.0	451.0	10.0	1019.0	152.0	1781.0	0.0	14	fan	1
8.905161	5.05714	3.0	80.0	-61.3714	953001.0	785.571	28.0	35.0	0.0	1011.0	15.0	3875.0	0.0	14	fan	1
9.005813	7.0	3.0	80.0	-63.5	61678.1	975.0	0.0	2.0	0.0	1129.0	2.0	1150.0	0.0	14	fan	1
9.105870	5.02273	3.0	80.0	-61.2386	2591490.0	782.216	19.0	88.0	0.0	1021.0	30.0	435.0	0.0	14	fan	1
9.206987	7.0	3.0	80.0	-63.0	30638.0	975.0	0.0	1.0	0.0	1102.0	1.0	0.0	0.0	14	fan	1
9.307437	5.01961	3.0	80.0	-61.6471	2983110.0	781.912	53.0	102.0	7.0	1127.0	33.0	1145.0	0.0	14	fan	1
9.407671	7.0	3.0	80.0	-64.0	61935.1	975.0	7.0	2.0	0.0	1255.0	2.0	585.0	0.0	14	fan	1
9.509005							10.0	0.0	0.0	1251.0	0.0	0.0	0.0	14	fan	1
9.609018							0.0	0.0	0.0	1226.0	0.0	0.0	0.0	14	fan	1
9.709313	5.0	3.0	80.0	-61.5352	11640700.0	780.0	13.0	398.0	9.0	1234.0	138.0	2442.0	0.0	14	fan	1
9.809450	5.0	3.0	80.0	-61.6893	13035700.0	780.0	21.0	441.0	12.0	1218.0	141.0	4191.0	0.0	14	fan	1
9.910752	5.02353	3.0	80.0	-61.5765	5008660.0	782.294	37.0	170.0	0.0	1227.0	59.0	1535.0	0.0	14	fan	1
10.010930	7.0	3.0	80.0	-63.5	61969.3	975.0	5.0	2.0	0.0	1203.0	2.0	393.0	0.0	14	fan	1
10.111817	5.0	3.0	80.0	-61.4615	4259000.0	780.0	12.0	143.0	2.0	1189.0	41.0	4552.0	0.0	14	fan	1
10.213050	5.0	3.0	80.0	-60.0	91808.1	780.0	7.0	3.0	2.0	1240.0	1.0	294.0	0.0	14	fan	1
10.314631	5.00833	3.0	80.0	-61.5792	6983170.0	780.812	7.0	240.0	5.0	1224.0	74.0	2037.0	0.0	14	fan	1
10.415579	5.0	3.0	80.0	-61.7221	13003000.0	780.0	6.0	439.0	3.0	1251.0	146.0	1027.0	0.0	14	fan	1
10.517035	5.00971	3.0	80.0	-61.6117	5937750.0	780.947	17.0	206.0	11.0	1226.0	74.0	7370.0	0.0	14	fan	1
