time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100343	4.0	3.0	80.0	-62.6876	29259300.0	585.0	0.0	989.0	14.0	1010.0	22.0	986.0	0.0	10	horizontal	1
8.200577	4.26954	2.73046	80.0	-64.3669	26100800.0	567.48	38.0	883.0	19.0	1080.0	54.0	1025.0	0.0	10	horizontal	1
8.301196	5.0	2.0	80.0	-69.1096	21826800.0	520.0	36.0	730.0	10.0	1157.0	120.0	6774.0	0.0	10	horizontal	1
8.401551	4.60809	2.39191	80.0	-66.5272	25811600.0	545.474	20.0	865.0	47.0	1155.0	98.0	1272.0	0.0	10	horizontal	1
8.502042	4.0	3.0	80.0	-62.6265	34653000.0	585.0	11.0	1162.0	20.0	1180.0	21.0	0.0	0.0	10	horizontal	1
8.602184	4.0	3.0	80.0	-62.6978	35769100.0	585.0	17.0	1201.0	45.0	1185.0	22.0	0.0	0.0	10	horizontal	1
8.702980	4.0	3.0	80.0	-62.6358	28997400.0	585.0	6.0	994.0	15.0	1015.0	24.0	0.0	0.0	10	horizontal	1
8.803140	4.0	3.0	80.0	-62.674	30967200.0	585.0	30.0	1043.0	65.0	1028.0	22.0	0.0	0.0	10	horizontal	1
8.904475	4.0	3.0	80.0	-62.5845	29636800.0	585.0	6.0	1018.0	24.0	1024.0	20.0	0.0	0.0	10	horizontal	1
9.004683	4.0	3.0	80.0	-62.5562	29862100.0	585.0	13.0	1014.0	36.0	1024.0	26.0	0.0	0.0	10	horizontal	1
9.105121	4.0	3.0	80.0	-62.5068	32611800.0	585.0	16.0	1105.0	46.0	1123.0	29.0	0.0	0.0	10	horizontal	1
9.205668	4.0	3.0	80.0	-62.6879	34168200.0	585.0	5.0	1144.0	18.0	1179.0	27.0	2048.0	0.0	10	horizontal	1
9.305718	4.0	3.0	80.0	-62.6064	34253000.0	585.0	46.0	1151.0	55.0	1149.0	35.0	512.0	0.0	10	horizontal	1
9.406774	4.0	3.0	80.0	-62.5101	33767200.0	585.0	1.0	1137.0	8.0	1169.0	32.0	256.0	0.0	10	horizontal	1
9.507034	4.0	3.0	80.0	-62.6644	34705800.0	585.0	17.0	1165.0	74.0	1118.0	25.0	0.0	0.0	10	horizontal	1
9.607999	4.0	3.0	80.0	-62.654	30875900.0	585.0	0.0	1049.0	10.0	1071.0	21.0	401.0	0.0	10	horizontal	1
9.708308	4.0	3.0	80.0	-62.6106	32769300.0	585.0	14.0	1099.0	67.0	1115.0	30.0	512.0	0.0	10	horizontal	1
9.808643	4.0	3.0	80.0	-62.516	32323900.0	585.0	0.0	1097.0	15.0	1116.0	35.0	512.0	0.0	10	horizontal	1
9.909133	4.0	3.0	80.0	-62.5464	32621800.0	585.0	18.0	1100.0	42.0	1096.0	26.0	0.0	0.0	10	horizontal	1
10.009138	4.0	3.0	80.0	-62.6449	34419200.0	585.0	0.0	1149.0	10.0	1157.0	19.0	0.0	0.0	10	horizontal	1
10.109493	4.0	3.0	80.0	-62.66	32696200.0	585.0	38.0	1100.0	80.0	1081.0	29.0	4097.0	0.0	10	horizontal	1
10.209781	4.0	3.0	80.0	-62.7126	30083400.0	585.0	8.0	1023.0	25.0	1055.0	23.0	0.0	0.0	10	horizontal	1
10.310137	4.0	3.0	80.0	-62.5837	30168700.0	585.0	28.0	1021.0	75.0	997.0	28.0	258.0	0.0	10	horizontal	1
10.410176	4.0	3.0	80.0	-62.6677	29229400.0	585.0	8.0	990.0	10.0	1029.0	31.0	0.0	0.0	10	horizontal	1
10.510263	4.0	3.0	80.0	-62.7528	29287000.0	585.0	16.0	987.0	59.0	973.0	23.0	2304.0	0.0	10	horizontal	1
10.610938	4.0	3.0	80.0	-62.7281	30251200.0	585.0	0.0	1037.0	18.0	1039.0	19.0	256.0	0.0	10	horizontal	1
10.711428	4.0	3.0	80.0	-62.5908	34181300.0	585.0	14.0	1151.0	54.0	1138.0	29.0	2112.0	0.0	10	horizontal	1
10.811448	4.0	3.0	80.0	-62.6575	35903800.0	585.0	3.0	1203.0	48.0	1183.0	16.0	0.0	0.0	10	horizontal	1
10.911590	4.0	3.0	80.0	-62.7391	34296900.0	585.0	23.0	1150.0	65.0	1100.0	13.0	0.0	0.0	10	horizontal	1
11.011812	4.0	3.0	80.0	-62.7852	35456600.0	585.0	31.0	1187.0	36.0	1198.0	21.0	0.0	0.0	10	horizontal	1
11.111834	4.0	3.0	80.0	-62.63	35765200.0	585.0	8.0	1200.0	40.0	1184.0	24.0	136.0	0.0	10	horizontal	1
11.213420	4.0	3.0	80.0	-62.8239	30928800.0	585.0	2.0	1056.0	29.0	1070.0	25.0	0.0	0.0	10	horizontal	1
11.313756	4.0	3.0	80.0	-62.7647	33455400.0	585.0	1.0	1122.0	33.0	1157.0	19.0	0.0	0.0	10	horizontal	1
11.413983	4.0	3.0	80.0	-62.7239	35887400.0	585.0	2.0	1199.0	29.0	1205.0	23.0	0.0	0.0	10	horizontal	1
11.514890	4.0	3.0	80.0	-62.7592	34725600.0	585.0	11.0	1171.0	35.0	1184.0	33.0	192.0	0.0	10	horizontal	1
11.615387	4.0	3.0	80.0	-62.7706	34382800.0	585.0	23.0	1164.0	62.0	1123.0	13.0	0.0	0.0	10	horizontal	1
11.716045	4.0	3.0	80.0	-62.8612	27945600.0	585.0	8.0	958.0	21.0	952.0	20.0	0.0	0.0	10	horizontal	1
11.816132	4.0017	3.0	80.0	-62.7649	34953300.0	585.332	22.0	1174.0	58.0	1165.0	22.0	1744.0	0.0	10	horizontal	1
11.916169	4.00319	3.0	80.0	-62.6935	37658700.0	585.467	3.0	1253.0	14.0	1275.0	26.0	3318.0	0.0	10	horizontal	1
12.016172	4.0	3.0	80.0	-62.8494	38238000.0	585.0	10.0	1268.0	37.0	1291.0	31.0	0.0	0.0	10	horizontal	1
12.116777	4.0	3.0	80.0	-62.8332	39719800.0	585.0	12.0	1325.0	35.0	1330.0	16.0	0.0	0.0	10	horizontal	1
12.217214	4.0	3.0	80.0	-62.8361	37873200.0	585.0	14.0	1263.0	65.0	1257.0	35.0	0.0	0.0	10	horizontal	1
12.318172	4.0	3.0	80.0	-62.8088	38494300.0	585.0	0.0	1292.0	34.0	1271.0	18.0	0.0	0.0	10	horizontal	1
12.418330	4.0	3.0	80.0	-62.8233	39110500.0	585.0	42.0	1302.0	85.0	1259.0	32.0	0.0	0.0	10	horizontal	1
12.518721	4.0	3.0	80.0	-62.8751	39680800.0	585.0	3.0	1321.0	17.0	1353.0	45.0	384.0	0.0	10	horizontal	1
12.618811	4.0	3.0	80.0	-62.9369	33629000.0	585.0	42.0	1126.0	72.0	1124.0	23.0	128.0	0.0	10	horizontal	1
12.722294	4.0	3.0	80.0	-62.8624	38866600.0	585.0	0.0	1330.0	7.0	1344.0	20.0	0.0	0.0	10	horizontal	1
12.822808	4.0	3.0	80.0	-62.8303	40621400.0	585.0	7.0	1355.0	95.0	1321.0	36.0	257.0	0.0	10	horizontal	1
12.923237	4.0	3.0	80.0	-62.8538	38771900.0	585.0	14.0	1293.0	19.0	1328.0	28.0	0.0	0.0	10	horizontal	1
13.023241	4.0	3.0	80.0	-62.9502	38053800.0	585.0	59.0	1264.0	119.0	1188.0	23.0	0.0	0.0	10	horizontal	1
13.123677	4.0	3.0	80.0	-62.9455	39663500.0	585.0	1.0	1321.0	15.0	1342.0	22.0	0.0	0.0	10	horizontal	1
13.224419	4.0	3.0	80.0	-62.8759	38820800.0	585.0	23.0	1297.0	41.0	1280.0	14.0	0.0	0.0	10	horizontal	1
