time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100037	5.02428	3.0	80.0	-67.9097	39085000.0	782.367	2.0	1318.0	47.0	1294.0	7.0	1655.0	0.0	15	left	1
8.200265	5.00146	3.0	80.0	-67.9009	40951400.0	780.142	0.0	1373.0	21.0	1370.0	4.0	0.0	0.0	15	left	1
8.300272	5.0	3.0	80.0	-67.8485	42603300.0	780.0	1.0	1419.0	4.0	1431.0	2.0	0.0	0.0	15	left	1
8.400608	5.0	3.0	80.0	-67.865	41488900.0	780.0	0.0	1385.0	5.0	1402.0	4.0	0.0	0.0	15	left	1
8.500655	5.00586	3.0	80.0	-67.8637	40959000.0	780.571	0.0	1365.0	8.0	1378.0	4.0	0.0	0.0	15	left	1
8.600699	5.00145	3.0	80.0	-67.9465	41442700.0	780.141	0.0	1384.0	14.0	1392.0	4.0	0.0	0.0	15	left	1
8.700896	5.0	3.0	80.0	-67.836	37438800.0	780.0	2.0	1256.0	6.0	1272.0	4.0	0.0	0.0	15	left	1
8.801287	5.00593	3.0	80.0	-67.8331	40310700.0	780.579	1.0	1348.0	16.0	1351.0	5.0	0.0	0.0	15	left	1
8.901780	5.00151	3.0	80.0	-67.7896	39652100.0	780.147	0.0	1326.0	5.0	1337.0	3.0	0.0	0.0	15	left	1
9.001833	5.0	3.0	80.0	-67.8322	39149600.0	780.0	0.0	1311.0	3.0	1331.0	3.0	0.0	0.0	15	left	1
9.102676	5.0	3.0	80.0	-67.8908	38796300.0	780.0	0.0	1309.0	10.0	1317.0	4.0	6.0	0.0	15	left	1
9.203165	5.00596	3.0	80.0	-67.8407	39770300.0	780.581	0.0	1343.0	8.0	1360.0	4.0	0.0	0.0	15	left	1
9.303172	5.0	3.0	80.0	-67.7947	39477200.0	780.0	1.0	1320.0	1.0	1336.0	4.0	0.0	0.0	15	left	1
9.403193	5.0	3.0	80.0	-67.7489	39426900.0	780.0	1.0	1322.0	5.0	1340.0	4.0	0.0	0.0	15	left	1
9.504385	5.0	3.0	80.0	-67.7208	36048200.0	780.0	0.0	1225.0	4.0	1243.0	3.0	0.0	0.0	15	left	1
9.604932	5.0	3.0	80.0	-67.9076	34818200.0	780.0	0.0	1180.0	5.0	1191.0	4.0	0.0	0.0	15	left	1
9.705306	5.0	3.0	80.0	-67.8579	39506200.0	780.0	0.0	1330.0	4.0	1349.0	4.0	0.0	0.0	15	left	1
