time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101258	7.0	3.0	80.0	-62.1509	1623910.0	975.0	65.0	53.0	5.0	1391.0	48.0	16931.0	0.0	12	vertical	1
8.201918	7.0	3.0	80.0	-62.6875	1463920.0	975.0	3.0	48.0	1.0	1438.0	47.0	14071.0	0.0	12	vertical	1
8.302319	5.04843	3.0	80.0	-60.6823	21069900.0	784.722	21.0	702.0	11.0	1443.0	32.0	8279.0	0.0	12	vertical	1
8.406467	5.0016	3.0	80.0	-60.9696	35983100.0	780.156	1.0	1252.0	11.0	1446.0	142.0	1257.0	0.0	12	vertical	1
8.507723	5.01432	2.99523	80.0	-61.0406	24846400.0	780.0	15.0	838.0	32.0	1411.0	84.0	385.0	0.0	12	vertical	1
8.608744	7.47588	2.00965	80.0	-64.3537	9213390.0	715.627	65.0	311.0	27.0	1318.0	100.0	2651.0	0.0	12	vertical	1
8.709861	5.14866	2.9342	80.0	-61.2396	36210800.0	773.664	25.0	1231.0	53.0	1314.0	77.0	1098.0	0.0	12	vertical	1
8.809879	5.0	3.0	80.0	-60.5204	40429500.0	780.0	2.0	1347.0	27.0	1426.0	82.0	0.0	0.0	12	vertical	1
8.911110	5.0	3.0	80.0	-60.75	37617700.0	780.0	5.0	1272.0	8.0	1422.0	115.0	1153.0	0.0	12	vertical	1
9.011204	5.0	3.0	80.0	-61.5244	38359800.0	780.0	6.0	1289.0	23.0	1461.0	144.0	3989.0	0.0	12	vertical	1
9.111330	5.0	3.0	80.0	-61.1384	40327100.0	780.0	0.0	1351.0	4.0	1441.0	80.0	5121.0	0.0	12	vertical	1
9.211481	5.0	3.0	80.0	-60.6117	38861700.0	780.0	10.0	1303.0	20.0	1377.0	79.0	2049.0	0.0	12	vertical	1
9.311767	5.0	3.0	80.0	-60.7081	40383200.0	780.0	5.0	1350.0	11.0	1438.0	90.0	1662.0	0.0	12	vertical	1
9.411940	5.0	3.0	80.0	-60.9038	39856300.0	780.0	2.0	1331.0	2.0	1435.0	73.0	7047.0	0.0	12	vertical	1
9.511946	5.0	3.0	80.0	-60.6023	39150600.0	780.0	4.0	1310.0	10.0	1419.0	96.0	770.0	0.0	12	vertical	1
9.612211	5.00303	3.0	80.0	-60.5821	39493900.0	780.295	3.0	1321.0	5.0	1426.0	39.0	640.0	0.0	12	vertical	1
9.712230	5.0557	3.0	80.0	-60.7127	23502300.0	785.43	58.0	790.0	20.0	1321.0	48.0	3831.0	0.0	12	vertical	1
9.812997	5.0	3.0	80.0	-60.6397	30423200.0	780.0	2.0	1038.0	12.0	1093.0	48.0	64.0	0.0	12	vertical	1
9.914103	5.0	3.0	80.0	-60.6578	36599400.0	780.0	1.0	1242.0	1.0	1294.0	37.0	0.0	0.0	12	vertical	1
10.014148	5.0	3.0	80.0	-60.7985	39050300.0	780.0	1.0	1315.0	10.0	1382.0	59.0	2271.0	0.0	12	vertical	1
10.115591	5.0	3.0	80.0	-60.9826	37222500.0	780.0	8.0	1265.0	13.0	1349.0	71.0	1024.0	0.0	12	vertical	1
10.215602	5.0	3.0	80.0	-60.8612	39927200.0	780.0	0.0	1340.0	0.0	1441.0	84.0	0.0	0.0	12	vertical	1
10.316311	5.0	3.0	80.0	-60.9193	34282200.0	780.0	1.0	1165.0	22.0	1271.0	95.0	0.0	0.0	12	vertical	1
10.416401	5.00753	3.0	80.0	-60.8079	31560400.0	780.734	21.0	1062.0	5.0	1367.0	62.0	1434.0	0.0	12	vertical	1
10.517650	5.0181	3.0	80.0	-60.562	32530000.0	781.765	34.0	1105.0	19.0	1328.0	61.0	3168.0	0.0	12	vertical	1
10.617729	5.0	3.0	80.0	-60.7846	37370900.0	780.0	2.0	1249.0	8.0	1371.0	77.0	0.0	0.0	12	vertical	1
10.717782	5.0	3.0	80.0	-60.7657	37927000.0	780.0	5.0	1272.0	5.0	1338.0	61.0	1152.0	0.0	12	vertical	1
10.817842	5.0	3.0	80.0	-60.7655	32372900.0	780.0	2.0	1100.0	14.0	1208.0	84.0	2526.0	0.0	12	vertical	1
10.918140	5.00163	3.0	80.0	-60.6879	36534400.0	780.159	11.0	1227.0	20.0	1345.0	100.0	5632.0	0.0	12	vertical	1
11.018208	5.0	3.0	80.0	-59.8163	36589600.0	780.0	3.0	1230.0	17.0	1347.0	91.0	512.0	0.0	12	vertical	1
11.118266	5.0	3.0	80.0	-59.7075	35183000.0	780.0	2.0	1183.0	13.0	1357.0	112.0	0.0	0.0	12	vertical	1
11.219595	5.00162	3.0	80.0	-59.7018	36376700.0	780.158	2.0	1234.0	5.0	1355.0	98.0	256.0	0.0	12	vertical	1
11.320461	5.0	3.0	80.0	-59.764	35393200.0	780.0	3.0	1199.0	16.0	1352.0	102.0	4114.0	0.0	12	vertical	1
11.420936	5.00679	3.0	80.0	-59.7956	34928700.0	780.662	15.0	1179.0	20.0	1357.0	91.0	3850.0	0.0	12	vertical	1
11.521269	5.0	3.0	80.0	-59.8143	36226700.0	780.0	8.0	1217.0	19.0	1421.0	134.0	6803.0	0.0	12	vertical	1
11.621274	5.0	3.0	80.0	-59.7632	38996200.0	780.0	4.0	1305.0	7.0	1431.0	92.0	2113.0	0.0	12	vertical	1
11.721928	5.0	3.0	80.0	-59.778	38218200.0	780.0	0.0	1284.0	1.0	1429.0	95.0	2178.0	0.0	12	vertical	1
11.822508	5.0	3.0	80.0	-59.6037	37348600.0	780.0	6.0	1249.0	11.0	1401.0	120.0	1024.0	0.0	12	vertical	1
11.922839	5.0	3.0	80.0	-59.6847	36183600.0	780.0	5.0	1218.0	7.0	1375.0	125.0	1025.0	0.0	12	vertical	1
12.024042	5.0	3.0	80.0	-59.7488	35501000.0	780.0	9.0	1202.0	34.0	1328.0	87.0	2176.0	0.0	12	vertical	1
12.125318	5.0	3.0	80.0	-59.8422	34996300.0	780.0	0.0	1198.0	6.0	1303.0	74.0	128.0	0.0	12	vertical	1
12.225535	5.0	3.0	80.0	-59.7255	39638700.0	780.0	13.0	1326.0	17.0	1449.0	97.0	4099.0	0.0	12	vertical	1
12.326497	5.0	3.0	80.0	-59.8399	39668900.0	780.0	13.0	1337.0	19.0	1412.0	79.0	2833.0	0.0	12	vertical	1
12.426837	5.0	3.0	80.0	-59.7385	37524900.0	780.0	2.0	1262.0	3.0	1356.0	81.0	321.0	0.0	12	vertical	1
12.527525	5.0	3.0	80.0	-59.8094	37008900.0	780.0	6.0	1249.0	17.0	1351.0	94.0	2048.0	0.0	12	vertical	1
12.627528	5.0	3.0	80.0	-59.7716	35390000.0	780.0	13.0	1191.0	21.0	1347.0	97.0	320.0	0.0	12	vertical	1
12.729625	5.0	3.0	80.0	-59.749	35798400.0	780.0	3.0	1223.0	4.0	1349.0	81.0	2048.0	0.0	12	vertical	1
12.829764	5.01589	3.0	80.0	-59.7467	33772800.0	781.549	27.0	1133.0	36.0	1346.0	92.0	2194.0	0.0	12	vertical	1
12.931199	5.0	3.0	80.0	-59.6864	32451300.0	780.0	2.0	1113.0	13.0	1232.0	98.0	1024.0	0.0	12	vertical	1
13.031347	5.00154	3.0	80.0	-59.7772	38361500.0	780.15	5.0	1297.0	9.0	1400.0	69.0	0.0	0.0	12	vertical	1
13.131743	5.0	3.0	80.0	-59.7112	36961800.0	780.0	3.0	1243.0	13.0	1373.0	106.0	2045.0	0.0	12	vertical	1
13.231972	5.01031	3.0	80.0	-59.7663	34519700.0	781.005	31.0	1164.0	11.0	1369.0	90.0	2565.0	0.0	12	vertical	1
13.332403	5.00349	3.0	80.0	-59.7493	34014300.0	780.341	23.0	1145.0	20.0	1335.0	96.0	6081.0	0.0	12	vertical	1
13.432443	5.0	3.0	80.0	-59.7306	36505600.0	780.0	7.0	1225.0	11.0	1345.0	101.0	1664.0	0.0	12	vertical	1
13.532479	5.00159	3.0	80.0	-59.8561	37635300.0	780.155	1.0	1258.0	2.0	1352.0	81.0	1506.0	0.0	12	vertical	1
13.633726	5.01887	3.0	80.0	-59.8094	31138200.0	781.84	45.0	1060.0	18.0	1379.0	79.0	4565.0	0.0	12	vertical	1
