time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100131	7.0	3.0	79.7421	-40.245	36477400.0	971.616	25.0	1241.0	40.0	1196.0	1.0	2168.0	0.0	1	vertical	0
8.200939	7.0	3.0	78.7879	-40.1462	38539400.0	959.091	17.0	1320.0	41.0	1280.0	3.0	0.0	0.0	1	vertical	0
8.302054	7.00077	3.0	79.5988	-40.3542	37568400.0	969.884	14.0	1296.0	38.0	1262.0	2.0	0.0	0.0	1	vertical	0
8.402669	7.00313	3.0	77.8056	-40.2312	37498000.0	946.481	29.0	1276.0	65.0	1223.0	3.0	0.0	0.0	1	vertical	0
8.503789	7.0046	3.0	79.387	-40.2651	38111000.0	967.529	8.0	1305.0	48.0	1253.0	3.0	513.0	0.0	1	vertical	0
8.603793	7.0	3.0	77.9535	-40.1643	38071300.0	948.14	15.0	1290.0	29.0	1265.0	1.0	0.0	0.0	1	vertical	0
8.705408	7.00313	3.0	78.6541	-40.3044	36909000.0	957.617	17.0	1278.0	39.0	1239.0	2.0	1024.0	0.0	1	vertical	0
8.805451	7.00077	3.0	77.4253	-40.1962	38520300.0	941.356	22.0	1305.0	40.0	1268.0	1.0	0.0	0.0	1	vertical	0
8.905506	6.99759	3.0	78.7961	-40.2151	36583300.0	959.622	9.0	1246.0	54.0	1203.0	3.0	0.0	0.0	1	vertical	0
9.006569	7.00309	3.0	78.2099	-40.2971	37886400.0	951.782	18.0	1296.0	50.0	1250.0	1.0	0.0	0.0	1	vertical	0
9.108208	7.0	3.0	79.5761	-40.3793	38329300.0	969.436	13.0	1321.0	39.0	1287.0	2.0	0.0	0.0	1	vertical	0
9.208213	7.0031	3.0	78.2043	-40.37	37982300.0	951.711	16.0	1292.0	34.0	1252.0	2.0	0.0	0.0	1	vertical	0
9.308999	7.00319	3.0	79.49	-40.3594	36565300.0	968.594	8.0	1255.0	18.0	1241.0	1.0	0.0	0.0	1	vertical	0
9.409397	7.0	3.0	77.8898	-40.3406	37634400.0	947.304	11.0	1289.0	32.0	1260.0	1.0	0.0	0.0	1	vertical	0
9.509640	7.0	3.0	79.6823	-40.3916	37082800.0	970.83	19.0	1259.0	40.0	1222.0	2.0	0.0	0.0	1	vertical	0
9.609760	7.00313	3.0	77.9013	-40.3367	37503600.0	947.737	14.0	1277.0	24.0	1254.0	1.0	0.0	0.0	1	vertical	0
9.710821	7.00078	3.0	79.5918	-40.5518	36899200.0	969.796	10.0	1274.0	39.0	1239.0	2.0	0.0	0.0	1	vertical	0
