time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100312	7.72222	3.0	54.4444	-56.6389	1067720.0	713.333	33.0	36.0	0.0	1169.0	14.0	7019.0	0.0	5	fan	1
8.200509	8.09302	3.0	40.9302	-55.8372	1255050.0	560.233	34.0	43.0	3.0	1170.0	10.0	951.0	0.0	5	fan	1
8.301618	7.04063	3.0	78.5553	-58.2133	25765000.0	959.56	17.0	886.0	9.0	1210.0	63.0	2611.0	0.0	5	fan	1
8.402608	7.01451	3.0	79.4198	-58.3554	31844400.0	968.69	1.0	1103.0	9.0	1172.0	72.0	1024.0	0.0	5	fan	1
8.502925	7.03219	3.0	78.8412	-58.2564	26952500.0	962.591	5.0	932.0	0.0	1231.0	69.0	1715.0	0.0	5	fan	1
8.603502	8.31579	3.0	40.0	-56.5789	585960.0	558.947	26.0	19.0	0.0	1135.0	6.0	1081.0	0.0	5	fan	1
8.704185	8.11111	3.0	42.963	-56.5556	786507.0	593.333	25.0	27.0	4.0	1242.0	9.0	2813.0	0.0	5	fan	1
8.804186	7.10052	3.0	76.3918	-58.1894	22638600.0	936.727	6.0	776.0	18.0	1167.0	54.0	2393.0	0.0	5	fan	1
8.904333	7.02696	3.0	79.0957	-58.367	33413800.0	965.426	6.0	1150.0	13.0	1206.0	64.0	2232.0	0.0	5	fan	1
9.004996	7.02203	3.0	79.1188	-58.3726	30297500.0	965.417	1.0	1044.0	2.0	1124.0	67.0	1280.0	0.0	5	fan	1
9.105489	7.03436	3.0	78.8712	-58.3202	23522100.0	963.092	12.0	815.0	9.0	1184.0	53.0	546.0	0.0	5	fan	1
9.205992	8.12903	3.0	42.5806	-56.4839	926514.0	588.387	26.0	31.0	0.0	1185.0	8.0	1055.0	0.0	5	fan	1
9.307133	8.13636	3.0	40.0	-56.0	629677.0	548.182	33.0	22.0	0.0	1227.0	6.0	1071.0	0.0	5	fan	1
9.408288	8.42308	3.0	40.0	-56.3846	767181.0	565.385	37.0	26.0	4.0	1152.0	7.0	1470.0	0.0	5	fan	1
9.509076	8.0	3.0	41.8182	-56.3636	616738.0	568.636	50.0	22.0	3.0	1212.0	5.0	815.0	0.0	5	fan	1
9.609384	7.15578	3.0	74.9749	-58.1658	5834760.0	922.839	33.0	199.0	16.0	1178.0	21.0	1063.0	0.0	5	fan	1
9.709838	7.02065	3.0	79.1741	-58.3977	32187600.0	966.019	1.0	1114.0	5.0	1182.0	72.0	4293.0	0.0	5	fan	1
9.809851	7.04619	3.0	78.4758	-58.4388	25275100.0	958.909	10.0	866.0	4.0	1208.0	44.0	201.0	0.0	5	fan	1
9.910193	8.125	3.0	50.0	-56.875	232027.0	705.0	33.0	8.0	2.0	1190.0	3.0	1576.0	0.0	5	fan	1
10.010557	8.0	3.0	40.0	-56.3824	1020050.0	540.0	32.0	34.0	0.0	1210.0	6.0	1047.0	0.0	5	fan	1
10.111379	8.24138	3.0	41.3793	-56.069	862131.0	576.207	38.0	29.0	1.0	1221.0	7.0	522.0	0.0	5	fan	1
10.211643	7.05675	3.0	78.0431	-58.3542	14928000.0	954.188	35.0	511.0	6.0	1174.0	34.0	440.0	0.0	5	fan	1
10.312109	7.02919	3.0	78.8326	-58.3794	19037800.0	962.304	10.0	651.0	7.0	1208.0	35.0	0.0	0.0	5	fan	1
10.412114	7.02927	3.0	78.8293	-58.4195	23822000.0	962.268	24.0	820.0	4.0	1181.0	48.0	2968.0	0.0	5	fan	1
10.513228	7.02665	3.0	79.0074	-58.4173	31388700.0	964.315	9.0	1088.0	6.0	1203.0	54.0	259.0	0.0	5	fan	1
10.614120	7.05455	3.0	78.9495	-58.4303	14239900.0	965.545	27.0	495.0	12.0	1161.0	46.0	274.0	0.0	5	fan	1
10.714128	8.27778	3.0	40.0	-56.0	558314.0	556.667	26.0	18.0	1.0	1225.0	7.0	1093.0	0.0	5	fan	1
10.814808	8.44444	3.0	45.9259	-56.7778	801928.0	660.0	26.0	27.0	0.0	1198.0	12.0	2759.0	0.0	5	fan	1
10.914822	8.12121	3.0	42.4242	-56.0303	992885.0	585.455	22.0	33.0	7.0	1184.0	7.0	2083.0	0.0	5	fan	1
11.014858	8.125	3.0	45.0	-57.0	961934.0	626.25	25.0	32.0	1.0	1225.0	10.0	1711.0	0.0	5	fan	1
11.115612	8.0	3.0	42.7586	-56.5517	817394.0	583.448	27.0	29.0	0.0	1203.0	8.0	848.0	0.0	5	fan	1
11.216277	8.68421	3.0	42.1053	-56.1579	510365.0	614.211	28.0	19.0	3.0	1136.0	9.0	1034.0	0.0	5	fan	1
11.317238	7.33871	3.0	74.1935	-57.8548	1843810.0	930.0	48.0	62.0	4.0	1192.0	11.0	1093.0	0.0	5	fan	1
11.417241	7.02674	3.0	78.9305	-58.3494	32715100.0	963.369	9.0	1122.0	8.0	1229.0	74.0	6093.0	0.0	5	fan	1
