time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100000	7.01842	3.0	80.0	-40.5372	38278800.0	978.592	33.0	1303.0	94.0	1203.0	1.0	303.0	0.0	0	horizontal	1
8.200006	7.0	3.0	80.0	-40.5966	37684000.0	975.0	15.0	1279.0	64.0	1219.0	1.0	0.0	0.0	0	horizontal	1
8.300940	7.00619	3.0	80.0	-40.5	37602400.0	976.207	19.0	1292.0	101.0	1197.0	4.0	0.0	0.0	0	horizontal	1
8.401266	7.0	3.0	80.0	-40.4107	38140800.0	975.0	24.0	1305.0	85.0	1213.0	0.0	0.0	0.0	0	horizontal	1
8.501483	7.18182	3.0	80.0	-40.6996	33440400.0	1010.45	23.0	1155.0	98.0	1091.0	14.0	0.0	0.0	0	horizontal	1
8.601628	7.0839	3.0	80.0	-40.6284	34138900.0	991.361	28.0	1168.0	134.0	1052.0	7.0	0.0	0.0	0	horizontal	1
8.702484	7.0	3.0	80.0	-40.5084	38440100.0	975.0	10.0	1312.0	98.0	1210.0	1.0	0.0	0.0	0	horizontal	1
8.802829	7.29226	3.0	80.0	-40.8254	37320800.0	1031.99	66.0	1266.0	183.0	1139.0	23.0	193.0	0.0	0	horizontal	1
8.904226	7.02887	3.0	80.0	-40.5822	36264800.0	980.63	25.0	1247.0	57.0	1199.0	5.0	0.0	0.0	0	horizontal	1
9.005438	7.02366	3.0	80.0	-40.5662	36869600.0	979.614	16.0	1268.0	75.0	1202.0	3.0	0.0	0.0	0	horizontal	1
9.105443	7.0	3.0	80.0	-40.5024	37148100.0	975.0	6.0	1268.0	53.0	1198.0	1.0	0.0	0.0	0	horizontal	1
9.205910	7.41686	3.0	80.0	-40.9768	37925300.0	1056.29	65.0	1293.0	187.0	1196.0	32.0	1024.0	0.0	0	horizontal	1
9.306355	7.02194	3.0	80.0	-40.5533	37442700.0	979.279	22.0	1276.0	94.0	1185.0	2.0	0.0	0.0	0	horizontal	1
9.406717	7.00336	3.0	80.0	-40.5466	34939800.0	975.655	12.0	1191.0	106.0	1085.0	0.0	0.0	0.0	0	horizontal	1
