time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100711	7.0	3.0	80.0	-49.3206	11322300.0	975.0	15.0	393.0	39.0	1146.0	173.0	6530.0	0.0	2	left	1
8.201560	7.0	3.0	80.0	-49.2061	14457000.0	975.0	6.0	495.0	25.0	1238.0	233.0	2315.0	0.0	2	left	1
8.302188	5.25051	3.0	80.0	-47.5596	28861200.0	804.424	28.0	990.0	19.0	1212.0	59.0	2046.0	0.0	2	left	1
8.403144	6.92275	3.0	80.0	-49.1266	13641200.0	967.468	5.0	466.0	17.0	1205.0	200.0	1483.0	0.0	2	left	1
8.503466	7.24219	2.79688	80.0	-49.1836	7461300.0	936.863	6.0	256.0	19.0	1235.0	114.0	4098.0	0.0	2	left	1
8.604146	8.96552	2.01724	80.0	-49.5345	1682290.0	867.879	3.0	58.0	2.0	1198.0	37.0	716.0	0.0	2	left	1
8.705734	5.87764	2.96414	80.0	-48.0485	13781300.0	854.667	14.0	474.0	24.0	1223.0	94.0	3524.0	0.0	2	left	1
8.807002	7.0	3.0	80.0	-49.3305	13434600.0	975.0	1.0	466.0	13.0	1226.0	207.0	5545.0	0.0	2	left	1
8.907402	7.0	3.0	80.0	-49.3169	14152100.0	975.0	15.0	486.0	17.0	1225.0	201.0	2582.0	0.0	2	left	1
9.008403	7.0	3.0	80.0	-49.3475	13878300.0	975.0	3.0	472.0	19.0	1246.0	209.0	8902.0	0.0	2	left	1
9.109046	6.06032	3.0	80.0	-48.419	18537500.0	883.381	5.0	630.0	22.0	1183.0	142.0	2664.0	0.0	2	left	1
9.210378	7.0	3.0	80.0	-49.3151	12688000.0	975.0	9.0	438.0	10.0	1253.0	205.0	6177.0	0.0	2	left	1
9.311183	6.91925	2.97205	80.0	-49.1522	9455780.0	958.702	44.0	322.0	21.0	1174.0	146.0	4203.0	0.0	2	left	1
9.411895	8.72464	2.10145	75.6522	-48.8696	2049970.0	820.536	3.0	69.0	1.0	1225.0	49.0	1298.0	0.0	2	left	1
