time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100270	7.0	3.0	79.7273	-56.2364	25466500.0	971.42	0.0	880.0	14.0	1064.0	113.0	4000.0	0.0	19	vertical	1
8.200274	7.0	3.0	79.8144	-56.1833	24825600.0	972.564	3.0	862.0	24.0	1048.0	125.0	4224.0	0.0	19	vertical	1
8.301323	7.0	3.0	80.0	-56.2849	25741100.0	975.0	2.0	888.0	19.0	1051.0	124.0	4608.0	0.0	19	vertical	1
8.401929	7.0	3.0	79.8638	-56.2316	25653200.0	973.212	17.0	881.0	31.0	1069.0	125.0	3202.0	0.0	19	vertical	1
8.502160	7.0	3.0	80.0	-56.246	25043500.0	975.0	1.0	866.0	14.0	1072.0	122.0	1216.0	0.0	19	vertical	1
8.603046	7.0	3.0	80.0	-56.2286	25233700.0	975.0	2.0	875.0	16.0	1040.0	129.0	262.0	0.0	19	vertical	1
8.703051	7.0	3.0	80.0	-56.257	24855500.0	975.0	0.0	860.0	20.0	1060.0	131.0	6396.0	0.0	19	vertical	1
8.803672	7.0	3.0	79.8434	-56.2094	14371200.0	972.945	1.0	511.0	19.0	623.0	77.0	0.0	0.0	19	vertical	1
8.904802	7.0	3.0	80.0	-56.2827	18278800.0	975.0	0.0	665.0	10.0	795.0	85.0	1024.0	0.0	19	vertical	1
9.004991	7.0	3.0	79.7704	-56.1765	19471600.0	971.987	16.0	697.0	22.0	772.0	75.0	3202.0	0.0	19	vertical	1
9.105157	7.0	3.0	79.7365	-56.2833	21510300.0	971.542	0.0	759.0	13.0	914.0	110.0	3332.0	0.0	19	vertical	1
9.205656	7.0	3.0	80.0	-56.2516	18084200.0	975.0	0.0	628.0	7.0	779.0	89.0	2369.0	0.0	19	vertical	1
9.306970	7.00107	3.0	79.6158	-56.2134	26992700.0	970.053	0.0	937.0	28.0	1107.0	112.0	2176.0	0.0	19	vertical	1
9.407772	7.0	3.0	79.6989	-56.1914	26718100.0	971.048	0.0	930.0	21.0	1114.0	116.0	7233.0	0.0	19	vertical	1
9.507804	7.0	3.0	79.8673	-56.2799	26346400.0	973.258	0.0	904.0	24.0	1086.0	119.0	4641.0	0.0	19	vertical	1
9.608681	7.0	3.0	80.0	-56.3625	25679800.0	975.0	1.0	891.0	22.0	1096.0	118.0	1024.0	0.0	19	vertical	1
9.708688	7.0	3.0	79.6495	-56.2399	26494800.0	970.4	2.0	913.0	41.0	1109.0	136.0	2049.0	0.0	19	vertical	1
9.809454	7.0	3.0	80.0	-56.3565	27078600.0	975.0	0.0	937.0	27.0	1111.0	109.0	641.0	0.0	19	vertical	1
9.910592	7.0	3.0	79.8259	-56.2829	26247800.0	972.715	1.0	919.0	18.0	1094.0	108.0	0.0	0.0	19	vertical	1
10.010632	7.0	3.0	80.0	-56.3822	25756400.0	975.0	0.0	887.0	24.0	1081.0	126.0	1185.0	0.0	19	vertical	1
10.110964	7.0	3.0	79.6004	-56.2475	26265200.0	969.756	1.0	901.0	29.0	1071.0	117.0	65.0	0.0	19	vertical	1
10.211604	7.0	3.0	79.8611	-56.3947	24849000.0	973.177	0.0	864.0	16.0	1098.0	140.0	0.0	0.0	19	vertical	1
10.312775	7.0	3.0	79.6756	-56.2793	25002100.0	970.742	0.0	863.0	25.0	1076.0	127.0	3557.0	0.0	19	vertical	1
10.413351	7.0	3.0	79.8236	-56.1786	25993500.0	972.685	0.0	907.0	21.0	1115.0	130.0	2178.0	0.0	19	vertical	1
10.513373	7.0	3.0	80.0	-56.1272	26071100.0	975.0	0.0	896.0	23.0	1073.0	106.0	1154.0	0.0	19	vertical	1
10.613398	7.0	3.0	80.0	-56.4124	26164900.0	975.0	17.0	902.0	35.0	1066.0	107.0	3328.0	0.0	19	vertical	1
10.713398	6.44828	3.0	79.7414	-56.6379	13692400.0	917.812	28.0	464.0	24.0	1080.0	103.0	5053.0	0.0	19	vertical	1
10.814027	5.31388	3.0	79.6781	-55.998	14369200.0	806.378	16.0	497.0	20.0	1079.0	64.0	3950.0	0.0	19	vertical	1
10.914353	5.21788	2.99162	79.5531	-55.6899	10491400.0	792.83	17.0	358.0	26.0	1023.0	26.0	3541.0	0.0	19	vertical	1
11.014548	7.33333	2.83333	53.3333	-55.0	185878.0	606.833	0.0	6.0	4.0	1072.0	2.0	2800.0	0.0	19	vertical	1
11.114677	8.0	2.5	80.0	-56.0	62000.0	920.5	2.0	2.0	0.0	1072.0	2.0	644.0	0.0	19	vertical	1
11.214939	5.06667	3.0	79.7333	-56.1333	13190700.0	783.0	22.0	450.0	45.0	1051.0	10.0	857.0	0.0	19	vertical	1
11.315884	7.0	3.0	80.0	-57.0	30808.8	975.0	3.0	1.0	0.0	1085.0	1.0	170.0	0.0	19	vertical	1
11.415938	7.0	3.0	80.0	-57.0	31083.4	975.0	4.0	1.0	0.0	1072.0	1.0	1418.0	0.0	19	vertical	1
11.517135	7.0	3.0	77.9661	-56.7458	1748490.0	948.305	5.0	59.0	7.0	1091.0	49.0	6339.0	0.0	19	vertical	1
11.618354	7.0	3.0	78.5714	-57.1905	2514350.0	956.25	20.0	84.0	10.0	1079.0	65.0	3732.0	0.0	19	vertical	1
11.718406	5.00781	3.0	80.0	-55.5703	7525210.0	780.762	18.0	256.0	12.0	1055.0	12.0	231.0	0.0	19	vertical	1
11.819055	7.0	3.0	20.0	-52.0	92460.0	216.0	7.0	3.0	3.0	1060.0	0.0	0.0	0.0	19	vertical	1
11.919221							1.0	0.0	0.0	1093.0	0.0	0.0	0.0	19	vertical	1
12.019906							0.0	0.0	0.0	1026.0	0.0	0.0	0.0	19	vertical	1
12.120484							0.0	0.0	0.0	1012.0	0.0	0.0	0.0	19	vertical	1
12.221542							0.0	0.0	0.0	1373.0	0.0	0.0	0.0	19	vertical	1
12.322829	7.0	3.0	53.3333	-56.0	91877.7	625.0	4.0	3.0	2.0	1401.0	1.0	0.0	0.0	19	vertical	1
12.424330	7.0	3.0	80.0	-57.25	122087.0	975.0	7.0	4.0	1.0	1408.0	3.0	3346.0	0.0	19	vertical	1
12.525733	7.0	3.0	64.0	-55.6	153231.0	765.0	2.0	5.0	2.0	1282.0	3.0	725.0	0.0	19	vertical	1
12.626133	7.0	3.0	80.0	-58.0	30976.0	975.0	10.0	1.0	0.0	1391.0	1.0	987.0	0.0	19	vertical	1
12.726156							32.0	0.0	0.0	1397.0	0.0	0.0	0.0	19	vertical	1
12.827101							1.0	0.0	0.0	1349.0	0.0	0.0	0.0	19	vertical	1
12.929111	5.0	3.0	80.0	-55.7089	2341830.0	780.0	54.0	79.0	9.0	1394.0	49.0	2354.0	0.0	19	vertical	1
13.029876	5.0	3.0	80.0	-56.0885	3446600.0	780.0	3.0	113.0	3.0	1378.0	72.0	0.0	0.0	19	vertical	1
13.130845							0.0	0.0	0.0	1371.0	0.0	0.0	0.0	19	vertical	1
13.232032							1.0	0.0	0.0	1419.0	0.0	0.0	0.0	19	vertical	1
13.332158							0.0	0.0	0.0	1414.0	0.0	0.0	0.0	19	vertical	1
13.432390							2.0	0.0	0.0	1418.0	0.0	0.0	0.0	19	vertical	1
13.532731	7.0	3.0	40.0	-54.0	61869.3	450.0	3.0	2.0	2.0	1418.0	0.0	0.0	0.0	19	vertical	1
13.632847							0.0	0.0	0.0	1459.0	0.0	0.0	0.0	19	vertical	1
13.733459							9.0	0.0	0.0	1373.0	0.0	0.0	0.0	19	vertical	1
13.833793	9.0	2.0	80.0	-58.0	30876.6	866.0	1.0	1.0	0.0	1424.0	1.0	0.0	0.0	19	vertical	1
13.934482							6.0	0.0	0.0	1394.0	0.0	0.0	0.0	19	vertical	1
