time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101083	5.0	3	80.0	-49.6977	35465400.0	780.0	0.0	1214.0	5.0	1220.0	14.0	2517.0	0.0	3	vertical	0
8.203585	5.0	3	80.0	-49.8183	34528300.0	780.0	6.0	1189.0	11.0	1226.0	13.0	0.0	0.0	3	vertical	0
8.303810	5.30996	3	80.0	-50.1919	8171480.0	810.221	32.0	271.0	2.0	1243.0	42.0	9674.0	0.0	3	vertical	0
8.405731	7.0	3	80.0	-51.7111	1310760.0	975.0	36.0	45.0	0.0	1232.0	44.0	8951.0	0.0	3	vertical	0
8.506201	7.0	3	80.0	-51.7727	1329230.0	975.0	58.0	44.0	6.0	1265.0	37.0	12922.0	0.0	3	vertical	0
8.607364	7.0	3	80.0	-51.66	1488550.0	975.0	33.0	50.0	5.0	1216.0	42.0	6231.0	0.0	3	vertical	0
8.707367	5.1	3	80.0	-49.965	17723200.0	789.75	43.0	600.0	18.0	1246.0	30.0	2288.0	0.0	3	vertical	0
8.807539	7.0	3	80.0	-51.6667	1612690.0	975.0	30.0	54.0	2.0	1192.0	50.0	11616.0	0.0	3	vertical	0
8.908752	7.0	3	80.0	-51.6667	1441800.0	975.0	69.0	48.0	2.0	1268.0	44.0	4731.0	0.0	3	vertical	0
9.008818	7.0	3	80.0	-51.7447	1427950.0	975.0	39.0	47.0	3.0	1225.0	44.0	8354.0	0.0	3	vertical	0
9.109079	7.0	3	80.0	-51.7925	1611420.0	975.0	36.0	53.0	3.0	1251.0	49.0	7935.0	0.0	3	vertical	0
9.210009	7.0	3	80.0	-51.92	1447580.0	975.0	36.0	50.0	3.0	1243.0	39.0	4605.0	0.0	3	vertical	0
9.313092	7.0	3	80.0	-51.76	1475630.0	975.0	30.0	50.0	7.0	1184.0	43.0	11382.0	0.0	3	vertical	0
9.414194	7.0	3	80.0	-51.8696	1381370.0	975.0	41.0	46.0	5.0	1240.0	39.0	6177.0	0.0	3	vertical	0
9.514773	7.0	3	80.0	-51.8	1682630.0	975.0	31.0	55.0	5.0	1212.0	50.0	11508.0	0.0	3	vertical	0
9.614871	5.16471	3	80.0	-49.9902	15100200.0	796.059	45.0	510.0	15.0	1267.0	44.0	13158.0	0.0	3	vertical	0
9.715058	5.0855	3	80.0	-49.9424	16029500.0	788.336	27.0	538.0	11.0	1177.0	25.0	4046.0	0.0	3	vertical	0
9.816424	5.04795	3	80.0	-49.9732	20773000.0	784.676	19.0	709.0	1.0	1175.0	21.0	222.0	0.0	3	vertical	0
9.917931	7.0	3	80.0	-51.6486	1101780.0	975.0	29.0	37.0	1.0	1046.0	35.0	12926.0	0.0	3	vertical	0
10.018535	7.0	3	80.0	-51.8571	1281150.0	975.0	31.0	42.0	2.0	1042.0	40.0	6833.0	0.0	3	vertical	0
10.118729	7.0	3	80.0	-51.8372	1286990.0	975.0	46.0	43.0	3.0	1054.0	38.0	12286.0	0.0	3	vertical	0
10.218797	7.0	3	80.0	-51.8043	1366580.0	975.0	17.0	46.0	0.0	1017.0	45.0	8075.0	0.0	3	vertical	0
10.319843	7.0	3	80.0	-51.6829	1184970.0	975.0	39.0	41.0	5.0	1036.0	34.0	4951.0	0.0	3	vertical	0
