time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100191	5.00264	3.0	79.8945	-55.7414	13171200.0	779.011	2.0	379.0	17.0	390.0	27.0	2281.0	0.0	18	vertical	1
8.201270	5.00267	3.0	79.8933	-55.68	12589800.0	779.0	1.0	375.0	29.0	397.0	36.0	0.0	0.0	18	vertical	1
8.302454	5.0025	3.0	79.9	-55.735	13041200.0	779.062	2.0	400.0	19.0	408.0	25.0	4097.0	0.0	18	vertical	1
8.403450	5.00521	3.0	79.7917	-55.6615	13113700.0	778.047	1.0	384.0	20.0	392.0	24.0	0.0	0.0	18	vertical	1
8.505094	5.00815	3.0	79.6739	-55.7147	12278700.0	776.943	0.0	368.0	18.0	396.0	38.0	514.0	0.0	18	vertical	1
8.605733	5.01055	3.0	79.5778	-55.6412	12616800.0	776.042	0.0	379.0	16.0	400.0	30.0	0.0	0.0	18	vertical	1
8.706427	5.01872	3.0	79.2513	-55.6578	12682000.0	772.981	0.0	374.0	29.0	394.0	35.0	0.0	0.0	18	vertical	1
8.806650	5.01583	3.0	79.3668	-55.6623	12775700.0	774.063	0.0	379.0	23.0	396.0	35.0	1152.0	0.0	18	vertical	1
8.907336	5.00539	3.0	79.7844	-55.7224	12337900.0	777.978	0.0	371.0	21.0	402.0	43.0	0.0	0.0	18	vertical	1
9.007367	5.00278	3.0	79.8889	-55.7278	12229600.0	778.958	0.0	360.0	18.0	395.0	43.0	1088.0	0.0	18	vertical	1
9.107412	5.01058	3.0	79.5767	-55.6772	12465600.0	776.032	0.0	378.0	16.0	401.0	30.0	256.0	0.0	18	vertical	1
9.207436	5.00258	3.0	79.8966	-55.7158	12940300.0	779.031	1.0	387.0	23.0	405.0	34.0	0.0	0.0	18	vertical	1
9.307570	5.01053	3.0	79.5789	-55.7105	12771400.0	776.053	2.0	380.0	20.0	398.0	28.0	0.0	0.0	18	vertical	1
9.407908	5.04735	3.0	68.5237	-54.883	12995000.0	661.63	9.0	359.0	137.0	366.0	43.0	4609.0	0.0	18	vertical	1
9.508482	5.01036	3.0	79.2746	-55.772	12839800.0	772.85	0.0	386.0	21.0	398.0	30.0	1024.0	0.0	18	vertical	1
9.609492	5.0028	3.0	78.9916	-55.6779	12242300.0	769.538	0.0	357.0	39.0	389.0	45.0	0.0	0.0	18	vertical	1
9.710348	5.0	3.0	79.5855	-55.785	12790400.0	775.648	0.0	386.0	18.0	404.0	28.0	0.0	0.0	18	vertical	1
