time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100287	8.92157	2.04248	78.8235	-52.9608	4420450.0	855.778	0.0	306.0	5.0	739.0	161.0	2796.0	0.0	5	vertical	1
8.200605	8.92623	2.04098	78.7978	-53.0464	5361750.0	855.426	1.0	366.0	8.0	775.0	179.0	12361.0	0.0	5	vertical	1
8.301195	8.93671	2.03165	78.9873	-53.1013	4603140.0	856.158	5.0	316.0	9.0	748.0	155.0	10512.0	0.0	5	vertical	1
8.402080	8.94175	2.03236	78.9644	-53.1424	4507830.0	856.518	1.0	309.0	6.0	742.0	168.0	9544.0	0.0	5	vertical	1
8.502771	8.94872	2.02849	79.3162	-53.1681	5183830.0	860.644	2.0	351.0	7.0	754.0	173.0	13953.0	0.0	5	vertical	1
8.603128	8.941	2.0295	79.292	-53.1386	4786210.0	859.923	4.0	339.0	5.0	760.0	166.0	8852.0	0.0	5	vertical	1
8.703918	8.48458	2.01982	79.3833	-53.1696	6615100.0	819.159	1.0	454.0	9.0	750.0	109.0	4234.0	0.0	5	vertical	1
8.804646	8.83427	2.03371	78.8764	-53.0421	5167870.0	846.494	0.0	356.0	5.0	762.0	156.0	4880.0	0.0	5	vertical	1
8.905284	8.92097	2.03951	79.0274	-53.0	4821380.0	857.541	0.0	329.0	6.0	757.0	156.0	6855.0	0.0	5	vertical	1
9.005947	8.93785	2.0339	78.8701	-53.0763	5092080.0	855.373	0.0	354.0	4.0	752.0	177.0	6550.0	0.0	5	vertical	1
9.106291	8.46032	2.22487	79.3651	-52.0873	5595330.0	873.368	18.0	378.0	61.0	736.0	144.0	6481.0	0.0	5	vertical	1
9.206609	8.92941	2.03529	79.1765	-53.0971	4992850.0	859.038	3.0	340.0	3.0	761.0	151.0	8712.0	0.0	5	vertical	1
