time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100684	7.0	3.0	80.0	-28.2821	34958100.0	975.0	11.0	1184.0	46.0	1205.0	42.0	1295.0	0.0	6	vertical	1
8.201914	7.0	3.0	80.0	-28.3058	35050300.0	975.0	27.0	1200.0	48.0	1227.0	49.0	0.0	0.0	6	vertical	1
8.302360	7.0	3.0	80.0	-28.281	36191700.0	975.0	23.0	1235.0	46.0	1251.0	38.0	0.0	0.0	6	vertical	1
8.403613	7.0	3.0	80.0	-28.2915	35243800.0	975.0	22.0	1211.0	47.0	1230.0	37.0	0.0	0.0	6	vertical	1
8.504618	7.0	3.0	80.0	-28.2409	36929000.0	975.0	16.0	1270.0	85.0	1257.0	37.0	0.0	0.0	6	vertical	1
8.605286	7.0	3.0	80.0	-28.2433	34771700.0	975.0	15.0	1188.0	44.0	1199.0	40.0	0.0	0.0	6	vertical	1
8.706036	7.0	3.0	80.0	-28.3366	35604300.0	975.0	30.0	1218.0	48.0	1241.0	47.0	2048.0	0.0	6	vertical	1
8.806870	7.0	3.0	80.0	-28.2119	35432200.0	975.0	23.0	1227.0	60.0	1212.0	29.0	513.0	0.0	6	vertical	1
8.906956	7.0	3.0	80.0	-28.2661	37287000.0	975.0	21.0	1274.0	75.0	1262.0	45.0	1024.0	0.0	6	vertical	1
9.006959	7.0	3.0	80.0	-28.2016	36186300.0	975.0	21.0	1235.0	45.0	1246.0	43.0	2112.0	0.0	6	vertical	1
9.106963	7.0	3.0	80.0	-28.2437	35368800.0	975.0	11.0	1194.0	52.0	1190.0	31.0	0.0	0.0	6	vertical	1
9.207232	7.0	3.0	80.0	-28.3165	34924300.0	975.0	18.0	1188.0	49.0	1219.0	47.0	2049.0	0.0	6	vertical	1
9.308197	7.0	3.0	80.0	-28.2089	35064600.0	975.0	29.0	1197.0	53.0	1206.0	37.0	0.0	0.0	6	vertical	1
9.409154	7.0	3.0	80.0	-28.2401	36297900.0	975.0	19.0	1241.0	49.0	1251.0	38.0	0.0	0.0	6	vertical	1
9.509337	7.0	3.0	80.0	-28.202	34535100.0	975.0	24.0	1173.0	51.0	1192.0	33.0	0.0	0.0	6	vertical	1
9.610170	7.0	3.0	80.0	-28.2696	35098900.0	975.0	24.0	1202.0	38.0	1228.0	42.0	2048.0	0.0	6	vertical	1
9.712020	7.0	3.0	80.0	-28.1866	33622400.0	975.0	29.0	1163.0	47.0	1165.0	35.0	3200.0	0.0	6	vertical	1
9.812051	7.0	3.0	80.0	-28.2599	34947600.0	975.0	19.0	1189.0	38.0	1235.0	45.0	0.0	0.0	6	vertical	1
