time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100183	3.01044	1.99739	80.0	-31.7258	24231100.0	260.423	6.0	1532.0	14.0	1482.0	1.0	3165.0	0.0	0	fan	1
8.200185	3.0	2.00255	80.0	-31.643	24813300.0	260.414	5.0	1566.0	9.0	1558.0	0.0	0.0	0.0	0	fan	1
8.300443	3.00519	2.0	80.0	-31.7789	24370600.0	260.166	4.0	1542.0	50.0	1475.0	0.0	0.0	0.0	0	fan	1
8.400825	3.00777	2.0	80.0	-31.7001	24372100.0	260.503	4.0	1544.0	6.0	1532.0	0.0	0.0	0.0	0	fan	1
8.501755	3.00775	2.0	80.0	-31.7274	24303100.0	260.501	0.0	1548.0	51.0	1497.0	0.0	0.0	0.0	0	fan	1
8.602972	3.00529	2.0	80.0	-31.8399	23670100.0	260.169	2.0	1512.0	52.0	1444.0	0.0	0.0	0.0	0	fan	1
8.703635	3.00753	2.0	80.0	-31.8368	25076100.0	260.487	2.0	1593.0	29.0	1556.0	0.0	0.0	0.0	0	fan	1
8.804427	3.00775	2.0	80.0	-31.9477	24336100.0	260.501	5.0	1548.0	35.0	1513.0	0.0	0.0	0.0	0	fan	1
8.904480	2.77814	2.22186	80.0	-31.6656	24627100.0	267.1	48.0	1555.0	66.0	1463.0	0.0	0.0	0.0	0	fan	1
9.005487	2.98634	2.01627	80.0	-31.8953	24112000.0	260.859	0.0	1537.0	110.0	1430.0	0.0	0.0	0.0	0	fan	1
9.105794	3.00516	2.00258	80.0	-31.9213	24485400.0	260.583	4.0	1550.0	12.0	1538.0	0.0	0.0	0.0	0	fan	1
9.206280	3.0	2.0	80.0	-32.0444	24142400.0	260.0	2.0	1531.0	73.0	1436.0	0.0	0.0	0.0	0	fan	1
9.307072	3.00777	2.0	80.0	-31.9722	24289200.0	260.502	1.0	1545.0	52.0	1493.0	0.0	0.0	0.0	0	fan	1
9.407847	3.0	2.0026	80.0	-31.9512	24182700.0	260.421	5.0	1538.0	30.0	1529.0	1.0	0.0	0.0	0	fan	1
9.507970	3.00516	2.0	80.0	-32.0607	24514400.0	260.165	6.0	1549.0	56.0	1468.0	0.0	0.0	0.0	0	fan	1
9.608389	3.00264	2.0	80.0	-31.907	23921500.0	260.343	2.0	1516.0	60.0	1478.0	1.0	0.0	0.0	0	fan	1
9.709164	3.00257	2.0	80.0	-31.9397	24513000.0	260.334	5.0	1559.0	56.0	1503.0	0.0	0.0	0.0	0	fan	1
9.809701	3.00262	2.0	80.0	-32.0872	24050800.0	260.341	3.0	1526.0	28.0	1519.0	1.0	0.0	0.0	0	fan	1
9.909722	3.00585	2.0	80.0	-32.0944	21656700.0	260.187	3.0	1367.0	75.0	1275.0	1.0	0.0	0.0	0	fan	1
10.010139	3.00266	2.0	80.0	-31.9847	23732400.0	260.346	2.0	1504.0	6.0	1535.0	2.0	0.0	0.0	0	fan	1
10.110423	3.0	2.00259	80.0	-32.011	24412100.0	260.419	0.0	1545.0	42.0	1487.0	0.0	0.0	0.0	0	fan	1
10.210429	3.0	2.0	80.0	-31.9332	23941000.0	260.0	4.0	1511.0	28.0	1514.0	1.0	0.0	0.0	0	fan	1
10.310906	3.0079	2.0	80.0	-32.0757	23955200.0	260.511	3.0	1519.0	11.0	1516.0	1.0	0.0	0.0	0	fan	1
10.411042	3.00256	2.0	80.0	-32.0633	24732500.0	260.333	2.0	1563.0	5.0	1542.0	0.0	0.0	0.0	0	fan	1
10.511045	2.99736	2.00264	80.0	-32.1403	24052300.0	260.084	5.0	1518.0	54.0	1496.0	1.0	0.0	0.0	0	fan	1
10.612038	3.00256	2.0	80.0	-31.9968	24491300.0	260.333	5.0	1561.0	58.0	1488.0	0.0	0.0	0.0	0	fan	1
10.712066	3.00791	2.0	80.0	-32.1417	24031300.0	260.512	2.0	1517.0	95.0	1405.0	0.0	0.0	0.0	0	fan	1
10.812294	3.0	2.0	80.0	-32.011	24346300.0	260.0	1.0	1540.0	68.0	1488.0	0.0	0.0	0.0	0	fan	1
10.913024	3.00772	2.0	80.0	-32.0849	24445400.0	260.499	5.0	1554.0	88.0	1443.0	0.0	0.0	0.0	0	fan	1
11.013788	3.00257	2.0	80.0	-32.0577	24515800.0	260.334	1.0	1559.0	5.0	1554.0	0.0	0.0	0.0	0	fan	1
