time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101056	7.0	3.0	80.0	-54.0876	5879870.0	975.0	3.0	194.0	5.0	1192.0	160.0	31606.0	0.0	1	horizontal	1
8.202582	7.0	3.0	80.0	-54.0047	6328690.0	975.0	7.0	213.0	11.0	1213.0	181.0	36703.0	0.0	1	horizontal	1
8.302603	7.0	3.0	80.0	-54.0743	6128190.0	975.0	1.0	202.0	8.0	1208.0	166.0	32549.0	0.0	1	horizontal	1
8.403125	7.0	3.0	80.0	-54.1047	5743470.0	975.0	10.0	191.0	3.0	1263.0	172.0	38150.0	0.0	1	horizontal	1
8.503519	7.0	3.0	80.0	-54.1123	5671520.0	975.0	2.0	187.0	8.0	1216.0	166.0	42221.0	0.0	1	horizontal	1
8.604062	7.0	3.0	80.0	-54.135	6110520.0	975.0	2.0	200.0	6.0	1256.0	167.0	35473.0	0.0	1	horizontal	1
8.704324	7.0	3.0	80.0	-54.1225	6101010.0	975.0	6.0	204.0	6.0	1223.0	181.0	26413.0	0.0	1	horizontal	1
8.805034	7.0	3.0	80.0	-54.1268	6456170.0	975.0	5.0	213.0	3.0	1259.0	181.0	42585.0	0.0	1	horizontal	1
8.905497	7.0	3.0	80.0	-54.1224	5931900.0	975.0	0.0	196.0	6.0	1249.0	173.0	25758.0	0.0	1	horizontal	1
9.006400	7.0	3.0	80.0	-54.1333	5353320.0	975.0	4.0	180.0	4.0	1212.0	151.0	33189.0	0.0	1	horizontal	1
9.106955	7.0	3.0	80.0	-54.055	6079590.0	975.0	7.0	200.0	8.0	1272.0	175.0	31280.0	0.0	1	horizontal	1
9.207243	7.0	3.0	80.0	-54.1509	4752800.0	975.0	4.0	159.0	8.0	1147.0	138.0	19903.0	0.0	1	horizontal	1
9.308610	7.0	3.0	80.0	-54.1277	5603930.0	975.0	2.0	188.0	2.0	1226.0	158.0	30868.0	0.0	1	horizontal	1
9.409846	7.0	3.0	80.0	-54.233	6117950.0	975.0	7.0	206.0	1.0	1265.0	174.0	40585.0	0.0	1	horizontal	1
