time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101997	0.0	1.0	20.0	-43.5714	763790.0	7.0	0.0	49.0	39.0	0.0	1.0	3730.0	0.0	3	left	1
8.203568	0.0	1.0	20.0	-43.5208	751396.0	7.0	0.0	48.0	43.0	0.0	0.0	0.0	0.0	3	left	1
8.305725	0.0	1.0	20.0	-43.6875	747083.0	7.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	3	left	1
8.408595	0.0	1.0	20.0	-43.6739	710997.0	7.0	0.0	46.0	37.0	0.0	0.0	0.0	0.0	3	left	1
8.511062	0.0	1.0	20.0	-43.6875	744819.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
8.614882	0.0	1.0	20.0	-43.6458	735119.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
8.718641	0.0	1.0	20.0	-43.625	735557.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
8.822059	0.0	1.0	20.0	-43.625	737973.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
8.926304	0.0	1.0	20.0	-43.6591	671111.0	7.0	0.0	44.0	42.0	0.0	0.0	0.0	0.0	3	left	1
9.027680	0.0	1.0	20.0	-44.2381	658732.0	7.0	0.0	42.0	42.0	0.0	0.0	0.0	0.0	3	left	1
9.130086	0.0	1.0	20.0	-45.875	745274.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
9.232366	0.0	1.0	20.0	-46.1042	746185.0	7.0	0.0	48.0	46.0	0.0	0.0	0.0	0.0	3	left	1
9.335782	0.0	1.0	20.0	-46.0	737992.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
9.437735	0.0	1.0	20.0	-45.9167	748580.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
9.539860	0.0	1.0	20.0	-45.9583	747317.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
9.641219	0.0	1.0	20.0	-45.9583	752970.0	7.0	0.0	48.0	32.0	0.0	0.0	0.0	0.0	3	left	1
9.743070	0.0	1.0	20.0	-45.9583	749328.0	7.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	3	left	1
9.845923	0.0	1.0	20.0	-46.0208	742027.0	7.0	0.0	48.0	46.0	0.0	0.0	0.0	0.0	3	left	1
9.948836	0.0	1.0	20.0	-46.0	741598.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
10.050519	0.0	1.0	20.0	-46.2391	719293.0	7.0	0.0	46.0	44.0	0.0	0.0	0.0	0.0	3	left	1
10.155005	0.0	1.0	20.0	-45.9167	730439.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
10.257644	0.0	1.0	20.0	-46.1667	743576.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
10.360786	0.0	1.0	20.0	-46.0	739949.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
10.463830	0.0	1.0	20.0	-46.1458	740650.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
10.566874	0.0	1.0	20.0	-45.8958	740660.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
10.670252	0.0	1.0	20.0	-45.7917	738259.0	7.0	0.0	48.0	39.0	0.0	0.0	0.0	0.0	3	left	1
10.773715	0.0	1.0	20.0	-45.7917	737658.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	3	left	1
10.875866	0.0	1.0	20.0	-45.9318	684868.0	7.0	0.0	44.0	40.0	0.0	0.0	0.0	0.0	3	left	1
10.977996	0.0	1.0	20.0	-46.0208	747281.0	7.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	3	left	1
11.081383	0.0	1.0	20.0	-46.0	738199.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
11.184577	0.0	1.0	20.0	-46.0417	739575.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
11.288027	0.0	1.0	20.0	-45.9583	737750.0	7.0	0.0	48.0	43.0	0.0	0.0	0.0	0.0	3	left	1
11.390433	0.0	1.0	20.0	-45.875	745267.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	3	left	1
11.493180	0.0	1.0	20.0	-45.8667	696431.0	7.0	0.0	45.0	45.0	0.0	0.0	0.0	0.0	3	left	1
11.596853	0.0	1.0	20.0	-45.9574	720767.0	7.0	0.0	47.0	45.0	0.0	1.0	0.0	0.0	3	left	1
11.698746	0.0	1.0	20.0	-45.6875	749018.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	3	left	1
11.801800	0.0	1.0	20.0	-46.0	740585.0	7.0	0.0	48.0	38.0	0.0	0.0	0.0	0.0	3	left	1
11.904045	0.0	1.0	20.0	-46.0417	746444.0	7.0	0.0	48.0	41.0	0.0	0.0	0.0	0.0	3	left	1
12.006863	0.0	1.0	20.0	-46.1042	742280.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
12.110262	0.0	1.0	20.0	-46.0417	738110.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
12.210292	0.0	1.0	20.0	-46.0	747139.0	7.0	0.0	47.0	43.0	0.0	0.0	0.0	0.0	3	left	1
12.313895	0.0	1.0	20.0	-45.9362	721253.0	7.0	0.0	47.0	41.0	0.0	0.0	0.0	0.0	3	left	1
12.417958	0.0	1.0	20.0	-45.9792	733404.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
12.518471	0.0	1.0	20.0	-45.913	727664.0	7.0	0.0	46.0	42.0	0.0	0.0	0.0	0.0	3	left	1
12.620342	0.0	1.0	20.0	-46.0	717964.0	7.0	0.0	46.0	44.0	0.0	0.0	0.0	0.0	3	left	1
12.723079	0.0	1.0	20.0	-45.9565	711916.0	7.0	0.0	46.0	42.0	0.0	0.0	0.0	0.0	3	left	1
12.824958	0.0	1.0	20.0	-46.125	749121.0	7.0	0.0	48.0	41.0	0.0	0.0	0.0	0.0	3	left	1
12.926864	0.0	1.0	20.0	-45.8542	748931.0	7.0	0.0	48.0	39.0	0.0	0.0	0.0	0.0	3	left	1
13.029420	0.0	1.0	20.0	-45.8542	744176.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	3	left	1
13.130761	0.0	1.0	20.0	-46.0208	753103.0	7.0	0.0	48.0	39.0	0.0	0.0	0.0	0.0	3	left	1
13.233571	0.0	1.0	20.0	-45.9783	711410.0	7.0	0.0	46.0	46.0	0.0	0.0	0.0	0.0	3	left	1
13.333678	0.0	1.0	20.0	-45.9565	730619.0	7.0	0.0	46.0	41.0	0.0	0.0	0.0	0.0	3	left	1
13.435583	0.0	1.0	20.0	-45.8333	748926.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	3	left	1
13.538279	0.0	1.0	20.0	-46.2708	743169.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
13.642448	0.0	1.0	20.0	-46.0208	732656.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
13.745116	0.0	1.0	20.0	-46.2174	712389.0	7.0	0.0	46.0	44.0	0.0	0.0	0.0	0.0	3	left	1
13.848416	0.0	1.0	20.0	-45.8958	738819.0	7.0	0.0	48.0	41.0	0.0	0.0	0.0	0.0	3	left	1
13.950918	0.0	1.0	20.0	-46.0625	744575.0	7.0	0.0	48.0	39.0	0.0	0.0	0.0	0.0	3	left	1
14.054515	0.0	1.0	20.0	-46.0417	736699.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
14.157267	0.0	1.0	20.0	-46.0417	742756.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
14.257503	0.0	1.0	20.0	-46.0	729679.0	7.0	0.0	46.0	46.0	0.0	0.0	0.0	0.0	3	left	1
14.357838	0.0	1.0	20.0	-46.087	728961.0	7.0	0.0	46.0	36.0	0.0	0.0	0.0	0.0	3	left	1
14.459785	0.0	1.0	20.0	-46.1042	748627.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
14.562533	0.0	1.0	20.0	-46.0625	742786.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
14.665993	0.0	1.0	20.0	-46.3333	737674.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
14.768668	0.0	1.0	20.0	-46.0	743319.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
14.872688	0.0	1.0	20.0	-46.2292	733701.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	3	left	1
14.974726	0.0	1.0	20.0	-46.087	716795.0	7.0	0.0	46.0	42.0	0.0	0.0	0.0	0.0	3	left	1
15.077954	0.0	1.0	20.0	-45.9375	739337.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	3	left	1
15.179841	0.0	1.0	20.0	-46.1458	749062.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
15.283477	0.0	1.0	20.0	-46.1136	675051.0	7.0	0.0	44.0	42.0	0.0	0.0	0.0	0.0	3	left	1
15.389012	0.0	1.0	20.0	-46.0	723176.0	7.0	0.0	48.0	44.0	0.0	0.0	0.0	0.0	3	left	1
15.490741	0.0	1.0	20.0	-46.0435	718972.0	7.0	0.0	46.0	45.0	0.0	0.0	0.0	0.0	3	left	1
15.591516	0.0	1.0	20.0	-46.1905	662659.0	7.0	0.0	42.0	33.0	0.0	0.0	0.0	0.0	3	left	1
15.693606	0.0	1.0	20.0	-46.0208	747580.0	7.0	0.0	48.0	41.0	0.0	0.0	0.0	0.0	3	left	1
15.795161	0.08	1.0	20.0	-46.1	782707.0	7.56	0.0	50.0	37.0	0.0	0.0	0.0	0.0	3	left	1
15.896312	0.0	1.0	20.0	-45.8958	754513.0	7.0	0.0	48.0	38.0	0.0	0.0	0.0	0.0	3	left	1
