time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100274	0.0	3.0	80.0	-64.2258	10287000.0	97.0	0.0	651.0	27.0	0.0	1.0	906.0	0.0	16	vertical	1
8.201968	0.00603318	3.0	80.0	-64.2594	10330400.0	97.5913	0.0	663.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
8.303098	0.00627943	3.0	80.0	-64.3155	9980620.0	97.6154	0.0	637.0	45.0	0.0	1.0	0.0	0.0	16	vertical	1
8.405006	0.18732	2.81268	80.0	-64.1542	10790600.0	103.182	0.0	694.0	126.0	0.0	0.0	0.0	0.0	16	vertical	1
8.506336	0.0120846	2.99396	80.0	-64.4003	10351900.0	97.7915	0.0	662.0	36.0	0.0	0.0	0.0	0.0	16	vertical	1
8.607466	0.00609756	3.0	80.0	-64.3598	10278400.0	97.5976	0.0	656.0	32.0	0.0	0.0	0.0	0.0	16	vertical	1
8.709615	0.0060423	2.99396	80.0	-64.5891	10268900.0	97.1994	0.0	662.0	32.0	0.0	0.0	0.0	0.0	16	vertical	1
8.811257	0.0060423	3.0	80.0	-64.2628	10320100.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
8.911325	0.00606061	3.0	80.0	-64.3273	10450600.0	97.5939	0.0	660.0	32.0	0.0	0.0	0.0	0.0	16	vertical	1
9.012335	0.0	3.0	80.0	-64.4134	10321900.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
9.113152	0.0122888	2.99386	80.0	-64.3287	10231800.0	97.8049	0.0	651.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
9.215222	0.0060241	3.0	80.0	-64.2967	10307900.0	97.5904	0.0	664.0	25.0	0.0	0.0	0.0	0.0	16	vertical	1
9.315994	0.0	3.0	80.0	-64.1915	10346100.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
9.417780	0.0060241	3.0	80.0	-64.3886	10336600.0	97.5904	0.0	664.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
9.520087	0.012012	2.99399	80.0	-64.1892	10315100.0	97.7868	0.0	666.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
9.621869	0.00603318	3.0	80.0	-64.4314	10321500.0	97.5913	0.0	663.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
9.723056	0.0	3.0	80.0	-64.6429	10303700.0	97.0	0.0	658.0	24.0	0.0	0.0	0.0	0.0	16	vertical	1
9.823904	0.0120846	2.99396	80.0	-64.3837	10401300.0	97.7915	0.0	662.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
9.923956	0.00618238	3.0	80.0	-64.4219	10246600.0	97.6059	0.0	647.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
10.024879	0.0	3.0	80.0	-64.5714	10330800.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
10.126696	0.0060241	3.0	80.0	-64.6069	10333500.0	97.5904	0.0	664.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
10.229107	0.012012	2.99399	80.0	-64.6637	10304600.0	97.7868	0.0	666.0	26.0	0.0	0.0	0.0	0.0	16	vertical	1
10.329960	0.0	3.0	80.0	-64.4119	10337900.0	97.0	0.0	658.0	3.0	0.0	0.0	0.0	0.0	16	vertical	1
10.433937	0.00607903	3.0	80.0	-64.2675	10027300.0	97.5957	0.0	658.0	30.0	0.0	0.0	0.0	0.0	16	vertical	1
10.533945	0.00593472	3.0	80.0	-64.2982	10678900.0	97.5816	0.0	674.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
10.636131	0.00603318	2.99397	80.0	-64.2127	10280600.0	97.1991	0.0	663.0	27.0	0.0	0.0	0.0	0.0	16	vertical	1
10.738065	0.0060241	3.0	80.0	-64.7575	10321600.0	97.5904	0.0	664.0	32.0	0.0	0.0	0.0	0.0	16	vertical	1
10.839721	0.0060423	3.0	80.0	-64.3021	10318700.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
10.940507	0.0	3.0	80.0	-64.5274	10344800.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
11.042345	0.296791	2.89572	80.0	-64.6537	11638100.0	119.307	0.0	748.0	218.0	0.0	0.0	0.0	0.0	16	vertical	1
11.142440	0.0	3.0	80.0	-64.2538	10352800.0	97.0	0.0	654.0	56.0	0.0	0.0	0.0	0.0	16	vertical	1
11.243442	0.0122137	2.99389	80.0	-64.4809	10275800.0	97.8	0.0	655.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
11.344911	0.0060423	3.0	80.0	-64.3671	10337600.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
11.445908	0.0	3.0	80.0	-64.614	10323100.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
11.547502	0.0060423	3.0	80.0	-64.1843	10325000.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
11.649600	0.012012	2.99399	80.0	-64.1622	10336200.0	97.7868	0.0	666.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
11.750458	0.0	3.0	80.0	-64.3845	10337400.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
11.850464	0.00607903	3.0	80.0	-64.2143	10425400.0	97.5957	0.0	658.0	48.0	0.0	0.0	0.0	0.0	16	vertical	1
11.951133	0.00618238	3.0	80.0	-64.4637	10183900.0	97.6059	0.0	647.0	26.0	0.0	0.0	0.0	0.0	16	vertical	1
12.051426	0.00607903	2.99392	80.0	-64.1854	10395600.0	97.2006	0.0	658.0	32.0	0.0	0.0	0.0	0.0	16	vertical	1
12.152263	0.00615385	3.0	80.0	-64.02	10214000.0	97.6031	0.0	650.0	29.0	0.0	0.0	0.0	0.0	16	vertical	1
12.253969	0.0060423	3.0	80.0	-64.2508	10313600.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
12.356103	0.00601504	3.0	80.0	-64.4962	10317000.0	97.5895	0.0	665.0	26.0	0.0	0.0	0.0	0.0	16	vertical	1
12.457791	0.0060423	2.99396	80.0	-64.4018	10315400.0	97.1994	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
12.559277	0.0060423	3.0	80.0	-64.4698	10336000.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
12.661033	0.0060423	3.0	80.0	-64.3565	10308600.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
12.762023	0.0	3.0	80.0	-64.4574	10323900.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
12.862023	0.0121581	2.99392	80.0	-64.5927	10426200.0	97.7964	0.0	658.0	36.0	0.0	0.0	0.0	0.0	16	vertical	1
12.963541	0.00614439	3.0	80.0	-64.4363	10161100.0	97.6022	0.0	651.0	23.0	0.0	0.0	0.0	0.0	16	vertical	1
13.065729	0.0123839	2.98762	79.257	-64.2198	10016800.0	96.1455	0.0	646.0	54.0	0.0	0.0	0.0	0.0	16	vertical	1
13.167352	0.0060423	3.0	80.0	-64.2417	10322000.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
13.267359	0.0122137	2.99389	80.0	-64.3985	10378000.0	97.8	0.0	655.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
13.368023	0.0	3.0	80.0	-64.5108	10231500.0	97.0	0.0	650.0	28.0	0.0	0.0	0.0	0.0	16	vertical	1
13.468495	0.00610687	3.0	80.0	-64.8992	10329700.0	97.5985	0.0	655.0	29.0	0.0	0.0	0.0	0.0	16	vertical	1
13.568578	0.00618238	3.0	80.0	-64.6445	10243500.0	97.6059	0.0	647.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
13.670851	0.00601504	2.99398	80.0	-64.3023	10302900.0	97.1985	0.0	665.0	5.0	0.0	0.0	0.0	0.0	16	vertical	1
13.773105	0.0060423	3.0	80.0	-64.5363	10258300.0	97.5921	0.0	662.0	97.0	0.0	0.0	0.0	0.0	16	vertical	1
13.873577	0.0188088	2.98746	79.2476	-64.5502	10061900.0	96.7492	0.0	638.0	31.0	0.0	0.0	0.0	0.0	16	vertical	1
13.974731	0.0	3.0	80.0	-64.3906	10307100.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
14.075215	0.0122888	2.99386	80.0	-64.4224	10265800.0	97.8049	0.0	651.0	8.0	0.0	0.0	0.0	0.0	16	vertical	1
14.176993	0.0060423	3.0	80.0	-64.6465	10306200.0	97.5921	0.0	662.0	4.0	0.0	0.0	0.0	0.0	16	vertical	1
14.278119	0.0	3.0	80.0	-64.8131	10310000.0	97.0	0.0	658.0	0.0	0.0	0.0	0.0	0.0	16	vertical	1
