time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100003	0.186224	2.17092	69.5918	-51.7551	6211870.0	64.2679	0.0	392.0	326.0	0.0	1.0	3264.0	0.0	2	fan	1
8.200307	0.262009	1.98253	40.6987	-51.9694	3619580.0	37.6856	0.0	229.0	125.0	0.0	0.0	0.0	0.0	2	fan	1
8.302835	0.0130719	2.97712	40.5229	-46.5033	4730570.0	45.9248	0.0	306.0	99.0	0.0	0.0	0.0	0.0	2	fan	1
8.404742	0.0257235	2.98714	40.5145	-46.701	4837110.0	46.4405	0.0	311.0	155.0	0.0	0.0	0.0	0.0	2	fan	1
8.508979	0.0	3.0	40.5063	-46.7911	4804880.0	45.6582	0.0	316.0	147.0	0.0	0.0	0.0	0.0	2	fan	1
8.609453	0.0184805	2.99179	66.6119	-48.8973	7681060.0	80.2895	0.0	487.0	156.0	0.0	0.0	0.0	0.0	2	fan	1
8.709525	0.00555556	2.69815	80.0	-51.3667	8550310.0	87.8852	0.0	540.0	393.0	0.0	0.0	0.0	0.0	2	fan	1
8.809938	0.00917431	2.0	80.0	-54.7844	6880800.0	65.5963	0.0	436.0	202.0	0.0	0.0	0.0	0.0	2	fan	1
8.910614	0.0168067	2.19118	80.0	-53.8361	7492320.0	71.6555	0.0	476.0	230.0	0.0	0.0	0.0	0.0	2	fan	1
9.013391	0.0	2.42998	80.0	-52.7416	7816780.0	78.7594	0.0	507.0	369.0	0.0	0.0	0.0	0.0	2	fan	1
9.113710	0.00917431	2.0	80.0	-54.8326	6887330.0	65.5963	0.0	436.0	255.0	0.0	0.0	0.0	0.0	2	fan	1
9.214116	0.0232108	2.4971	80.0	-52.3133	8159360.0	82.1605	0.0	517.0	229.0	0.0	0.0	0.0	0.0	2	fan	1
9.314996	0.00743494	2.55948	80.0	-51.9814	8450720.0	83.3866	0.0	538.0	262.0	0.0	0.0	0.0	0.0	2	fan	1
9.417954	0.00706714	2.68021	80.0	-51.47	8710890.0	87.4594	0.0	566.0	345.0	0.0	0.0	0.0	0.0	2	fan	1
9.518926	0.00917431	2.0	80.0	-55.0413	6842720.0	65.5963	0.0	436.0	256.0	0.0	0.0	0.0	0.0	2	fan	1
