time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101587	0.0993789	1.98137	35.9006	-52.0	2513350.0	26.764	0.0	161.0	129.0	0.0	1.0	2503.0	0.0	1	horizontal	1
8.202125	0.27027	1.51351	20.0	-48.5946	1168760.0	12.4865	0.0	74.0	68.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.303021	0.0	2.80303	20.7576	-48.8182	2075280.0	20.5303	0.0	132.0	94.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.404929	0.0	2.48305	20.678	-49.161	1837070.0	18.1271	0.0	118.0	72.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.505336	0.0	2.08333	20.7143	-49.369	1328030.0	15.1548	0.0	84.0	72.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.608629	0.0	1.63889	21.1111	-49.5556	1107030.0	12.3611	0.0	72.0	60.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.710020	0.0	2.91549	20.5634	-48.6761	2221390.0	21.0845	0.0	142.0	83.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.810770	0.0	2.75836	39.777	-52.1078	4232200.0	41.0595	0.0	269.0	203.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.910778	0.0	2.43038	32.7848	-50.9494	2505400.0	29.5253	0.0	158.0	146.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.014129	0.0	2.15909	20.9091	-49.25	1351630.0	16.2045	0.0	88.0	82.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.118302	0.0	1.37097	20.0	-49.0484	945618.0	9.59677	0.0	62.0	42.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.222356	0.0	1.4375	21.25	-49.6406	977147.0	11.0625	0.0	64.0	50.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.323747	0.0	1.0	20.0	-48.5208	752728.0	7.0	0.0	48.0	31.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.425284	0.0769231	1.07692	20.0	-48.7692	814049.0	8.07692	0.0	52.0	29.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.527582	0.0338983	2.74576	20.678	-48.661	1830180.0	20.7797	0.0	118.0	74.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.627959	0.0	2.92609	35.3913	-51.2043	3632360.0	38.3609	0.0	230.0	169.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.730842	0.0	2.54211	35.0526	-51.4526	2928180.0	32.2789	0.0	190.0	171.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.832655	0.00943396	2.16038	20.7547	-49.6038	1652090.0	15.8585	0.0	106.0	79.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.937311	0.325	2.0	20.6667	-50.0667	1819220.0	19.0833	0.0	120.0	77.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.040645	0.08	1.92	20.8	-49.86	1535800.0	14.64	0.0	100.0	71.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.145152	0.0	2.49194	29.1935	-50.1774	1882330.0	28.2177	0.0	124.0	79.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.249201	0.0	2.71956	40.5904	-52.2989	4128470.0	41.31	0.0	271.0	246.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.349811	0.0	2.69547	40.0	-51.8848	3828640.0	40.4321	0.0	243.0	191.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.449821	0.0	1.57851	37.0248	-52.1983	1919450.0	21.3967	0.0	121.0	98.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.553812	0.0776699	1.96117	20.7767	-50.2621	1571900.0	15.165	0.0	103.0	59.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.666340	0.0206186	2.87629	31.2371	-50.5928	2733620.0	34.0309	0.0	194.0	131.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.767208	0.0	2.49793	40.6639	-52.556	3787570.0	38.332	0.0	241.0	207.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.868349	0.0533333	2.93333	20.5333	-48.5867	2352270.0	21.8133	0.0	150.0	100.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.969517	-0.00684932	2.9726	39.7192	-51.4589	4547860.0	44.7329	0.0	292.0	183.0	0.0	3.0	3313.0	0.0	1	horizontal	1
11.072745	0.015444	2.57915	41.2355	-52.6178	3977380.0	40.7259	0.0	259.0	223.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.175771	0.0481928	2.45181	29.5181	-50.5964	2555240.0	25.259	0.0	166.0	114.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.277573	0.0	3.0	20.5405	-48.4662	2305770.0	21.6486	0.0	148.0	70.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.380367	0.0155039	3.0	36.5116	-51.1938	3978560.0	41.155	0.0	258.0	131.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.483790	0.0	2.68045	40.6015	-52.3383	4076890.0	40.7331	0.0	266.0	229.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.583795	0.0	2.58333	75.9829	-55.2286	7415670.0	80.1517	0.0	468.0	428.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.686981	0.0	1.90426	71.9149	-54.8972	4331750.0	54.5426	0.0	282.0	282.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.787681	0.253165	2.32278	26.4557	-50.5063	2488190.0	24.7658	0.0	158.0	144.0	0.0	1.0	0.0	0.0	1	horizontal	1
11.888512	0.0	2.86694	37.6613	-51.4718	3898790.0	40.1976	0.0	248.0	194.0	0.0	0.0	0.0	0.0	1	horizontal	1
11.990416	0.00568182	2.5625	33.0682	-51.2727	2738690.0	31.25	0.0	176.0	167.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.091961	0.1	1.54286	21.1429	-49.2143	1094880.0	12.8714	0.0	70.0	52.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.195813	0.0526316	2.97368	20.6579	-48.7105	2265610.0	22.5526	0.0	152.0	60.0	0.0	1.0	0.0	0.0	1	horizontal	1
12.296890	0.0152672	2.70611	40.3053	-52.2061	4108850.0	41.0954	0.0	262.0	191.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.399238	0.0	2.0	40.7843	-53.4363	3160270.0	30.6863	0.0	204.0	117.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.499446	0.0170213	2.28936	45.617	-53.6043	3717780.0	41.8638	0.0	235.0	139.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.600948	0.0	2.71277	80.0	-55.3777	8804420.0	87.8085	0.0	564.0	508.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.703894	0.0	1.54839	78.7097	-55.362	4295660.0	48.871	0.0	279.0	244.0	0.0	0.0	0.0	0.0	1	horizontal	1
12.803983	0.0	2.44937	30.0	-51.0633	2503380.0	24.7405	0.0	158.0	143.0	0.0	1.0	0.0	0.0	1	horizontal	1
12.904681	0.0	3.0	34.9356	-51.0773	3668020.0	38.9227	0.0	233.0	135.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.006427	0.0130293	3.0	40.5212	-51.7752	4782350.0	46.2638	0.0	307.0	176.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.108643	0.457726	2.53061	40.4665	-52.7464	5318300.0	52.0991	0.0	343.0	248.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.212536	0.0257235	2.98714	40.5145	-51.746	4744630.0	46.4405	0.0	311.0	169.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.316328	0.0319361	2.68663	74.4112	-54.7944	7648900.0	81.8144	0.0	501.0	454.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.420011	0.05	2.52813	62.9375	-53.8719	4891540.0	64.7812	0.0	320.0	320.0	0.0	0.0	0.0	0.0	1	horizontal	1
13.523845	0.0	2.71084	30.0	-50.6867	2535240.0	30.9759	0.0	166.0	159.0	0.0	0.0	0.0	0.0	1	horizontal	1
