time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.102209	0.0	3.0	80.0	-28.1804	9627050.0	97.0	0.0	621.0	159.0	0.0	2.0	3894.0	0.0	0	vertical	1
8.202590	0.732919	2.91925	80.0	-27.9441	15247900.0	163.441	0.0	966.0	498.0	0.0	0.0	0.0	0.0	0	vertical	1
8.302596	0.425641	2.9	80.0	-27.9923	12358300.0	132.213	0.0	780.0	410.0	0.0	0.0	0.0	0.0	0	vertical	1
8.402599	0.00610687	2.99389	80.0	-28.0458	10378400.0	97.2015	0.0	655.0	126.0	0.0	0.0	0.0	0.0	0	vertical	1
8.502683	0.406504	2.79946	80.0	-28.3523	11683600.0	123.802	0.0	738.0	380.0	0.0	0.0	0.0	0.0	0	vertical	1
8.604771	0.00612557	2.99387	80.0	-28.0077	10135300.0	97.2021	0.0	653.0	249.0	0.0	0.0	0.0	0.0	0	vertical	1
8.704978	0.00783699	2.99843	80.0	-28.2727	10088500.0	97.6661	0.0	638.0	93.0	0.0	0.0	0.0	0.0	0	vertical	1
8.806056	0.694239	2.19941	80.0	-28.3619	10612600.0	107.538	0.0	677.0	405.0	0.0	0.0	0.0	0.0	0	vertical	1
8.908248	0.357955	1.99242	80.0	-28.5492	8187420.0	87.5246	0.0	528.0	204.0	0.0	0.0	0.0	0.0	0	vertical	1
9.010579	0.472114	2.66407	80.0	-28.2451	11938200.0	122.16	0.0	771.0	348.0	0.0	0.0	0.0	0.0	0	vertical	1
9.112570	0.00608828	2.99391	80.0	-28.2253	10207000.0	97.2009	0.0	657.0	159.0	0.0	0.0	0.0	0.0	0	vertical	1
9.213273	0.00615385	3.0	80.0	-28.3446	10227600.0	97.6031	0.0	650.0	84.0	0.0	0.0	0.0	0.0	0	vertical	1
9.313610	0.109649	2.99415	80.0	-28.1711	10801700.0	107.365	0.0	684.0	231.0	0.0	0.0	0.0	0.0	0	vertical	1
9.413774	0.372836	2.89614	80.0	-28.0839	11880200.0	126.787	0.0	751.0	351.0	0.0	0.0	0.0	0.0	0	vertical	1
9.514936	0.0	3.0	80.0	-28.3174	10165400.0	97.0	0.0	649.0	151.0	0.0	0.0	0.0	0.0	0	vertical	1
9.615487	0.697105	2.77171	80.0	-28.1581	14150200.0	150.478	0.0	898.0	571.0	0.0	0.0	0.0	0.0	0	vertical	1
9.715603	0.0123648	2.99382	80.0	-28.2612	10240100.0	97.8099	0.0	647.0	130.0	0.0	0.0	0.0	0.0	0	vertical	1
9.815604	0.823467	3.0	80.0	-28.3626	14989400.0	177.53	0.0	946.0	324.0	0.0	0.0	0.0	0.0	0	vertical	1
9.915931	1.40978	2.43022	80.0	-28.3271	17766300.0	188.156	0.0	1125.0	966.0	0.0	0.0	0.0	0.0	0	vertical	1
10.018856	0.913043	2.06192	80.0	-28.2292	11684000.0	116.59	0.0	759.0	623.0	0.0	0.0	0.0	0.0	0	vertical	1
10.119780	0.677519	1.9938	80.0	-28.0961	10126500.0	108.233	0.0	645.0	407.0	0.0	1.0	0.0	0.0	0	vertical	1
10.222061	0.013986	2.6486	80.0	-28.2343	8861700.0	86.8951	0.0	572.0	183.0	0.0	0.0	0.0	0.0	0	vertical	1
10.322079	0.00153374	2.99847	80.0	-28.115	10329200.0	97.0506	0.0	652.0	182.0	0.0	0.0	0.0	0.0	0	vertical	1
10.423180	0.754824	2.8059	80.0	-28.0499	13807300.0	158.356	0.0	881.0	510.0	0.0	1.0	0.0	0.0	0	vertical	1
10.525102	0.612113	2.44588	80.0	-28.0296	12063700.0	120.969	0.0	776.0	481.0	0.0	0.0	0.0	0.0	0	vertical	1
10.627828	0.298507	2.09515	80.0	-28.209	8267920.0	86.9552	0.0	536.0	294.0	0.0	0.0	0.0	0.0	0	vertical	1
10.728098	0.00744879	2.49907	80.0	-28.3035	8486420.0	81.7002	0.0	537.0	121.0	0.0	0.0	0.0	0.0	0	vertical	1
10.828098	0.00626959	2.99373	80.0	-28.0	10109200.0	97.2069	0.0	638.0	231.0	0.0	0.0	0.0	0.0	0	vertical	1
10.930062	0.00614439	3.0	80.0	-28.1075	10116600.0	97.6022	0.0	651.0	152.0	0.0	0.0	0.0	0.0	0	vertical	1
11.032283	0.0121212	2.99394	80.0	-28.2485	10230900.0	97.7939	0.0	660.0	72.0	0.0	0.0	0.0	0.0	0	vertical	1
11.134632	0.0	3.0	80.0	-28.2296	10248700.0	97.0	0.0	662.0	187.0	0.0	0.0	0.0	0.0	0	vertical	1
11.236238	0.519182	2.66496	80.0	-28.4361	12194700.0	126.102	0.0	782.0	430.0	0.0	0.0	0.0	0.0	0	vertical	1
11.336827	0.0128	2.9936	80.0	-28.3744	9845360.0	97.8384	0.0	625.0	93.0	0.0	0.0	0.0	0.0	0	vertical	1
11.437167	0.553809	2.8283	80.0	-28.1753	13059400.0	140.112	0.0	827.0	402.0	0.0	0.0	0.0	0.0	0	vertical	1
11.538672	0.375174	2.6304	80.0	-28.3738	11192500.0	109.743	0.0	717.0	275.0	0.0	0.0	0.0	0.0	0	vertical	1
11.639229	0.0	3.0	80.0	-28.3126	10132000.0	97.0	0.0	643.0	132.0	0.0	0.0	0.0	0.0	0	vertical	1
11.739479	0.900185	2.97135	80.0	-28.4409	17102100.0	183.352	0.0	1082.0	552.0	0.0	0.0	0.0	0.0	0	vertical	1
11.839944	0.410553	2.93951	80.0	-28.4788	12254500.0	133.302	0.0	777.0	299.0	0.0	0.0	0.0	0.0	0	vertical	1
11.940189	0.660249	2.80974	80.0	-28.2605	13956800.0	149.337	0.0	883.0	494.0	0.0	0.0	0.0	0.0	0	vertical	1
12.040354	0.00628931	2.99371	80.0	-28.3884	10032100.0	97.2075	0.0	636.0	98.0	0.0	0.0	0.0	0.0	0	vertical	1
12.140538	0.00619195	3.0	80.0	-28.2771	10217200.0	97.6068	0.0	646.0	144.0	0.0	0.0	0.0	0.0	0	vertical	1
12.241302	0.247619	2.99456	80.0	-28.2912	11557700.0	120.913	0.0	735.0	261.0	0.0	0.0	0.0	0.0	0	vertical	1
12.342070	0.663584	2.7422	80.0	-28.2405	13600800.0	145.274	0.0	865.0	626.0	0.0	0.0	0.0	0.0	0	vertical	1
12.442681	0.624257	2.79786	80.0	-28.2093	13244700.0	144.92	0.0	841.0	452.0	0.0	0.0	0.0	0.0	0	vertical	1
12.543119	0.630952	2.86786	80.0	-28.1976	13251200.0	150.244	0.0	840.0	563.0	0.0	0.0	0.0	0.0	0	vertical	1
12.643237	0.516883	2.66623	80.0	-28.4636	12185900.0	125.96	0.0	770.0	511.0	0.0	0.0	0.0	0.0	0	vertical	1
12.744231	0.223881	2.77612	80.0	-28.109	10511700.0	104.388	0.0	670.0	305.0	0.0	0.0	0.0	0.0	0	vertical	1
12.844722	0.633962	2.75597	80.0	-28.6189	12535100.0	143.267	0.0	795.0	390.0	0.0	0.0	0.0	0.0	0	vertical	1
12.946939	0.278899	2.28991	80.0	-28.3798	8448370.0	92.4055	0.0	545.0	337.0	0.0	1.0	0.0	0.0	0	vertical	1
13.048199	0.0224719	2.47753	80.0	-28.088	8328060.0	81.4944	0.0	534.0	98.0	0.0	0.0	0.0	0.0	0	vertical	1
13.150448	0.205797	2.7942	80.0	-28.4377	10692600.0	103.791	0.0	690.0	286.0	0.0	0.0	0.0	0.0	0	vertical	1
13.252728	0.0121766	2.99391	80.0	-28.2603	10178400.0	97.7976	0.0	657.0	159.0	0.0	0.0	0.0	0.0	0	vertical	1
13.353380	0.00617284	3.0	80.0	-28.466	10201300.0	97.6049	0.0	648.0	150.0	0.0	0.0	0.0	0.0	0	vertical	1
13.453916	0.00617284	2.99383	80.0	-28.4259	10213000.0	97.2037	0.0	648.0	119.0	0.0	0.0	0.0	0.0	0	vertical	1
13.554603	0.00612557	3.0	80.0	-28.3614	10276300.0	97.6003	0.0	653.0	116.0	0.0	0.0	0.0	0.0	0	vertical	1
