time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
6.840923	0.0	3.0	80.0	-54.0	26.312238	97.0	0.0	1.0	0.0	0.0	1.0	359.0		alleretour2	CA	1
6.943326	0.028571	3.0	80.0	-55.257143	377020.881926	99.8	0.0	35.0	4.0	0.0	0.0	0.0		alleretour2	CA	1
7.043404	0.007587	2.99393	80.0	-54.913505	10433949.724063	97.349014	0.0	659.0	136.0	0.0	0.0	0.0		alleretour2	CA	1
7.144630	0.004687	3.0	80.0	-54.685938	10018099.134209	97.459375	0.0	640.0	198.0	0.0	0.0	0.0		alleretour2	CA	1
7.244748	0.01248	2.99376	80.0	-54.280811	10144893.634392	97.817473	0.0	641.0	177.0	0.0	0.0	0.0		alleretour2	CA	1
7.344750	0.0	2.87188	80.0	-54.742097	9522664.497293	92.900166	0.0	601.0	346.0	0.0	0.0	0.0		alleretour2	CA	1
7.446121	0.0	2.279318	80.0	-54.953092	7331339.433083	73.938166	0.0	469.0	374.0	0.0	0.0	0.0		alleretour2	CA	1
7.547103	0.026316	2.8125	44.605263	-49.875	4771500.477545	46.138158	0.0	304.0	152.0	0.0	0.0	0.0		alleretour2	CA	1
7.648033	0.794334	2.823715	79.328437	-51.919203	14961424.289831	162.013641	0.0	953.0	448.0	0.0	0.0	0.0		alleretour2	CA	1
7.748145	0.802073	2.782383	80.0	-52.507772	15272924.244716	161.321244	0.0	965.0	564.0	0.0	0.0	0.0		alleretour2	CA	1
7.870358	0.510638	2.715667	68.239845	-53.700193	6702790.544039	99.88588	0.0	517.0	433.0	3534.0	1.0	286.0		alleretour2	CA	1
7.970724	1.607094	2.946794	75.85266	-55.436562	11570919.93887	231.78854	0.0	733.0	553.0	633.0	4.0	495.0		alleretour2	CA	1
8.071883	2.226733	2.557426	55.009901	-52.156436	15818354.623184	162.212871	0.0	1010.0	971.0	0.0	0.0	0.0		alleretour2	CA	1
8.171887	1.937603	2.261084	40.262726	-50.605911	9649012.452258	96.986864	0.0	609.0	609.0	0.0	0.0	0.0		alleretour2	CA	1
8.274924	0.801676	2.519553	40.446927	-52.547486	5506478.661769	58.756983	0.0	358.0	256.0	0.0	0.0	0.0		alleretour2	CA	1
8.376315	0.755627	2.244373	73.954984	-53.62701	9720658.304398	102.07717	0.0	622.0	350.0	0.0	0.0	0.0		alleretour2	CA	1
