time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
6.663968	1.0	3.0	80.0	-34.0	27.010933	195.0	0.0	1.0	0.0	0.0	1.0	3243.0		eloigne2	CA	1
6.764120	0.125	2.875	80.0	-33.375	14887.345926	101.125	0.0	8.0	1.0	0.0	0.0	0.0		eloigne2	CA	1
6.864526	0.00626	3.0	80.0	-33.086072	10055839.236764	97.613459	0.0	639.0	86.0	0.0	0.0	0.0		eloigne2	CA	1
6.965318	0.007728	3.0	80.0	-32.893354	10171456.381039	97.757342	0.0	647.0	137.0	0.0	0.0	0.0		eloigne2	CA	1
7.066599	0.750529	2.843552	80.0	-32.843552	14799391.778821	160.382664	0.0	946.0	556.0	0.0	0.0	0.0		eloigne2	CA	1
7.168477	0.006042	2.993958	80.0	-33.228097	10296107.163237	97.199396	0.0	662.0	23.0	0.0	0.0	0.0		eloigne2	CA	1
7.269238	0.006126	3.0	80.0	-33.257274	10268867.575345	97.600306	0.0	653.0	70.0	0.0	0.0	0.0		eloigne2	CA	1
7.371174	0.213564	2.792208	80.0	-33.178932	10772174.895178	104.422799	0.0	693.0	186.0	0.0	0.0	0.0		eloigne2	CA	1
7.471552	0.0	3.0	80.0	-33.372881	10244987.302107	97.0	0.0	649.0	57.0	0.0	0.0	0.0		eloigne2	CA	1
7.571696	0.547192	2.935484	80.0	-33.329749	13243236.903768	146.431302	0.0	837.0	449.0	0.0	0.0	0.0		eloigne2	CA	1
7.671985	0.012365	2.993818	80.0	-33.633694	10222479.901337	97.809892	0.0	647.0	103.0	0.0	0.0	0.0		eloigne2	CA	1
7.772817	0.006079	3.0	80.0	-33.5	10339998.06848	97.595745	0.0	658.0	105.0	0.0	0.0	0.0		eloigne2	CA	1
7.873264	0.006182	2.993818	80.0	-33.50541	10206376.079028	97.204019	0.0	647.0	89.0	0.0	0.0	0.0		eloigne2	CA	1
7.975141	0.006042	3.0	80.0	-33.758308	10296233.290434	97.592145	0.0	662.0	98.0	0.0	0.0	0.0		eloigne2	CA	1
8.075145	0.006421	3.0	80.0	-33.478331	9871345.854943	97.629213	0.0	623.0	99.0	1620.0	1.0	28.0		eloigne2	CA	1
8.176359	0.0	3.0	80.0	-33.395062	10144466.827582	97.0	0.0	648.0	114.0	0.0	0.0	0.0		eloigne2	CA	1
8.277245	0.012289	2.993856	80.0	-33.543779	10224908.456032	97.804916	0.0	651.0	98.0	0.0	0.0	0.0		eloigne2	CA	1
8.378113	0.006126	3.0	80.0	-33.646248	10257934.051487	97.600306	0.0	653.0	61.0	0.0	0.0	0.0		eloigne2	CA	1
8.480012	0.006051	2.993949	80.0	-33.795764	10278456.614606	97.199697	0.0	661.0	113.0	0.0	0.0	0.0		eloigne2	CA	1
8.580143	0.980017	3.0	80.0	-33.706342	18214646.173186	193.038228	0.0	1151.0	664.0	0.0	0.0	0.0		eloigne2	CA	1
8.681384	0.790929	2.672566	80.0	-33.377212	14147699.512776	153.227876	0.0	904.0	672.0	0.0	0.0	0.0		eloigne2	CA	1
8.781427	0.722717	2.729399	80.0	-33.414254	14222556.017212	150.0902	0.0	898.0	470.0	0.0	0.0	0.0		eloigne2	CA	1
8.881550	1.271503	2.292228	80.0	-33.011399	15271105.234796	162.744041	0.0	965.0	740.0	0.0	0.0	0.0		eloigne2	CA	1
8.982043	0.713764	2.464068	80.0	-33.059683	12944699.394929	132.113276	0.0	821.0	446.0	0.0	0.0	0.0		eloigne2	CA	1
9.083388	0.018182	2.987879	80.0	-33.456061	10319195.571638	97.993939	0.0	660.0	88.0	0.0	0.0	0.0		eloigne2	CA	1
9.184019	0.012308	2.993846	80.0	-33.696923	10234866.672604	97.806154	0.0	650.0	143.0	0.0	0.0	0.0		eloigne2	CA	1
9.284530	0.0	3.0	80.0	-33.695719	10309955.511367	97.0	0.0	654.0	103.0	0.0	0.0	0.0		eloigne2	CA	1
9.386226	0.01227	2.993865	80.0	-33.72546	10158984.73636	97.803681	0.0	652.0	145.0	0.0	0.0	0.0		eloigne2	CA	1
9.487018	0.394702	2.777483	80.0	-33.674172	11868744.001784	121.217219	0.0	755.0	341.0	0.0	0.0	0.0		eloigne2	CA	1
9.587321	0.960581	2.66805	80.0	-33.521784	15227984.130638	163.672199	0.0	964.0	639.0	0.0	0.0	0.0		eloigne2	CA	1
9.689608	0.007622	2.993902	80.0	-33.746951	10162406.831821	97.35061	0.0	656.0	118.0	0.0	0.0	0.0		eloigne2	CA	1
9.790602	0.006079	3.0	80.0	-33.852584	10323387.381386	97.595745	0.0	658.0	98.0	0.0	0.0	0.0		eloigne2	CA	1
9.891067	0.006182	2.993818	80.0	-33.513138	10204582.673791	97.204019	0.0	647.0	38.0	0.0	0.0	0.0		eloigne2	CA	1
9.991546	0.012251	2.993874	80.0	-33.673813	10297681.314879	97.80245	0.0	653.0	102.0	0.0	0.0	0.0		eloigne2	CA	1
10.091707	0.006462	3.0	80.0	-33.602585	9792552.814862	97.633279	0.0	619.0	42.0	1378.0	1.0	28.0		eloigne2	CA	1
10.192335	0.0	3.0	80.0	-33.672783	10297844.885832	97.0	0.0	654.0	150.0	0.0	0.0	0.0		eloigne2	CA	1
10.294863	0.006042	3.0	80.0	-33.79003	10230912.904711	97.592145	0.0	662.0	110.0	0.0	0.0	0.0		eloigne2	CA	1
10.395236	0.012251	2.993874	80.0	-33.592649	10308627.371644	97.80245	0.0	653.0	64.0	0.0	0.0	0.0		eloigne2	CA	1
10.496771	0.0	3.0	80.0	-33.784195	10268425.778495	97.0	0.0	658.0	113.0	0.0	0.0	0.0		eloigne2	CA	1
10.598260	0.012559	2.987441	79.623234	-33.638932	9945341.434365	97.094192	0.0	637.0	120.0	0.0	0.0	0.0		eloigne2	CA	1
10.698877	0.006126	3.0	80.0	-33.727412	10283564.18893	97.600306	0.0	653.0	42.0	0.0	0.0	0.0		eloigne2	CA	1
10.801149	0.199422	2.800578	80.0	-33.208092	10721149.327671	103.580925	0.0	692.0	265.0	0.0	0.0	0.0		eloigne2	CA	1
10.901270	0.006221	3.0	80.0	-33.875583	10176218.67412	97.609642	0.0	643.0	136.0	0.0	0.0	0.0		eloigne2	CA	1
11.002059	0.012308	2.993846	80.0	-33.8	10218789.677632	97.806154	0.0	650.0	78.0	0.0	0.0	0.0		eloigne2	CA	1
11.103924	0.0	3.0	80.0	-33.742814	10281911.042228	97.0	0.0	661.0	69.0	0.0	0.0	0.0		eloigne2	CA	1
11.206129	0.006042	3.0	80.0	-33.495468	10263200.193399	97.592145	0.0	662.0	117.0	0.0	0.0	0.0		eloigne2	CA	1
11.306706	0.549199	3.0	80.0	-33.716247	13769077.311107	150.82151	0.0	874.0	326.0	0.0	0.0	0.0		eloigne2	CA	1
11.406930	0.806925	2.818468	80.0	-33.789087	15066410.711362	164.140609	0.0	953.0	599.0	0.0	0.0	0.0		eloigne2	CA	1
11.508528	0.2851	2.72063	80.0	-33.398281	10886015.360318	106.780802	0.0	698.0	241.0	0.0	0.0	0.0		eloigne2	CA	1
11.609377	0.0	3.0	80.0	-33.558282	10244004.580959	97.0	0.0	652.0	66.0	0.0	0.0	0.0		eloigne2	CA	1
11.709842	0.012121	2.993939	80.0	-33.813636	10409524.013528	97.793939	0.0	660.0	67.0	0.0	0.0	0.0		eloigne2	CA	1
11.809858	0.012346	2.993827	80.0	-33.930556	10266137.604338	97.808642	0.0	648.0	137.0	0.0	0.0	0.0		eloigne2	CA	1
11.910315	0.0	3.0	80.0	-33.897196	10111854.609663	97.0	0.0	642.0	99.0	0.0	0.0	0.0		eloigne2	CA	1
12.011915	0.006098	3.0	80.0	-33.756098	10230839.560203	97.597561	0.0	656.0	32.0	0.0	0.0	0.0		eloigne2	CA	1
12.111918	0.006126	3.0	80.0	-33.748851	10346531.425356	97.600306	0.0	653.0	117.0	0.0	0.0	0.0		eloigne2	CA	1
12.213455	0.006202	2.993798	80.0	-33.793798	10065599.417354	97.204651	0.0	645.0	91.0	0.0	0.0	0.0		eloigne2	CA	1
12.315024	0.006126	3.0	80.0	-33.739663	10187165.913607	97.600306	0.0	653.0	155.0	0.0	0.0	0.0		eloigne2	CA	1
12.417163	0.006042	3.0	80.0	-34.022659	10269856.045335	97.592145	0.0	662.0	51.0	0.0	0.0	0.0		eloigne2	CA	1
12.518086	0.052006	3.0	80.0	-33.882615	10566351.577496	102.096582	0.0	673.0	63.0	0.0	0.0	0.0		eloigne2	CA	1
12.620202	0.611429	2.512857	80.0	-33.514286	10861675.405999	116.298571	0.0	700.0	386.0	0.0	1.0	9.0		eloigne2	CA	1
12.723584	1.608303	1.0	80.0	-33.66787	8491289.064771	84.465704	0.0	554.0	407.0	0.0	0.0	0.0		eloigne2	CA	1
12.823798	0.423913	1.961957	80.0	-32.956522	8728298.785522	89.842391	0.0	552.0	265.0	0.0	0.0	0.0		eloigne2	CA	1
12.924439	0.797482	2.889822	80.0	-33.75446	15004182.915135	168.684155	0.0	953.0	530.0	0.0	0.0	0.0		eloigne2	CA	1
13.026102	0.481431	2.524072	80.0	-33.459422	11331099.453014	113.244842	0.0	727.0	333.0	0.0	0.0	0.0		eloigne2	CA	1
13.126886	0.0	3.0	80.0	-34.026194	10203510.903844	97.0	0.0	649.0	85.0	0.0	0.0	0.0		eloigne2	CA	1
13.227678	0.680092	2.760644	80.0	-33.397008	13661326.664442	148.090909	0.0	869.0	442.0	0.0	0.0	0.0		eloigne2	CA	1
13.327989	0.012365	2.993818	80.0	-33.646059	10220230.171208	97.809892	0.0	647.0	83.0	0.0	0.0	0.0		eloigne2	CA	1
13.429064	0.006126	3.0	80.0	-33.846861	10236953.365538	97.600306	0.0	653.0	51.0	0.0	0.0	0.0		eloigne2	CA	1
13.530149	0.006116	2.993884	80.0	-33.954128	10251433.614624	97.201835	0.0	654.0	53.0	0.0	0.0	0.0		eloigne2	CA	1
13.631494	0.006144	3.0	80.0	-33.823349	10178424.767173	97.602151	0.0	651.0	100.0	0.0	0.0	0.0		eloigne2	CA	1
13.732715	0.006061	3.0	80.0	-33.733333	10331604.803075	97.593939	0.0	660.0	81.0	0.0	0.0	0.0		eloigne2	CA	1
13.833047	0.0	3.0	80.0	-33.62675	10154827.91577	97.0	0.0	643.0	94.0	0.0	0.0	0.0		eloigne2	CA	1
13.933530	0.012365	2.993818	80.0	-33.612056	10202630.485654	97.809892	0.0	647.0	128.0	0.0	0.0	0.0		eloigne2	CA	1
14.034252	0.584507	2.815728	80.0	-33.793427	13402750.399756	142.303991	0.0	852.0	396.0	0.0	0.0	0.0		eloigne2	CA	1
14.134397	0.328967	2.676856	80.0	-33.659389	10869937.829937	108.234352	0.0	687.0	260.0	0.0	0.0	0.0		eloigne2	CA	1
14.234404	0.0	3.0	80.0	-33.812018	10282661.396432	97.0	0.0	649.0	103.0	0.0	0.0	0.0		eloigne2	CA	1
14.334960	0.748927	2.841202	80.0	-33.703863	14685822.367328	160.072961	0.0	932.0	572.0	0.0	0.0	0.0		eloigne2	CA	1
14.436650	0.012177	2.993912	80.0	-33.715373	10237483.119995	97.797565	0.0	657.0	74.0	0.0	0.0	0.0		eloigne2	CA	1
14.538221	0.006107	3.0	80.0	-33.835115	10218094.571514	97.598473	0.0	655.0	137.0	0.0	0.0	0.0		eloigne2	CA	1
14.638732	0.006163	2.993837	80.0	-34.103236	10231260.868051	97.20339	0.0	649.0	78.0	0.0	0.0	0.0		eloigne2	CA	1
14.740952	0.779641	2.368862	80.0	-33.447904	12943372.978009	132.222754	0.0	835.0	425.0	0.0	0.0	0.0		eloigne2	CA	1
14.841861	0.928298	3.0	80.0	-33.83174	16425020.093652	187.839388	0.0	1046.0	567.0	0.0	0.0	0.0		eloigne2	CA	1
14.942143	1.546951	2.125847	80.0	-33.414327	16321877.441307	173.480155	0.0	1033.0	685.0	0.0	0.0	0.0		eloigne2	CA	1
15.042245	0.915011	2.622517	80.0	-33.540839	14340777.404781	155.687638	0.0	906.0	584.0	0.0	0.0	0.0		eloigne2	CA	1
15.142978	0.376552	2.762759	80.0	-33.6	11404259.550267	118.481379	0.0	725.0	257.0	0.0	0.0	0.0		eloigne2	CA	1
15.244869	0.0	3.0	80.0	-33.955927	10232584.0861	97.0	0.0	658.0	94.0	0.0	0.0	0.0		eloigne2	CA	1
15.345535	0.953582	2.569122	80.0	-33.49445	15598401.906461	162.443996	0.0	991.0	597.0	0.0	0.0	0.0		eloigne2	CA	1
15.445663	1.118329	2.0	80.0	-33.145012	13640790.188045	137.691415	0.0	862.0	513.0	0.0	0.0	0.0		eloigne2	CA	1
15.546144	0.141123	2.864947	80.0	-34.007587	10392102.828279	102.051593	0.0	659.0	235.0	0.0	0.0	0.0		eloigne2	CA	1
15.647171	0.018349	2.987768	80.0	-33.665138	10257437.241837	98.003058	0.0	654.0	141.0	0.0	0.0	0.0		eloigne2	CA	1
15.747480	0.0	3.0	80.0	-33.898021	10378016.953696	97.0	0.0	657.0	131.0	0.0	0.0	0.0		eloigne2	CA	1
15.848917	0.460472	2.545076	80.0	-33.524272	11262502.024058	112.556172	0.0	721.0	310.0	0.0	0.0	0.0		eloigne2	CA	1
