time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100004	0.464891	3.0	80.0	-53.3971	13087500.0	127.91	0.0	826.0	320.0	0.0	1.0	3554.0	0.0	NaN	vertical	1
8.200478	0.322535	2.78592	80.0	-53.5592	11197100.0	102.966	0.0	710.0	228.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.300654	0.0	3.0	80.0	-53.5031	10123100.0	87.0	0.0	640.0	22.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.401598	0.0121581	2.99392	80.0	-53.5091	10328700.0	87.7173	0.0	658.0	101.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.501981	0.00619195	3.0	80.0	-53.8452	10196900.0	87.5449	0.0	646.0	71.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.602507	0.0	3.0	80.0	-53.6286	10355700.0	87.0	0.0	657.0	73.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.702677	0.787016	2.67084	80.0	-54.0159	13888900.0	137.03	0.0	878.0	467.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.804003	1.15864	2.50142	80.0	-53.7847	16559400.0	155.283	0.0	1059.0	762.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.904410	0.787692	2.84821	80.0	-53.7826	15385800.0	147.513	0.0	975.0	653.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.004491	0.754824	2.62316	80.0	-53.8808	13947800.0	131.568	0.0	881.0	547.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.104795	0.736251	2.80359	80.0	-53.9113	14075300.0	140.398	0.0	891.0	478.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.205109	0.792513	2.78075	80.0	-53.8299	14768200.0	144.025	0.0	935.0	685.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.306454	0.0122511	2.99387	80.0	-54.0092	10209700.0	87.7228	0.0	653.0	109.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.406462	0.0	3.0	80.0	-54.0652	10203500.0	87.0	0.0	644.0	50.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.506623	0.960637	2.86129	80.0	-53.7948	16879600.0	163.491	0.0	1067.0	695.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.607969	0.0123457	2.99383	80.0	-53.8688	10131500.0	87.7284	0.0	648.0	144.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.708419	1.05972	1.94028	80.0	-53.8989	10300300.0	87.7351	0.0	653.0	335.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.809412	0.981982	2.1287	74.852	-53.6667	12190500.0	111.299	0.0	777.0	431.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.912814	3.55592	2.12318	26.9692	-49.3015	9454520.0	83.3112	0.0	617.0	610.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.013959	1.70378	2.4937	35.7563	-50.1723	7457160.0	70.021	0.0	476.0	445.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.114065	1.77509	1.22491	71.8339	-53.3356	9149190.0	80.6713	0.0	578.0	296.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.216042	0.351145	2.65496	80.0	-53.6733	10177400.0	87.7206	0.0	655.0	297.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.318074	0.0	3.0	80.0	-53.8037	10202800.0	87.0	0.0	657.0	215.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.418409	0.0123077	2.99385	80.0	-53.9185	10265100.0	87.7262	0.0	650.0	58.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.519061	0.555133	2.63625	80.0	-53.8606	12420700.0	114.754	0.0	789.0	320.0	0.0	1.0	0.0	0.0	NaN	vertical	1
10.619336	0.154192	2.8518	80.0	-54.0284	10555500.0	91.9731	0.0	668.0	188.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.721153	0.0060423	3.0	80.0	-53.8686	10302400.0	87.5317	0.0	662.0	41.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.822764	0.00607903	2.99392	80.0	-53.8602	10260900.0	87.1824	0.0	658.0	47.0	0.0	0.0	0.0	0.0	NaN	vertical	1
10.924800	0.00608828	3.0	80.0	-53.8371	10202600.0	87.5358	0.0	657.0	113.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.025349	0.203343	3.0	80.0	-54.1546	11314700.0	104.894	0.0	718.0	141.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.125349	0.582944	2.87967	80.0	-54.1402	13563000.0	131.32	0.0	856.0	482.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.225360	0.411932	2.58807	80.0	-54.2116	11153700.0	99.358	0.0	704.0	278.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.327446	0.00612557	3.0	80.0	-53.7519	10135600.0	87.5391	0.0	653.0	139.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.428192	0.610667	2.58267	80.0	-54.2307	11796300.0	110.264	0.0	750.0	184.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.528458	1.66696	2.23565	80.0	-54.087	18172800.0	170.29	0.0	1150.0	853.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.630191	0.147989	2.99425	80.0	-53.8333	10840400.0	99.6897	0.0	696.0	141.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.732496	0.0121029	2.99395	80.0	-53.8956	10237900.0	87.7141	0.0	661.0	76.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.832832	0.0303951	2.9696	80.0	-53.9453	10391100.0	87.9119	0.0	658.0	115.0	0.0	0.0	0.0	0.0	NaN	vertical	1
11.934177	1.0688	2.26216	80.0	-54.0059	13180400.0	128.473	0.0	843.0	448.0	0.0	0.0	0.0	0.0	NaN	vertical	1
12.036042	0.0121766	2.98782	80.0	-53.7382	10219900.0	87.3653	0.0	657.0	83.0	0.0	0.0	0.0	0.0	NaN	vertical	1
