time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100590	2.0	3.0	80.0	-34.9652	25346200.0	292.0	0.0	1609.0	158.0	0.0	2.0	2208.0	0.0	NaN	vertical	1
8.200596	2.00242	3.0	80.0	-34.5936	26159500.0	292.237	0.0	1651.0	266.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.301057	2.00729	2.99757	80.0	-34.9216	25946700.0	292.477	0.0	1645.0	136.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.401350	2.0	3.0	80.0	-34.9132	25484900.0	292.0	0.0	1613.0	345.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.501351	2.00244	3.0	80.0	-34.8612	25923700.0	292.24	0.0	1636.0	255.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.601749	2.00248	3.0	80.0	-34.9026	25442300.0	292.243	0.0	1612.0	130.0	0.0	1.0	0.0	0.0	NaN	vertical	1
8.702685	2.0049	2.99755	80.0	-34.8381	25604300.0	292.24	0.0	1631.0	198.0	0.0	1.0	0.0	0.0	NaN	vertical	1
8.802739	2.0025	3.0	80.0	-34.9794	25346600.0	292.245	0.0	1602.0	246.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.902770	2.00241	3.0	80.0	-34.6444	26327000.0	292.236	0.0	1662.0	163.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.003366	2.0	3.0	80.0	-35.1917	26462500.0	292.0	0.0	1680.0	65.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.103794	2.0073	2.99757	80.0	-34.7626	25923900.0	292.477	0.0	1643.0	172.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.204421	2.00252	3.0	80.0	-34.9628	24960000.0	292.247	0.0	1585.0	264.0	0.0	1.0	0.0	0.0	NaN	vertical	1
9.304619	2.17929	2.91035	80.0	-35.2348	25323300.0	300.785	0.0	1584.0	401.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.404696	2.00247	3.0	80.0	-34.6027	25666400.0	292.242	0.0	1621.0	176.0	0.0	0.0	0.0	0.0	NaN	vertical	1
