time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100083	2.15696	2.85137	41.9501	-51.151	13313400.0	138.306	0.0	841.0	802.0	0.0	1.0	177.0	0.0	NaN	vertical	1
8.200608	2.02422	2.10381	40.0692	-50.7855	9110600.0	92.3443	0.0	578.0	578.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.301699	0.298658	2.7047	40.4027	-53.1376	4672320.0	46.0067	0.0	298.0	118.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.403682	0.659187	2.34642	79.3268	-53.8654	11077700.0	107.875	0.0	713.0	416.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.503685	0.222222	2.7837	79.763	-54.723	10695300.0	104.096	0.0	675.0	275.0	0.0	1.0	0.0	0.0	NaN	vertical	1
8.603838	0.00629921	3.0	80.0	-55.5039	10046400.0	97.6173	0.0	635.0	89.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.705296	0.00607903	2.99392	80.0	-54.9468	10276200.0	97.2006	0.0	658.0	204.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.806473	0.00616333	3.0	80.0	-55.1695	10163900.0	97.604	0.0	649.0	265.0	0.0	0.0	0.0	0.0	NaN	vertical	1
8.906975	0.415179	2.42411	80.0	-53.5067	7062980.0	97.308	36.0	448.0	345.0	151.0	0.0	0.0	0.0	NaN	vertical	1
9.007490	2.33673	1.08455	80.0	-53.9388	10813700.0	111.007	0.0	686.0	598.0	0.0	1.0	151.0	0.0	NaN	vertical	1
9.107573	0.584071	2.4823	58.4071	-52.3916	7156500.0	76.5553	0.0	452.0	330.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.208807	0.449458	2.87004	62.3105	-53.2852	8671610.0	90.6986	0.0	554.0	261.0	19.0	0.0	0.0	0.0	NaN	vertical	1
9.309927	0.53168	2.46832	80.0	-53.6295	11375800.0	114.545	0.0	726.0	459.0	0.0	1.0	0.0	0.0	NaN	vertical	1
9.412516	0.24902	2.50196	80.0	-54.3804	7877070.0	89.0314	0.0	510.0	316.0	36.0	1.0	0.0	0.0	NaN	vertical	1
9.512520	0.303125	2.62031	80.0	-54.2906	10140300.0	103.883	0.0	640.0	326.0	0.0	0.0	0.0	0.0	NaN	vertical	1
9.613613	0.00723327	2.99277	80.0	-55.4177	8667790.0	97.2387	0.0	553.0	328.0	79.0	1.0	0.0	0.0	NaN	vertical	1
9.714809	0.00788955	3.0	80.0	-55.0533	7938420.0	97.7732	0.0	507.0	266.0	122.0	1.0	141.0	0.0	NaN	vertical	1
9.815645	0.434169	2.56583	80.0	-54.7273	10025400.0	111.328	0.0	638.0	271.0	47.0	1.0	75.0	0.0	NaN	vertical	1
9.921718	0.431111	2.83556	80.0	-54.52	10082700.0	128.56	0.0	675.0	484.0	56.0	1.0	0.0	0.0	NaN	vertical	1
10.022994	0.809636	2.64747	80.0	-54.8296	13313300.0	153.275	0.0	851.0	704.0	98.0	2.0	94.0	0.0	NaN	vertical	1
