time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101013	0.0123457	2.99383	80.0	-58.7022	10164900.0	97.8086	0.0	648.0	196.0	0.0	1.0	1457.0	0.0	2	vertical	0
8.203242	0.00606061	3.0	80.0	-58.8182	10229700.0	97.5939	0.0	660.0	170.0	0.0	0.0	0.0	0.0	2	vertical	0
8.304670	0.0	3.0	80.0	-59.2751	10279200.0	97.0	0.0	658.0	66.0	0.0	0.0	0.0	0.0	2	vertical	0
8.404874	0.00616333	3.0	80.0	-59.1433	10262700.0	97.604	0.0	649.0	117.0	0.0	0.0	0.0	0.0	2	vertical	0
8.506174	0.0123648	2.99382	80.0	-59.3478	10120400.0	97.8099	0.0	647.0	184.0	0.0	0.0	0.0	0.0	2	vertical	0
8.606416	0.0	3.0	80.0	-59.5163	10195300.0	97.0	0.0	645.0	188.0	0.0	0.0	0.0	0.0	2	vertical	0
8.707882	0.00614439	3.0	80.0	-59.4055	10166300.0	97.6022	0.0	651.0	206.0	0.0	0.0	0.0	0.0	2	vertical	0
8.809174	0.00613497	3.0	80.0	-59.3574	10199200.0	97.6012	0.0	652.0	276.0	0.0	0.0	0.0	0.0	2	vertical	0
8.909302	0.0123648	2.99382	80.0	-59.51	10238900.0	97.8099	0.0	647.0	193.0	0.0	0.0	0.0	0.0	2	vertical	0
9.010424	0.0	3.0	80.0	-59.2988	10278900.0	97.0	0.0	656.0	141.0	0.0	0.0	0.0	0.0	2	vertical	0
9.112451	0.00603318	3.0	80.0	-59.4932	10296700.0	97.5913	0.0	663.0	90.0	0.0	0.0	0.0	0.0	2	vertical	0
9.212767	0.00621118	3.0	80.0	-59.2453	10172300.0	97.6087	0.0	644.0	166.0	0.0	0.0	0.0	0.0	2	vertical	0
9.313218	0.00617284	2.99383	80.0	-59.517	10221600.0	97.2037	0.0	648.0	102.0	0.0	0.0	0.0	0.0	2	vertical	0
9.415406	0.0060423	3.0	80.0	-59.5257	10265000.0	97.5921	0.0	662.0	89.0	0.0	0.0	0.0	0.0	2	vertical	0
9.515444	0.00609756	3.0	80.0	-59.439	10390400.0	97.5976	0.0	656.0	107.0	0.0	0.0	0.0	0.0	2	vertical	0
9.616546	0.0	3.0	80.0	-59.355	10108800.0	97.0	0.0	645.0	91.0	0.0	0.0	0.0	0.0	2	vertical	0
9.717745	0.0121581	2.99392	80.0	-59.2492	10302500.0	97.7964	0.0	658.0	239.0	0.0	0.0	0.0	0.0	2	vertical	0
9.818450	0.00618238	3.0	80.0	-59.3663	10180300.0	97.6059	0.0	647.0	136.0	0.0	0.0	0.0	0.0	2	vertical	0
9.919050	0.0	3.0	80.0	-59.2446	10237900.0	97.0	0.0	650.0	58.0	0.0	0.0	0.0	0.0	2	vertical	0
10.019248	0.00616333	3.0	80.0	-59.3482	10263200.0	97.604	0.0	649.0	183.0	0.0	0.0	0.0	0.0	2	vertical	0
10.120634	0.0122324	2.99388	80.0	-59.4725	10221000.0	97.8012	0.0	654.0	283.0	0.0	0.0	0.0	0.0	2	vertical	0
10.220944	0.0	3.0	80.0	-59.3375	10156900.0	97.0	0.0	643.0	145.0	0.0	0.0	0.0	0.0	2	vertical	0
10.322039	0.00613497	3.0	80.0	-59.3006	10219100.0	97.6012	0.0	652.0	201.0	0.0	0.0	0.0	0.0	2	vertical	0
10.422585	0.0757576	2.47917	80.0	-59.6345	8321110.0	83.0076	0.0	528.0	286.0	0.0	0.0	0.0	0.0	2	vertical	0
10.522647	0.0163265	2.25102	80.0	-60.6449	7760060.0	73.5551	0.0	490.0	71.0	0.0	0.0	0.0	0.0	2	vertical	0
10.624081	0.196137	2.80981	80.0	-59.89	10513000.0	103.859	0.0	673.0	317.0	0.0	0.0	0.0	0.0	2	vertical	0
10.724085	0.0122137	2.99389	80.0	-59.1725	10378300.0	97.8	0.0	655.0	149.0	0.0	0.0	0.0	0.0	2	vertical	0
10.826081	0.0	3.0	80.0	-59.3975	10004600.0	97.0	0.0	644.0	117.0	0.0	0.0	0.0	0.0	2	vertical	0
10.926819	0.269452	2.73631	80.0	-60.0648	10916100.0	106.267	0.0	694.0	192.0	0.0	0.0	0.0	0.0	2	vertical	0
11.026887	0.00607903	3.0	80.0	-59.9119	10419000.0	97.5957	0.0	658.0	117.0	0.0	0.0	0.0	0.0	2	vertical	0
