time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.102230	0.0123457	2.99383	80.0	-58.9259	10043900.0	97.8086	0.0	648.0	122.0	0.0	1.0	2386.0	0.0	3	vertical	0
8.203552	0.00614439	3.0	80.0	-59.2396	10180500.0	97.6022	0.0	651.0	312.0	0.0	0.0	0.0	0.0	3	vertical	0
8.304813	0.0	3.0	80.0	-58.8073	10233500.0	97.0	0.0	654.0	179.0	0.0	0.0	0.0	0.0	3	vertical	0
8.405790	0.00619195	3.0	80.0	-59.031	10137000.0	97.6068	0.0	646.0	145.0	0.0	0.0	0.0	0.0	3	vertical	0
8.506409	0.0122511	2.99387	80.0	-58.5237	10283400.0	97.8025	0.0	653.0	186.0	0.0	0.0	0.0	0.0	3	vertical	0
8.607893	0.0	3.0	80.0	-58.9291	10133100.0	97.0	0.0	649.0	245.0	0.0	0.0	0.0	0.0	3	vertical	0
8.710669	0.00609756	3.0	80.0	-58.8262	10113800.0	97.5976	0.0	656.0	221.0	0.0	0.0	0.0	0.0	3	vertical	0
8.813307	0.00605144	3.0	80.0	-58.9864	10204400.0	97.593	0.0	661.0	182.0	0.0	0.0	0.0	0.0	3	vertical	0
8.913927	0.0123648	2.99382	80.0	-59.5178	10188800.0	97.8099	0.0	647.0	164.0	0.0	0.0	0.0	0.0	3	vertical	0
9.016234	0.0	3.0	80.0	-58.8402	10175400.0	97.0	0.0	657.0	201.0	0.0	0.0	0.0	0.0	3	vertical	0
9.116540	0.00620155	3.0	80.0	-58.5473	10189000.0	97.6078	0.0	645.0	231.0	0.0	0.0	0.0	0.0	3	vertical	0
9.217405	0.00621118	3.0	80.0	-59.6661	10116900.0	97.6087	0.0	644.0	209.0	0.0	0.0	0.0	0.0	3	vertical	0
9.318023	0.00607903	2.99392	80.0	-58.9271	10362100.0	97.2006	0.0	658.0	170.0	0.0	0.0	0.0	0.0	3	vertical	0
9.419578	0.00618238	3.0	80.0	-58.6986	10094900.0	97.6059	0.0	647.0	98.0	0.0	0.0	0.0	0.0	3	vertical	0
9.522195	0.00613497	3.0	80.0	-58.6227	10067600.0	97.6012	0.0	652.0	184.0	0.0	0.0	0.0	0.0	3	vertical	0
9.624115	0.0	3.0	80.0	-58.9772	10214000.0	97.0	0.0	657.0	186.0	0.0	0.0	0.0	0.0	3	vertical	0
9.724120	0.0521472	2.95399	80.0	-59.1687	10330500.0	99.1196	0.0	652.0	239.0	0.0	0.0	0.0	0.0	3	vertical	0
9.825956	0.178994	2.82101	80.0	-58.9719	10518200.0	102.907	0.0	676.0	241.0	0.0	0.0	0.0	0.0	3	vertical	0
9.925976	0.00607903	3.0	80.0	-59.5821	10424000.0	97.5957	0.0	658.0	191.0	0.0	0.0	0.0	0.0	3	vertical	0
10.027172	0.0124417	2.99378	80.0	-58.4712	10068100.0	97.8149	0.0	643.0	113.0	0.0	0.0	0.0	0.0	3	vertical	0
