time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100770	7.0	3.0	80.0	-55.9078	42543200.0	975.0	4.0	1443.0	23.0	1431.0	3.0	1084.0	0.0	9	fan	1
8.201831	7.0	3.0	80.0	-55.9661	42409400.0	975.0	3.0	1447.0	16.0	1435.0	1.0	0.0	0.0	9	fan	1
8.302896	7.0	3.0	80.0	-55.9187	43844100.0	975.0	9.0	1488.0	86.0	1395.0	0.0	0.0	0.0	9	fan	1
8.404059	7.0	3.0	80.0	-55.9123	43399900.0	975.0	8.0	1471.0	55.0	1429.0	2.0	0.0	0.0	9	fan	1
8.505575	7.00069	3.0	80.0	-55.9278	42581300.0	975.134	0.0	1454.0	64.0	1394.0	3.0	0.0	0.0	9	fan	1
8.605580	7.0	3.0	80.0	-55.93	42806900.0	975.0	0.0	1442.0	53.0	1408.0	3.0	0.0	0.0	9	fan	1
8.705765	7.0	3.0	80.0	-55.9067	43119700.0	975.0	5.0	1458.0	70.0	1391.0	3.0	0.0	0.0	9	fan	1
8.805965	7.0	3.0	80.0	-55.8857	42305500.0	975.0	4.0	1426.0	45.0	1393.0	3.0	0.0	0.0	9	fan	1
8.906661	7.0	3.0	80.0	-55.9474	40568200.0	975.0	2.0	1388.0	32.0	1371.0	5.0	0.0	0.0	9	fan	1
9.006731	7.0	3.0	80.0	-55.9804	42419100.0	975.0	1.0	1425.0	46.0	1398.0	4.0	0.0	0.0	9	fan	1
9.107655	7.0	3.0	80.0	-55.9276	42694100.0	975.0	1.0	1450.0	59.0	1396.0	2.0	0.0	0.0	9	fan	1
9.208055	7.0	3.0	80.0	-55.9511	43518900.0	975.0	0.0	1471.0	89.0	1399.0	3.0	0.0	0.0	9	fan	1
9.308064	7.0	3.0	80.0	-55.9931	42839700.0	975.0	8.0	1447.0	56.0	1395.0	2.0	0.0	0.0	9	fan	1
9.408602	7.0	3.0	80.0	-55.9653	43457600.0	975.0	1.0	1468.0	47.0	1409.0	1.0	0.0	0.0	9	fan	1
9.508933	7.0	3.0	80.0	-56.016	44501400.0	975.0	12.0	1496.0	82.0	1420.0	2.0	0.0	0.0	9	fan	1
9.609216	7.0	3.0	80.0	-55.9779	43010300.0	975.0	1.0	1449.0	58.0	1413.0	3.0	0.0	0.0	9	fan	1
