time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.103177	4.0	3.0	80.0	-72.4422	26274000.0	585.0	19.0	900.0	11.0	1169.0	37.0	2827.0	0.0	13	horizontal	1
8.203833	4.0	3.0	80.0	-72.4341	35574000.0	585.0	0.0	1191.0	47.0	1341.0	69.0	0.0	0.0	13	horizontal	1
8.304440	4.0	3.0	80.0	-72.4124	36881100.0	585.0	0.0	1227.0	23.0	1348.0	42.0	0.0	0.0	13	horizontal	1
8.404960	4.0	3.0	80.0	-72.5457	29599500.0	585.0	10.0	995.0	33.0	1123.0	59.0	515.0	0.0	13	horizontal	1
8.505347	4.0	3.0	80.0	-72.4225	36794800.0	585.0	0.0	1226.0	31.0	1343.0	45.0	4233.0	0.0	13	horizontal	1
8.605375	4.0	3.0	80.0	-72.3198	33318800.0	585.0	0.0	1107.0	55.0	1201.0	47.0	0.0	0.0	13	horizontal	1
8.705377	4.0	3.0	80.0	-72.4026	37711800.0	585.0	0.0	1252.0	28.0	1348.0	32.0	0.0	0.0	13	horizontal	1
8.805686	4.0	3.0	80.0	-72.3943	32742500.0	585.0	0.0	1088.0	49.0	1215.0	56.0	0.0	0.0	13	horizontal	1
8.906276	4.0	3.0	80.0	-72.5261	38013300.0	585.0	0.0	1266.0	24.0	1354.0	37.0	0.0	0.0	13	horizontal	1
9.007704	4.0	3.0	80.0	-72.628	32609700.0	585.0	0.0	1094.0	38.0	1201.0	35.0	128.0	0.0	13	horizontal	1
9.107709	4.0	3.0	80.0	-72.553	35232300.0	585.0	0.0	1170.0	25.0	1303.0	50.0	0.0	0.0	13	horizontal	1
9.207721	4.0	3.0	80.0	-72.5213	34608200.0	585.0	0.0	1149.0	43.0	1258.0	46.0	0.0	0.0	13	horizontal	1
9.308098	4.0	3.0	80.0	-72.5825	37103800.0	585.0	0.0	1231.0	32.0	1347.0	48.0	0.0	0.0	13	horizontal	1
9.408128	4.0	3.0	80.0	-72.547	34527000.0	585.0	0.0	1150.0	41.0	1276.0	41.0	0.0	0.0	13	horizontal	1
9.508451	4.0	3.0	80.0	-72.565	36675100.0	585.0	0.0	1216.0	33.0	1350.0	35.0	0.0	0.0	13	horizontal	1
9.608454	4.0	3.0	80.0	-72.6681	34289800.0	585.0	0.0	1142.0	39.0	1225.0	35.0	0.0	0.0	13	horizontal	1
9.708462	4.0	3.0	80.0	-72.5039	34721800.0	585.0	0.0	1155.0	22.0	1263.0	45.0	0.0	0.0	13	horizontal	1
9.808811	4.0	3.0	80.0	-72.6539	32157700.0	585.0	0.0	1069.0	43.0	1203.0	48.0	248.0	0.0	13	horizontal	1
9.909553	4.0	3.0	80.0	-72.6382	36096100.0	585.0	0.0	1205.0	33.0	1300.0	47.0	0.0	0.0	13	horizontal	1
10.009556	4.0	3.0	80.0	-72.5876	35121800.0	585.0	0.0	1164.0	46.0	1263.0	49.0	128.0	0.0	13	horizontal	1
10.109560	4.0	3.0	80.0	-72.6364	37849100.0	585.0	0.0	1254.0	31.0	1332.0	42.0	128.0	0.0	13	horizontal	1
10.209563	4.0	3.0	80.0	-72.6118	33651000.0	585.0	0.0	1118.0	10.0	1286.0	50.0	383.0	0.0	13	horizontal	1
10.310072	4.0	3.0	80.0	-72.7127	35899600.0	585.0	0.0	1194.0	25.0	1331.0	43.0	0.0	0.0	13	horizontal	1
10.410201	4.0	3.0	80.0	-72.7305	32815700.0	585.0	0.0	1087.0	29.0	1234.0	54.0	0.0	0.0	13	horizontal	1
