time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100005	5.00594	3.0	80.0	-68.5513	40296400.0	780.579	0.0	1346.0	27.0	1339.0	3.0	923.0	0.0	15	left	1
8.200011	5.0	3.0	80.0	-68.5498	42571700.0	780.0	0.0	1417.0	7.0	1426.0	3.0	0.0	0.0	15	left	1
8.300038	5.00578	3.0	80.0	-68.5249	41450700.0	780.563	1.0	1385.0	6.0	1395.0	3.0	0.0	0.0	15	left	1
8.400076	5.00589	3.0	80.0	-68.5464	40519100.0	780.574	1.0	1358.0	9.0	1379.0	4.0	0.0	0.0	15	left	1
8.500238	5.0	3.0	80.0	-68.5376	41021000.0	780.0	0.0	1369.0	4.0	1387.0	3.0	0.0	0.0	15	left	1
8.601464	5.00647	3.0	80.0	-68.6311	27222300.0	780.631	0.0	927.0	101.0	1001.0	16.0	265.0	0.0	15	left	1
8.701583	5.0	3.0	80.0	-68.6094	38071900.0	780.0	3.0	1280.0	30.0	1322.0	9.0	0.0	0.0	15	left	1
8.801698	5.01173	3.0	80.0	-68.6012	40824600.0	781.144	0.0	1364.0	25.0	1363.0	4.0	0.0	0.0	15	left	1
8.901823	5.00572	3.0	80.0	-68.6133	41798700.0	780.558	2.0	1399.0	22.0	1386.0	2.0	0.0	0.0	15	left	1
9.002001	5.00586	3.0	80.0	-68.6618	40875900.0	780.571	0.0	1366.0	25.0	1362.0	3.0	0.0	0.0	15	left	1
9.102091	5.0	3.0	80.0	-68.7681	41702000.0	780.0	0.0	1393.0	27.0	1393.0	4.0	0.0	0.0	15	left	1
9.202098	5.00584	3.0	80.0	-68.8395	41131100.0	780.569	0.0	1371.0	23.0	1357.0	3.0	0.0	0.0	15	left	1
9.302136	5.00583	3.0	80.0	-68.807	41135500.0	780.568	2.0	1373.0	24.0	1375.0	3.0	0.0	0.0	15	left	1
9.402145	5.00578	3.0	80.0	-68.8967	41442100.0	780.564	1.0	1384.0	23.0	1383.0	3.0	0.0	0.0	15	left	1
9.502412	5.00317	3.0	80.0	-68.9342	37446400.0	780.309	0.0	1261.0	23.0	1253.0	4.0	0.0	0.0	15	left	1
9.602542	5.00697	3.0	80.0	-68.8528	34299300.0	780.679	2.0	1148.0	93.0	1203.0	12.0	0.0	0.0	15	left	1
9.703062	4.35653	3.0	80.0	-68.3031	31410700.0	654.523	12.0	1049.0	40.0	1244.0	20.0	1491.0	0.0	15	left	1
9.803068	4.68977	3.0	80.0	-68.5624	36846700.0	718.876	1.0	1241.0	35.0	1230.0	3.0	0.0	0.0	15	left	1
9.904423	5.00615	3.0	80.0	-68.9931	38400900.0	780.6	1.0	1301.0	27.0	1303.0	4.0	0.0	0.0	15	left	1
10.005174	5.0107	3.0	80.0	-68.8678	38576700.0	781.043	3.0	1309.0	25.0	1312.0	7.0	128.0	0.0	15	left	1
10.105349	5.0	3.0	80.0	-68.8735	39861000.0	780.0	0.0	1336.0	19.0	1335.0	3.0	0.0	0.0	15	left	1
10.205493	5.0062	3.0	80.0	-68.8985	38571300.0	780.604	0.0	1291.0	22.0	1281.0	3.0	0.0	0.0	15	left	1
10.306416	5.00593	3.0	80.0	-68.9199	39843700.0	780.578	3.0	1349.0	27.0	1347.0	4.0	0.0	0.0	15	left	1
10.407398	5.0	3.0	80.0	-68.913	38932500.0	780.0	1.0	1322.0	24.0	1320.0	4.0	0.0	0.0	15	left	1
10.508000	5.00612	3.0	80.0	-68.8592	38979100.0	780.597	0.0	1307.0	23.0	1297.0	3.0	0.0	0.0	15	left	1
10.608225	5.0046	3.0	80.0	-68.9754	38835700.0	780.449	2.0	1303.0	22.0	1299.0	4.0	0.0	0.0	15	left	1
10.708225	5.0	3.0	80.0	-68.8564	39729500.0	780.0	0.0	1330.0	24.0	1326.0	4.0	0.0	0.0	15	left	1
10.810709	5.00609	3.0	80.0	-68.8675	38282100.0	780.594	2.0	1313.0	15.0	1308.0	3.0	0.0	0.0	15	left	1
10.910840	5.00593	3.0	80.0	-68.9459	40205600.0	780.578	2.0	1350.0	16.0	1353.0	2.0	0.0	0.0	15	left	1
11.011271	5.0	3.0	80.0	-68.8933	38913700.0	780.0	0.0	1312.0	20.0	1312.0	3.0	0.0	0.0	15	left	1
11.111399	5.00606	3.0	80.0	-68.9606	39684500.0	780.591	0.0	1320.0	42.0	1310.0	4.0	0.0	0.0	15	left	1
11.211401	5.00571	3.0	80.0	-68.9493	41895400.0	780.557	0.0	1400.0	23.0	1391.0	3.0	0.0	0.0	15	left	1
11.311537	5.0	3.0	80.0	-68.9949	41002500.0	780.0	1.0	1371.0	25.0	1375.0	3.0	0.0	0.0	15	left	1
11.412313	5.00574	3.0	80.0	-69.0136	41299000.0	780.56	1.0	1394.0	23.0	1385.0	2.0	0.0	0.0	15	left	1
11.512530	5.00586	3.0	80.0	-68.9217	40860300.0	780.571	0.0	1366.0	35.0	1361.0	4.0	0.0	0.0	15	left	1
11.612540	5.0	3.0	80.0	-69.0247	41148300.0	780.0	0.0	1375.0	23.0	1375.0	3.0	0.0	0.0	15	left	1
11.712548	5.00595	3.0	80.0	-68.9665	40021600.0	780.58	1.0	1344.0	38.0	1327.0	3.0	0.0	0.0	15	left	1
11.812580	5.00648	3.0	80.0	-68.9781	36727800.0	780.632	1.0	1234.0	19.0	1236.0	3.0	0.0	0.0	15	left	1
11.913243	5.00147	3.0	80.0	-68.9392	40527700.0	780.143	0.0	1365.0	27.0	1365.0	4.0	0.0	0.0	15	left	1
12.013321	5.01417	3.0	80.0	-68.9376	42341000.0	781.382	2.0	1411.0	26.0	1401.0	4.0	0.0	0.0	15	left	1
12.113325	5.0	3.0	80.0	-69.0021	41831900.0	780.0	1.0	1396.0	9.0	1391.0	1.0	0.0	0.0	15	left	1
12.214533	5.01151	3.0	80.0	-68.9806	41134600.0	781.122	3.0	1390.0	25.0	1391.0	3.0	0.0	0.0	15	left	1
12.314867	5.0	3.0	80.0	-68.9525	42112800.0	780.0	0.0	1412.0	23.0	1406.0	4.0	0.0	0.0	15	left	1
12.416065	5.01168	3.0	80.0	-68.9526	40422100.0	781.139	1.0	1370.0	26.0	1365.0	3.0	0.0	0.0	15	left	1
12.516126	5.00584	3.0	80.0	-69.0022	41078500.0	780.569	2.0	1371.0	37.0	1369.0	4.0	0.0	0.0	15	left	1
12.617594	4.74907	3.0	80.0	-68.7667	31946500.0	721.5	31.0	1080.0	74.0	1196.0	10.0	0.0	0.0	15	left	1
12.717604	4.69341	3.0	80.0	-68.6692	27158300.0	719.357	25.0	910.0	136.0	1080.0	16.0	1104.0	0.0	15	left	1
12.818969	4.11454	2.93979	80.0	-68.2849	20329200.0	590.154	43.0	681.0	69.0	1130.0	26.0	3743.0	0.0	15	left	1
12.921410	4.42504	3.0	80.0	-68.6073	34531500.0	667.883	20.0	1174.0	26.0	1305.0	13.0	0.0	0.0	15	left	1
13.022190	5.00605	3.0	80.0	-69.0045	39356000.0	780.59	0.0	1322.0	23.0	1323.0	4.0	0.0	0.0	15	left	1
13.123213	5.00619	2.99923	80.0	-68.9009	38072500.0	780.352	0.0	1292.0	7.0	1321.0	6.0	1744.0	0.0	15	left	1
13.223221	5.00599	3.0	80.0	-69.0854	39971700.0	780.584	1.0	1335.0	13.0	1329.0	3.0	0.0	0.0	15	left	1
13.324050	5.0	3.0	80.0	-69.0031	37849800.0	780.0	0.0	1279.0	0.0	1313.0	2.0	0.0	0.0	15	left	1
13.424241	5.00598	3.0	80.0	-69.0254	39809300.0	780.583	0.0	1338.0	10.0	1356.0	6.0	64.0	0.0	15	left	1
13.527919	5.00602	3.0	80.0	-69.009	38304700.0	780.586	0.0	1330.0	8.0	1335.0	2.0	0.0	0.0	15	left	1
13.629686	4.91585	3.0	80.0	-68.7977	32627500.0	763.59	5.0	1117.0	30.0	1188.0	7.0	0.0	0.0	15	left	1
13.730086	4.52386	3.0	80.0	-68.6522	28162400.0	686.326	31.0	943.0	134.0	1094.0	15.0	0.0	0.0	15	left	1
13.830326	4.01496	2.99501	80.0	-68.3204	24146800.0	585.324	58.0	802.0	16.0	1260.0	19.0	0.0	0.0	15	left	1
13.931616	4.71322	3.0	80.0	-68.7616	31807600.0	723.352	32.0	1074.0	38.0	1174.0	7.0	0.0	0.0	15	left	1
14.032608	5.0	3.0	80.0	-69.032	34579000.0	780.0	4.0	1186.0	6.0	1203.0	4.0	0.0	0.0	15	left	1
14.132779	5.00604	3.0	80.0	-68.9691	39431600.0	780.589	0.0	1325.0	22.0	1331.0	4.0	0.0	0.0	15	left	1
14.233021	5.00606	3.0	80.0	-69.0235	39445700.0	780.59	0.0	1321.0	6.0	1326.0	3.0	0.0	0.0	15	left	1
14.335123	5.0	3.0	80.0	-68.9925	39137000.0	780.0	0.0	1335.0	0.0	1346.0	2.0	0.0	0.0	15	left	1
14.435218	5.00633	3.0	80.0	-69.0681	37784100.0	780.618	3.0	1263.0	4.0	1298.0	3.0	0.0	0.0	15	left	1
14.535219	5.00577	3.0	80.0	-68.9409	41780600.0	780.562	0.0	1387.0	17.0	1386.0	4.0	0.0	0.0	15	left	1
14.635245	5.0	3.0	80.0	-69.0255	40006500.0	780.0	0.0	1333.0	6.0	1357.0	3.0	0.0	0.0	15	left	1
14.735469	5.0056	3.0	80.0	-68.9356	42698400.0	780.546	0.0	1428.0	8.0	1444.0	3.0	0.0	0.0	15	left	1
14.835678	5.00571	3.0	80.0	-69.0207	41899200.0	780.557	2.0	1400.0	9.0	1408.0	3.0	0.0	0.0	15	left	1
14.935692	5.0	3.0	80.0	-69.0149	42153900.0	780.0	1.0	1409.0	6.0	1423.0	3.0	0.0	0.0	15	left	1
15.036076	5.00622	3.0	80.0	-69.1198	38443100.0	780.607	0.0	1286.0	4.0	1318.0	3.0	0.0	0.0	15	left	1
15.136183	5.00602	3.0	80.0	-69.0158	39698600.0	780.587	3.0	1328.0	4.0	1341.0	3.0	0.0	0.0	15	left	1
15.236446	5.0	3.0	80.0	-69.0148	42437100.0	780.0	0.0	1423.0	9.0	1435.0	3.0	0.0	0.0	15	left	1
15.336707	5.00571	3.0	80.0	-68.9793	41939500.0	780.556	0.0	1402.0	22.0	1405.0	4.0	0.0	0.0	15	left	1
15.438437	5.00576	3.0	80.0	-69.0346	40907200.0	780.562	0.0	1388.0	22.0	1390.0	4.0	0.0	0.0	15	left	1
15.538895	5.0	3.0	80.0	-68.9649	41717300.0	780.0	0.0	1395.0	5.0	1412.0	3.0	0.0	0.0	15	left	1
15.639067	5.00619	3.0	80.0	-69.0611	38634900.0	780.604	0.0	1292.0	9.0	1324.0	3.0	0.0	0.0	15	left	1
15.739737	4.76731	3.0	80.0	-68.8558	30863600.0	734.062	16.0	1040.0	19.0	1240.0	12.0	3125.0	0.0	15	left	1
15.841699	4.55827	3.0	80.0	-68.6082	26558000.0	693.862	33.0	901.0	154.0	1062.0	20.0	965.0	0.0	15	left	1
15.942030	4.73852	3.0	80.0	-68.7845	25310000.0	729.011	16.0	849.0	127.0	1026.0	17.0	78.0	0.0	15	left	1
16.042049	4.63466	3.0	80.0	-68.8218	36875100.0	708.124	22.0	1229.0	18.0	1350.0	8.0	150.0	0.0	15	left	1
16.142447	5.0	3.0	80.0	-69.1439	42235000.0	780.0	0.0	1411.0	16.0	1415.0	4.0	0.0	0.0	15	left	1
16.243169	5.00607	3.0	80.0	-69.0585	38923500.0	780.592	0.0	1317.0	13.0	1322.0	3.0	0.0	0.0	15	left	1
16.344054	5.0	3.0	80.0	-69.0655	38855400.0	780.0	1.0	1328.0	9.0	1330.0	2.0	0.0	0.0	15	left	1
16.444258	5.00573	3.0	80.0	-69.1096	41808600.0	780.559	0.0	1396.0	25.0	1385.0	3.0	0.0	0.0	15	left	1
16.544442	5.00429	3.0	80.0	-69.053	41484700.0	780.419	0.0	1397.0	29.0	1394.0	5.0	0.0	0.0	15	left	1
16.644528	5.0	3.0	80.0	-69.119	41922700.0	780.0	0.0	1403.0	23.0	1403.0	3.0	0.0	0.0	15	left	1
16.745862	5.00579	3.0	80.0	-69.0507	41108100.0	780.564	0.0	1382.0	26.0	1372.0	3.0	0.0	0.0	15	left	1
16.846786	5.00427	3.0	80.0	-69.0868	41726300.0	780.416	1.0	1405.0	25.0	1402.0	4.0	0.0	0.0	15	left	1
16.947420	5.0	3.0	80.0	-69.0548	42401100.0	780.0	0.0	1423.0	26.0	1416.0	4.0	0.0	0.0	15	left	1
17.047612	5.00432	3.0	80.0	-69.1427	41656100.0	780.421	0.0	1388.0	19.0	1385.0	3.0	0.0	0.0	15	left	1
17.147750	5.00565	3.0	80.0	-69.1299	42485600.0	780.55	0.0	1417.0	25.0	1413.0	3.0	0.0	0.0	15	left	1
17.247839	5.0	3.0	80.0	-69.0455	42286200.0	780.0	0.0	1406.0	23.0	1399.0	3.0	0.0	0.0	15	left	1
17.348880	5.00434	3.0	80.0	-69.1561	41003700.0	780.423	0.0	1384.0	30.0	1381.0	5.0	0.0	0.0	15	left	1
17.448914	5.0056	3.0	80.0	-69.152	42779600.0	780.546	0.0	1428.0	29.0	1425.0	3.0	0.0	0.0	15	left	1
17.549507	5.0	3.0	80.0	-69.0512	40168000.0	780.0	2.0	1348.0	39.0	1340.0	3.0	0.0	0.0	15	left	1
17.651097	5.00567	3.0	80.0	-69.1028	41590700.0	780.553	0.0	1410.0	18.0	1406.0	2.0	0.0	0.0	15	left	1
17.751451	5.00574	3.0	80.0	-69.1011	41623700.0	780.56	1.0	1394.0	29.0	1389.0	4.0	0.0	0.0	15	left	1
