time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101150	5.0	3.0	80.0	-57.7949	32959700.0	780.0	41.0	1131.0	57.0	1133.0	28.0	715.0	0.0	14	vertical	1
8.201708	5.0	3.0	80.0	-57.7722	36442300.0	780.0	12.0	1229.0	28.0	1256.0	21.0	1026.0	0.0	14	vertical	1
8.302680	5.0	3.0	80.0	-57.8566	33105000.0	780.0	23.0	1130.0	39.0	1177.0	24.0	1026.0	0.0	14	vertical	1
8.403680	5.0	3.0	80.0	-57.9322	34735900.0	780.0	18.0	1180.0	47.0	1178.0	23.0	0.0	0.0	14	vertical	1
8.503760	5.0	3.0	80.0	-57.9462	34698800.0	780.0	38.0	1170.0	22.0	1250.0	31.0	0.0	0.0	14	vertical	1
8.604597	5.0	3.0	80.0	-57.9154	34162100.0	780.0	5.0	1159.0	31.0	1192.0	26.0	0.0	0.0	14	vertical	1
8.704991	4.48596	3.0	80.0	-57.6885	34864300.0	679.762	4.0	1175.0	24.0	1185.0	18.0	2048.0	0.0	14	vertical	1
8.805088	4.23084	3.0	80.0	-57.5009	34432600.0	630.013	0.0	1148.0	10.0	1155.0	8.0	0.0	0.0	14	vertical	1
8.906746	5.0	3.0	80.0	-58.0744	31662100.0	780.0	12.0	1088.0	43.0	1108.0	25.0	0.0	0.0	14	vertical	1
9.006880	5.0	3.0	80.0	-57.8869	34678400.0	780.0	6.0	1167.0	41.0	1220.0	40.0	0.0	0.0	14	vertical	1
9.108035	5.0	3.0	80.0	-58.0327	33061300.0	780.0	13.0	1130.0	21.0	1194.0	34.0	256.0	0.0	14	vertical	1
9.208208	5.0	3.0	80.0	-57.9393	33615000.0	780.0	26.0	1136.0	40.0	1190.0	26.0	0.0	0.0	14	vertical	1
9.308927	5.0	3.0	80.0	-58.196	35311700.0	780.0	13.0	1199.0	23.0	1225.0	28.0	67.0	0.0	14	vertical	1
9.409073	5.0	3.0	80.0	-57.9812	33051300.0	780.0	10.0	1116.0	19.0	1182.0	33.0	0.0	0.0	14	vertical	1
9.509493	5.0	3.0	80.0	-58.084	33908000.0	780.0	18.0	1155.0	45.0	1178.0	19.0	0.0	0.0	14	vertical	1
9.609505	5.0	3.0	80.0	-57.9434	30382800.0	780.0	17.0	1042.0	37.0	1057.0	32.0	128.0	0.0	14	vertical	1
9.710608	5.0	3.0	80.0	-58.0281	31076100.0	780.0	15.0	1069.0	32.0	1097.0	38.0	0.0	0.0	14	vertical	1
9.810885	5.0	3.0	80.0	-58.0241	30403200.0	780.0	12.0	1036.0	33.0	1078.0	25.0	256.0	0.0	14	vertical	1
9.910894	5.0	3.0	80.0	-58.0324	30947200.0	780.0	21.0	1050.0	32.0	1073.0	21.0	0.0	0.0	14	vertical	1
10.011375	5.0	3.0	80.0	-57.8292	33743300.0	780.0	17.0	1142.0	50.0	1144.0	31.0	1861.0	0.0	14	vertical	1
10.112365	5.0	3.0	80.0	-58.143	33791800.0	780.0	1.0	1154.0	39.0	1129.0	13.0	0.0	0.0	14	vertical	1
10.212672	6.85082	2.07459	80.0	-61.4802	12761500.0	659.697	92.0	429.0	15.0	1139.0	97.0	761.0	0.0	14	vertical	1
10.313941	6.9891	2.00545	80.0	-62.0191	21589100.0	650.708	2.0	734.0	2.0	1209.0	186.0	6914.0	0.0	14	vertical	1
10.414374	5.32735	2.73543	80.0	-59.0332	32985100.0	732.489	12.0	1115.0	36.0	1160.0	34.0	0.0	0.0	14	vertical	1
