time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100791	7.1673	3.0	76.654	-56.3878	15208800.0	943.631	4.0	526.0	43.0	1075.0	211.0	5673.0	0.0	3	vertical	0
8.201150	7.06114	3.0	78.7773	-56.6659	13023100.0	963.537	7.0	458.0	13.0	1087.0	215.0	6177.0	0.0	3	vertical	0
8.301892	7.06824	3.0	78.6352	-56.7717	10981100.0	962.205	5.0	381.0	9.0	1050.0	189.0	840.0	0.0	3	vertical	0
8.402062	7.02577	3.0	79.4845	-56.4021	11213300.0	970.168	31.0	388.0	15.0	1136.0	216.0	3323.0	0.0	3	vertical	0
8.503123	7.10141	3.0	77.9718	-56.338	10267600.0	955.986	14.0	355.0	15.0	1062.0	199.0	5026.0	0.0	3	vertical	0
8.604189	7.02264	3.0	79.5472	-56.7245	7640350.0	970.755	4.0	265.0	8.0	1101.0	173.0	1277.0	0.0	3	vertical	0
8.704289	7.1206	3.0	77.5879	-56.8141	5683750.0	952.387	6.0	199.0	3.0	1093.0	138.0	5804.0	0.0	3	vertical	0
8.805046	7.01695	3.0	79.661	-57.3517	6666480.0	971.822	3.0	236.0	2.0	1070.0	162.0	3788.0	0.0	3	vertical	0
8.905264	7.05088	3.0	78.9824	-57.4658	14757500.0	965.46	19.0	511.0	25.0	1102.0	230.0	8238.0	0.0	3	vertical	0
9.006533	7.01404	3.0	79.7191	-57.7317	20311600.0	972.367	26.0	712.0	55.0	1060.0	211.0	2435.0	0.0	3	vertical	0
9.106864	7.0349	3.0	79.302	-56.8255	21698700.0	968.456	9.0	745.0	38.0	1168.0	209.0	350.0	0.0	3	vertical	0
9.207712	7.0	3.0	79.6258	-56.7547	28300700.0	970.088	42.0	962.0	79.0	1220.0	186.0	5251.0	0.0	3	vertical	0
9.307713	6.54206	3.0	78.8785	-56.5623	38091800.0	915.456	65.0	1284.0	187.0	1269.0	102.0	3072.0	0.0	3	vertical	0
9.408512	5.05796	2.99592	79.4449	-53.7257	35993700.0	777.02	1.0	1225.0	19.0	1209.0	3.0	0.0	0.0	3	vertical	0
9.509361	6.46269	3.0	78.4386	-54.7577	25397600.0	901.825	6.0	871.0	34.0	1231.0	184.0	4676.0	0.0	3	vertical	0
9.609703	7.01503	3.0	79.399	-56.0818	17412500.0	968.464	6.0	599.0	17.0	1235.0	261.0	8997.0	0.0	3	vertical	0
9.709737	7.03966	3.0	78.4138	-56.7121	16817500.0	957.75	27.0	580.0	41.0	1124.0	252.0	5836.0	0.0	3	vertical	0
9.810252	7.01745	3.0	79.302	-57.3584	21629400.0	967.409	27.0	745.0	61.0	1112.0	237.0	5496.0	0.0	3	vertical	0
9.911769	7.03034	3.0	78.7863	-57.8306	22791700.0	961.802	11.0	791.0	79.0	1050.0	225.0	3074.0	0.0	3	vertical	0
10.012746	6.95206	3.0	79.5739	-58.1904	21538300.0	964.654	25.0	751.0	64.0	1007.0	177.0	512.0	0.0	3	vertical	0
10.112907	7.00445	3.0	79.822	-58.2937	26095400.0	973.065	42.0	899.0	85.0	1077.0	178.0	3966.0	0.0	3	vertical	0
10.213145	7.02439	3.0	79.0244	-58.0254	28867200.0	964.39	23.0	984.0	113.0	1120.0	155.0	1152.0	0.0	3	vertical	0
10.313951	7.01178	3.0	79.5289	-57.6916	27126300.0	969.877	29.0	934.0	72.0	1067.0	156.0	1029.0	0.0	3	vertical	0
10.413954	7.01413	3.0	79.4348	-57.1554	26878700.0	968.853	30.0	920.0	72.0	1108.0	174.0	5201.0	0.0	3	vertical	0
10.515125	6.16806	3.0	79.5407	-56.0094	27642100.0	887.771	19.0	958.0	45.0	1086.0	120.0	1793.0	0.0	3	vertical	0
10.615903	6.01083	3.0	78.8583	-55.6319	30099900.0	863.356	24.0	1016.0	32.0	1235.0	129.0	2566.0	0.0	3	vertical	0
10.716884	7.00369	3.0	79.8526	-56.3993	23780600.0	973.397	17.0	814.0	28.0	1293.0	248.0	10598.0	0.0	3	vertical	0
10.817316	7.04556	3.0	78.1776	-56.1005	24725400.0	955.181	19.0	856.0	63.0	1218.0	241.0	3975.0	0.0	3	vertical	0
10.917894	6.98529	3.0	79.4118	-55.973	23848000.0	966.618	5.0	816.0	8.0	1280.0	257.0	11188.0	0.0	3	vertical	0
11.017950	6.90189	3.0	77.5414	-55.6714	25036000.0	938.316	19.0	846.0	39.0	1242.0	246.0	1429.0	0.0	3	vertical	0
11.118564	6.96631	3.0	79.3261	-55.8448	24376500.0	964.639	5.0	831.0	18.0	1248.0	243.0	5192.0	0.0	3	vertical	0
11.219024	6.96614	3.0	78.7908	-55.7606	24170000.0	957.606	8.0	827.0	14.0	1264.0	239.0	3906.0	0.0	3	vertical	0
11.319660	6.98748	3.0	79.2991	-55.8686	23312100.0	965.238	18.0	799.0	18.0	1231.0	223.0	4227.0	0.0	3	vertical	0
