time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100086	9.0	3.0	80.0	-46.1212	19076700.0	1300.0	3.0	660.0	3.0	1264.0	299.0	9804.0	0.0	1	fan	1
8.200403	9.0	3.0	80.0	-46.0828	18801700.0	1300.0	1.0	652.0	4.0	1234.0	288.0	9639.0	0.0	1	fan	1
8.300800	9.0	3.0	80.0	-46.0878	20263300.0	1300.0	2.0	695.0	5.0	1256.0	268.0	4880.0	0.0	1	fan	1
8.401119	8.24338	3.0	80.0	-46.1384	29672800.0	1201.64	1.0	1019.0	3.0	1252.0	127.0	4483.0	0.0	1	fan	1
8.501130	9.0	3.0	80.0	-46.0915	18405400.0	1300.0	3.0	634.0	5.0	1241.0	270.0	10695.0	0.0	1	fan	1
8.601371	8.86072	3.0	80.0	-46.1267	20734600.0	1281.89	4.0	718.0	5.0	1259.0	264.0	4995.0	0.0	1	fan	1
8.701541	9.0	3.0	80.0	-46.1071	19304400.0	1300.0	1.0	663.0	5.0	1244.0	271.0	2188.0	0.0	1	fan	1
8.801934	9.0	3.0	80.0	-46.1176	18317800.0	1300.0	1.0	629.0	3.0	1236.0	277.0	5129.0	0.0	1	fan	1
8.902586	9.0	3.0	80.0	-46.0971	18780500.0	1300.0	2.0	649.0	2.0	1260.0	275.0	5957.0	0.0	1	fan	1
9.003610	9.0	3.0	80.0	-46.1634	20592600.0	1300.0	4.0	722.0	11.0	1227.0	275.0	15002.0	0.0	1	fan	1
9.104618	9.0	3.0	80.0	-46.105	19715900.0	1300.0	4.0	686.0	7.0	1275.0	273.0	6216.0	0.0	1	fan	1
9.204661	9.0	3.0	80.0	-46.1343	17242800.0	1300.0	4.0	603.0	5.0	1176.0	245.0	6249.0	0.0	1	fan	1
9.305442	9.0	3.0	80.0	-46.0744	17314400.0	1300.0	6.0	605.0	4.0	1222.0	277.0	11570.0	0.0	1	fan	1
9.406222	9.0	3.0	80.0	-46.0487	20039000.0	1300.0	1.0	698.0	10.0	1276.0	281.0	6747.0	0.0	1	fan	1
