time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100595	7.0	3.0	80.0	-54.9131	20495700.0	975.0	1.0	702.0	6.0	1224.0	156.0	1283.0	0.0	2	horizontal	1
8.200827	7.0	3.0	80.0	-54.9246	18369600.0	975.0	2.0	623.0	21.0	1152.0	178.0	640.0	0.0	2	horizontal	1
8.301269	7.0	3.0	80.0	-54.6462	21963600.0	975.0	2.0	749.0	11.0	1201.0	153.0	5657.0	0.0	2	horizontal	1
8.402491	7.0	3.0	80.0	-54.6842	25892300.0	975.0	7.0	896.0	10.0	1269.0	115.0	726.0	0.0	2	horizontal	1
8.503121	7.0	3.0	80.0	-54.6834	23792100.0	975.0	0.0	818.0	11.0	1214.0	151.0	2306.0	0.0	2	horizontal	1
8.603128	7.0	3.0	80.0	-54.9747	20517900.0	975.0	4.0	711.0	6.0	1205.0	123.0	384.0	0.0	2	horizontal	1
8.703438	7.0	3.0	80.0	-54.8338	19508900.0	975.0	1.0	674.0	3.0	1187.0	160.0	10294.0	0.0	2	horizontal	1
8.804866	7.0	3.0	80.0	-54.8193	19286800.0	975.0	0.0	664.0	7.0	1186.0	183.0	1095.0	0.0	2	horizontal	1
8.905858	7.0	3.0	80.0	-54.8397	22799300.0	975.0	1.0	786.0	8.0	1216.0	185.0	772.0	0.0	2	horizontal	1
9.006067	7.0	3.0	80.0	-54.8778	24577700.0	975.0	2.0	843.0	9.0	1161.0	161.0	6411.0	0.0	2	horizontal	1
9.106512	7.0	3.0	80.0	-54.9794	22631000.0	975.0	3.0	776.0	5.0	1231.0	141.0	4424.0	0.0	2	horizontal	1
9.207244	7.0	3.0	80.0	-54.8652	20671800.0	975.0	14.0	712.0	7.0	1180.0	142.0	2980.0	0.0	2	horizontal	1
9.307536	7.0	3.0	80.0	-54.7423	18877600.0	975.0	0.0	652.0	4.0	1170.0	151.0	4422.0	0.0	2	horizontal	1
9.407912	7.0	3.0	80.0	-54.9774	19202700.0	975.0	4.0	663.0	12.0	1125.0	173.0	4738.0	0.0	2	horizontal	1
9.507912	7.0	3.0	80.0	-55.0214	20814400.0	975.0	5.0	702.0	15.0	1208.0	194.0	5863.0	0.0	2	horizontal	1
9.609071	7.0	3.0	80.0	-55.0663	18790900.0	975.0	33.0	649.0	24.0	1152.0	175.0	710.0	0.0	2	horizontal	1
9.709310	7.0	3.0	80.0	-55.0085	20585800.0	975.0	6.0	703.0	10.0	1179.0	191.0	10210.0	0.0	2	horizontal	1
9.810332	7.0	3.0	80.0	-54.909	18768800.0	975.0	7.0	648.0	8.0	1223.0	214.0	3453.0	0.0	2	horizontal	1
9.911463	7.0	3.0	80.0	-54.9968	17754900.0	975.0	3.0	619.0	20.0	1157.0	216.0	4686.0	0.0	2	horizontal	1
10.012122	7.0	3.0	80.0	-54.966	17230000.0	975.0	5.0	589.0	12.0	1210.0	229.0	1823.0	0.0	2	horizontal	1
10.112533	7.0	3.0	80.0	-55.0321	15359600.0	975.0	8.0	529.0	11.0	1204.0	208.0	905.0	0.0	2	horizontal	1
10.212889	7.0	3.0	80.0	-54.967	13232700.0	975.0	25.0	455.0	14.0	1139.0	204.0	7047.0	0.0	2	horizontal	1
10.313246	7.0	3.0	80.0	-55.0901	16110000.0	975.0	3.0	555.0	3.0	1214.0	226.0	1015.0	0.0	2	horizontal	1
10.414387	7.0	3.0	80.0	-55.1623	16324300.0	975.0	6.0	567.0	12.0	1177.0	226.0	325.0	0.0	2	horizontal	1
10.514794	7.0	3.0	80.0	-55.1257	16622300.0	975.0	10.0	565.0	11.0	1211.0	231.0	0.0	0.0	2	horizontal	1
10.615044	7.0	3.0	80.0	-55.048	16994200.0	975.0	3.0	583.0	11.0	1181.0	220.0	1946.0	0.0	2	horizontal	1
10.716033	7.0	3.0	80.0	-55.0425	16917900.0	975.0	4.0	588.0	10.0	1215.0	260.0	2098.0	0.0	2	horizontal	1
