time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100003	5.27934	2.99792	78.0478	-60.0374	28392200.0	780.957	21.0	963.0	35.0	998.0	30.0	3085.0	0.0	13	left	1
8.200952	5.21395	3.0	79.814	-60.0802	24831100.0	798.419	3.0	860.0	14.0	915.0	19.0	0.0	0.0	13	left	1
8.302334	7.0	3.0	79.4171	-61.6667	15629700.0	967.35	21.0	549.0	95.0	829.0	120.0	8559.0	0.0	13	left	1
8.404081	5.61332	3.0	78.105	-60.4328	22257700.0	815.397	12.0	781.0	64.0	894.0	48.0	2.0	0.0	13	left	1
8.505050	7.22984	2.76411	79.9194	-62.7319	14185300.0	926.95	28.0	496.0	85.0	852.0	93.0	1089.0	0.0	13	left	1
8.605932	7.78641	2.46602	66.0194	-62.7864	2897690.0	720.631	9.0	103.0	5.0	912.0	48.0	4139.0	0.0	13	left	1
8.706672	6.21516	2.89731	79.1198	-61.2103	11706300.0	855.689	33.0	409.0	46.0	813.0	75.0	3055.0	0.0	13	left	1
8.807401	6.27402	2.75445	74.4484	-61.3452	8110830.0	756.705	15.0	281.0	10.0	929.0	49.0	512.0	0.0	13	left	1
8.908154	7.74346	2.62827	77.9058	-63.089	5399720.0	906.995	13.0	191.0	16.0	929.0	70.0	2147.0	0.0	13	left	1
9.008789	6.97372	3.0	78.073	-61.6263	19830400.0	948.526	15.0	685.0	108.0	941.0	108.0	64.0	0.0	13	left	1
9.109746	6.57432	3.0	79.0541	-61.3733	16943500.0	922.323	12.0	592.0	56.0	878.0	116.0	1024.0	0.0	13	left	1
9.210443	5.04706	3.0	78.5455	-59.9433	26661500.0	767.182	2.0	935.0	4.0	935.0	1.0	0.0	0.0	13	left	1
9.310592	7.2043	2.53226	74.8387	-62.5699	5353460.0	786.032	20.0	186.0	6.0	798.0	60.0	35.0	0.0	13	left	1
9.411481	8.38298	2.30851	68.9362	-63.6809	2352520.0	754.415	10.0	94.0	5.0	634.0	55.0	129.0	0.0	13	left	1
9.512568	7.21603	2.89199	78.885	-62.1115	7943480.0	948.592	6.0	287.0	34.0	670.0	79.0	528.0	0.0	13	left	1
