time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100019	7.0	3.0	78.5185	-63.037	838223.0	955.556	27.0	27.0	2.0	1114.0	25.0	6867.0	0.0	23	vertical	1
8.200904	5.02954	3.0	79.8818	-62.2999	19728300.0	781.329	33.0	677.0	26.0	1061.0	69.0	3229.0	0.0	23	vertical	1
8.302264	5.0	3.0	80.0	-61.4533	29640900.0	780.0	2.0	1028.0	20.0	1080.0	30.0	2048.0	0.0	23	vertical	1
8.403722	5.0	3.0	80.0	-59.967	25975500.0	780.0	3.0	908.0	20.0	1076.0	91.0	3328.0	0.0	23	vertical	1
8.505181	5.03046	3.0	80.0	-59.5	11193500.0	782.97	15.0	394.0	11.0	1076.0	161.0	8860.0	0.0	23	vertical	1
8.605581	5.0	3.0	80.0	-60.0815	23479700.0	780.0	11.0	810.0	9.0	1060.0	93.0	107.0	0.0	23	vertical	1
8.705772	5.0	3.0	80.0	-61.0078	22534500.0	780.0	0.0	773.0	9.0	1062.0	129.0	2065.0	0.0	23	vertical	1
8.806210	5.0	3.0	80.0	-60.0045	19466100.0	780.0	2.0	670.0	14.0	1053.0	163.0	2561.0	0.0	23	vertical	1
8.907252	5.0	3.0	80.0	-58.7841	21839300.0	780.0	0.0	755.0	12.0	1048.0	152.0	642.0	0.0	23	vertical	1
9.008619	5.0	3.0	80.0	-59.0227	25341500.0	780.0	0.0	883.0	7.0	1021.0	82.0	0.0	0.0	23	vertical	1
9.109613	5.0	3.0	80.0	-58.5106	27346900.0	780.0	0.0	940.0	10.0	1070.0	90.0	1024.0	0.0	23	vertical	1
9.211001	5.00206	3.0	80.0	-59.1346	28040900.0	780.2	0.0	973.0	15.0	1069.0	45.0	1155.0	0.0	23	vertical	1
9.311139	5.0	3.0	80.0	-59.2203	29910800.0	780.0	0.0	1026.0	14.0	1055.0	19.0	0.0	0.0	23	vertical	1
9.411267	5.00249	3.0	80.0	-57.9913	23417800.0	780.243	0.0	803.0	8.0	1060.0	106.0	1794.0	0.0	23	vertical	1
9.511552	5.0	3.0	80.0	-56.9789	19277300.0	780.0	0.0	662.0	4.0	1073.0	160.0	4639.0	0.0	23	vertical	1
9.611580	5.01429	3.0	80.0	-58.0443	20594400.0	781.393	19.0	700.0	22.0	1073.0	41.0	4221.0	0.0	23	vertical	1
9.712030	5.0	3.0	80.0	-60.3053	28470300.0	780.0	0.0	976.0	13.0	1056.0	39.0	495.0	0.0	23	vertical	1
9.812967	5.0122	3.0	80.0	-60.5122	9671190.0	781.189	0.0	328.0	4.0	1084.0	32.0	2283.0	0.0	23	vertical	1
9.913723	7.0	3.0	80.0	-61.8571	431538.0	975.0	9.0	14.0	1.0	1065.0	13.0	4116.0	0.0	23	vertical	1
10.013734	7.0	3.0	80.0	-61.0	31096.6	975.0	7.0	1.0	0.0	1079.0	1.0	0.0	0.0	23	vertical	1
10.114037	7.0	3.0	35.0	-56.5	123785.0	405.75	43.0	4.0	3.0	1069.0	1.0	1196.0	0.0	23	vertical	1
10.214584							6.0	0.0	0.0	1067.0	0.0	0.0	0.0	23	vertical	1
10.315037							4.0	0.0	0.0	1078.0	0.0	0.0	0.0	23	vertical	1
10.416046	5.0	3.0	80.0	-57.75	231087.0	780.0	6.0	8.0	0.0	1024.0	8.0	0.0	0.0	23	vertical	1
10.516897	5.0	3.0	80.0	-57.2462	1880300.0	780.0	7.0	65.0	2.0	1054.0	43.0	657.0	0.0	23	vertical	1
10.617525	5.0	3.0	80.0	-59.3	293657.0	780.0	0.0	10.0	0.0	1076.0	10.0	920.0	0.0	23	vertical	1
10.718032	5.0	3.0	80.0	-61.9375	1840120.0	780.0	4.0	64.0	2.0	1054.0	48.0	2640.0	0.0	23	vertical	1
10.818064	5.0	3.0	80.0	-60.8405	14894000.0	780.0	0.0	514.0	6.0	1049.0	196.0	6642.0	0.0	23	vertical	1
10.918515	5.0	3.0	80.0	-58.0517	5162930.0	780.0	3.0	174.0	4.0	1062.0	103.0	1887.0	0.0	23	vertical	1
11.019102	5.0	3.0	80.0	-56.4722	1095630.0	780.0	3.0	36.0	2.0	1061.0	33.0	4764.0	0.0	23	vertical	1
11.119105	5.0	3.0	80.0	-58.027	1057070.0	780.0	3.0	37.0	0.0	1071.0	29.0	2232.0	0.0	23	vertical	1
11.220557	5.0	3.0	80.0	-57.7393	9310940.0	780.0	1.0	326.0	8.0	1050.0	165.0	5859.0	0.0	23	vertical	1
11.320560	5.0	3.0	80.0	-58.8422	19331000.0	780.0	1.0	659.0	15.0	1064.0	181.0	4644.0	0.0	23	vertical	1
11.421070	5.0	3.0	80.0	-55.4702	20981100.0	780.0	0.0	721.0	7.0	1061.0	171.0	10194.0	0.0	23	vertical	1
11.521509	5.0	3.0	80.0	-55.6924	22453900.0	780.0	1.0	777.0	22.0	973.0	120.0	6756.0	0.0	23	vertical	1
11.622060	5.0	3.0	80.0	-54.967	13031600.0	780.0	8.0	454.0	7.0	781.0	117.0	0.0	0.0	23	vertical	1
11.722967	5.01935	3.0	80.0	-55.2452	8855020.0	781.887	21.0	310.0	9.0	841.0	32.0	4129.0	0.0	23	vertical	1
11.823476	5.0	3.0	80.0	-55.4614	19678600.0	780.0	0.0	700.0	3.0	811.0	79.0	2253.0	0.0	23	vertical	1
11.924687	5.0	3.0	80.0	-56.5339	9925090.0	780.0	11.0	354.0	2.0	795.0	104.0	1777.0	0.0	23	vertical	1
12.025396	5.00824	3.0	79.7527	-57.8063	20366500.0	777.676	1.0	728.0	10.0	792.0	38.0	0.0	0.0	23	vertical	1
