time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101035	7.0	3.0	80.0	-59.8	4059170.0	975.0	0.0	140.0	2.0	1232.0	97.0	8247.0	0.0	2	vertical	0
8.202049	7.0	3.0	80.0	-59.7053	2751670.0	975.0	2.0	95.0	0.0	1254.0	72.0	3169.0	0.0	2	vertical	0
8.303019	7.0	3.0	80.0	-59.6512	3798190.0	975.0	2.0	129.0	2.0	1230.0	95.0	2259.0	0.0	2	vertical	0
8.403568	7.0	3.0	80.0	-59.7411	3335350.0	975.0	0.0	112.0	0.0	1206.0	78.0	22.0	0.0	2	vertical	0
8.504299	7.0	3.0	80.0	-59.6526	2819510.0	975.0	0.0	95.0	3.0	1274.0	69.0	1424.0	0.0	2	vertical	0
8.604961	7.0	3.0	80.0	-59.7692	3083770.0	975.0	0.0	104.0	0.0	1257.0	75.0	2788.0	0.0	2	vertical	0
8.704968	7.0	3.0	80.0	-59.6923	3119420.0	975.0	0.0	104.0	1.0	1244.0	77.0	4421.0	0.0	2	vertical	0
8.805662	7.0	3.0	80.0	-59.7642	3654690.0	975.0	0.0	123.0	3.0	1092.0	88.0	3385.0	0.0	2	vertical	0
8.906455	7.0	3.0	80.0	-59.7087	3019430.0	975.0	3.0	103.0	1.0	1240.0	74.0	3024.0	0.0	2	vertical	0
9.007697	7.0	3.0	80.0	-59.6118	2410010.0	975.0	3.0	85.0	2.0	1108.0	62.0	2240.0	0.0	2	vertical	0
9.107919	7.0	3.0	80.0	-59.9114	2340580.0	975.0	2.0	79.0	1.0	1034.0	65.0	894.0	0.0	2	vertical	0
9.208812	7.0	3.0	80.0	-59.775	3435050.0	975.0	0.0	120.0	3.0	1050.0	82.0	391.0	0.0	2	vertical	0
9.309102	7.0	3.0	80.0	-59.7373	3453630.0	975.0	7.0	118.0	8.0	1210.0	84.0	306.0	0.0	2	vertical	0
9.410369	7.0	3.0	80.0	-59.8333	3849030.0	975.0	0.0	132.0	2.0	1260.0	84.0	1196.0	0.0	2	vertical	0
9.511767	7.0	3.0	80.0	-59.7877	4256880.0	975.0	0.0	146.0	1.0	1275.0	99.0	1824.0	0.0	2	vertical	0
9.612820	7.0	3.0	80.0	-59.877	3595110.0	975.0	0.0	122.0	0.0	1254.0	87.0	2917.0	0.0	2	vertical	0
9.713621	7.0	3.0	80.0	-59.7	3002580.0	975.0	0.0	100.0	0.0	1242.0	67.0	1771.0	0.0	2	vertical	0
9.814537	7.0	3.0	80.0	-59.8241	3199610.0	975.0	1.0	108.0	1.0	1218.0	73.0	2493.0	0.0	2	vertical	0
9.915209	7.0	3.0	80.0	-59.8197	3593910.0	975.0	9.0	122.0	3.0	1211.0	93.0	2597.0	0.0	2	vertical	0
10.015600	7.0	3.0	80.0	-59.8	3556260.0	975.0	4.0	120.0	1.0	1164.0	87.0	2712.0	0.0	2	vertical	0
10.116724	7.0	3.0	80.0	-59.6033	3517960.0	975.0	0.0	121.0	0.0	1235.0	88.0	24.0	0.0	2	vertical	0
10.217467	7.0	3.0	80.0	-59.719	3485150.0	975.0	0.0	121.0	1.0	1206.0	86.0	5434.0	0.0	2	vertical	0
10.317534	7.0	3.0	80.0	-59.713	3443930.0	975.0	1.0	115.0	4.0	1246.0	85.0	6349.0	0.0	2	vertical	0
10.417689	7.0	3.0	80.0	-59.8273	3241270.0	975.0	3.0	110.0	2.0	1182.0	81.0	6955.0	0.0	2	vertical	0
10.519366	7.0	3.0	80.0	-59.8155	3008310.0	975.0	3.0	103.0	0.0	1238.0	73.0	2641.0	0.0	2	vertical	0
10.620563	7.0	3.0	80.0	-59.7431	3177050.0	975.0	0.0	109.0	2.0	1210.0	82.0	2442.0	0.0	2	vertical	0
10.721230	7.0	3.0	80.0	-59.8073	3207750.0	975.0	15.0	109.0	3.0	1235.0	75.0	6039.0	0.0	2	vertical	0
10.821938	7.0	3.0	80.0	-59.6064	2730110.0	975.0	0.0	94.0	0.0	1222.0	73.0	9090.0	0.0	2	vertical	0
10.922148	7.0	3.0	80.0	-59.6855	3717140.0	975.0	0.0	124.0	4.0	1180.0	77.0	519.0	0.0	2	vertical	0
11.022155	7.0	3.0	80.0	-59.8151	3555010.0	975.0	8.0	119.0	1.0	1189.0	80.0	4167.0	0.0	2	vertical	0
11.122870	7.0	3.0	80.0	-59.8276	3318360.0	975.0	0.0	116.0	1.0	1016.0	84.0	2836.0	0.0	2	vertical	0
11.222939	7.0	3.0	80.0	-59.7229	2286640.0	975.0	1.0	83.0	1.0	1003.0	69.0	311.0	0.0	2	vertical	0
11.323173	7.0	3.0	80.0	-59.8193	2417890.0	975.0	1.0	83.0	1.0	1085.0	59.0	66.0	0.0	2	vertical	0
11.423985	7.0	3.0	80.0	-59.7708	2669670.0	975.0	1.0	96.0	3.0	1029.0	67.0	1151.0	0.0	2	vertical	0
11.525173	7.0	3.0	80.0	-59.7667	2581250.0	975.0	5.0	90.0	0.0	1051.0	72.0	3462.0	0.0	2	vertical	0
11.626575	7.0	3.0	80.0	-59.76	2851210.0	975.0	0.0	100.0	0.0	1030.0	73.0	8017.0	0.0	2	vertical	0
11.727539	7.0	3.0	80.0	-59.7636	3170680.0	975.0	2.0	110.0	4.0	1051.0	76.0	7573.0	0.0	2	vertical	0
11.828602	7.0	3.0	80.0	-59.7667	2569940.0	975.0	0.0	90.0	0.0	968.0	68.0	1040.0	0.0	2	vertical	0
11.929271	7.0	3.0	80.0	-59.8205	3439910.0	975.0	8.0	117.0	2.0	1256.0	88.0	1109.0	0.0	2	vertical	0
12.029791	7.0	3.0	80.0	-59.7351	4432280.0	975.0	8.0	151.0	1.0	1436.0	107.0	585.0	0.0	2	vertical	0
12.131207	7.0	3.0	80.0	-59.7222	4238770.0	975.0	1.0	144.0	1.0	1458.0	99.0	4350.0	0.0	2	vertical	0
12.231690	7.0	3.0	80.0	-59.7778	3797760.0	975.0	0.0	126.0	3.0	1456.0	92.0	2809.0	0.0	2	vertical	0
12.333051	7.0	3.0	80.0	-59.8214	4088470.0	975.0	0.0	140.0	1.0	1484.0	103.0	2916.0	0.0	2	vertical	0
12.433358	7.0	3.0	80.0	-59.7935	4625710.0	975.0	2.0	155.0	3.0	1431.0	102.0	1557.0	0.0	2	vertical	0
12.534177	7.0	3.0	80.0	-59.7069	3432660.0	975.0	0.0	116.0	3.0	1459.0	86.0	206.0	0.0	2	vertical	0
12.635118	7.0	3.0	80.0	-59.8923	3813940.0	975.0	0.0	130.0	0.0	1423.0	92.0	70.0	0.0	2	vertical	0
12.735721	7.0	3.0	80.0	-59.8315	2592810.0	975.0	0.0	89.0	0.0	1302.0	70.0	2254.0	0.0	2	vertical	0
12.837216	7.0	3.0	80.0	-59.8	3715190.0	975.0	0.0	125.0	2.0	1346.0	90.0	2326.0	0.0	2	vertical	0
