time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101062	7.0	3.0	80.0	-55.0	92201.0	975.0	1.0	3.0	1.0	1222.0	2.0	1834.0	0.0	5	vertical	0
8.201176	7.0	3.0	80.0	-55.0	92953.9	975.0	1.0	3.0	0.0	1238.0	3.0	1290.0	0.0	5	vertical	0
8.301798	7.0	3.0	80.0	-55.0	92723.7	975.0	3.0	3.0	0.0	1223.0	3.0	3352.0	0.0	5	vertical	0
8.402717	7.0	3.0	80.0	-55.0	30816.8	975.0	0.0	1.0	0.0	1237.0	1.0	0.0	0.0	5	vertical	0
8.502764	7.0	3.0	80.0	-55.0	124222.0	975.0	1.0	4.0	0.0	1261.0	4.0	2270.0	0.0	5	vertical	0
8.604508	7.0	3.0	80.0	-54.0	91582.8	975.0	2.0	3.0	0.0	1259.0	3.0	3163.0	0.0	5	vertical	0
8.705341	7.0	3.0	80.0	-55.0	61685.7	975.0	4.0	2.0	0.0	1266.0	2.0	3207.0	0.0	5	vertical	0
8.806439	7.0	3.0	80.0	-54.5	61525.0	975.0	0.0	2.0	0.0	1134.0	2.0	0.0	0.0	5	vertical	0
8.906666							1.0	0.0	0.0	1078.0	0.0	0.0	0.0	5	vertical	0
9.008202	7.0	3.0	80.0	-55.0	152793.0	975.0	0.0	5.0	0.0	1137.0	5.0	5342.0	0.0	5	vertical	0
9.109283	7.0	3.0	80.0	-55.0	30767.5	975.0	0.0	1.0	0.0	1230.0	1.0	0.0	0.0	5	vertical	0
9.210183	7.0	3.0	80.0	-54.5	61644.8	975.0	1.0	2.0	0.0	1270.0	2.0	2679.0	0.0	5	vertical	0
9.310502	7.0	3.0	80.0	-55.2	154887.0	975.0	1.0	5.0	0.0	1246.0	5.0	5205.0	0.0	5	vertical	0
9.411662	7.0	3.0	80.0	-55.0	108007.0	975.0	0.0	4.0	0.0	1259.0	4.0	2328.0	0.0	5	vertical	0
9.512489	7.0	3.0	80.0	-53.5	61570.9	975.0	0.0	2.0	0.0	1249.0	2.0	522.0	0.0	5	vertical	0
9.612802	7.0	3.0	80.0	-54.875	232571.0	975.0	0.0	8.0	1.0	1270.0	7.0	4488.0	0.0	5	vertical	0
