time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100452	5.0	3.0	80.0	-55.9697	1044000.0	780.0	2.0	33.0	0.0	398.0	26.0	2342.0	0.0	16	vertical	1
8.201929	5.0	3.0	80.0	-55.5316	2936470.0	780.0	0.0	79.0	1.0	409.0	61.0	0.0	0.0	16	vertical	1
8.302249	5.0	3.0	80.0	-56.1304	4063440.0	780.0	0.0	115.0	1.0	404.0	78.0	512.0	0.0	16	vertical	1
8.402848	5.0	3.0	80.0	-55.1538	857689.0	780.0	0.0	26.0	0.0	408.0	22.0	163.0	0.0	16	vertical	1
8.502869	5.0	3.0	80.0	-54.8571	246388.0	780.0	2.0	7.0	0.0	406.0	7.0	0.0	0.0	16	vertical	1
8.604070	5.10526	3.0	80.0	-55.1579	654064.0	790.263	7.0	19.0	0.0	401.0	16.0	142.0	0.0	16	vertical	1
8.704244	5.33333	3.0	73.3333	-54.6667	244954.0	725.0	16.0	6.0	1.0	395.0	5.0	352.0	0.0	16	vertical	1
8.804855	5.0	3.0	80.0	-55.0	168392.0	780.0	0.0	5.0	0.0	405.0	5.0	370.0	0.0	16	vertical	1
8.905797	5.09091	3.0	78.1818	-54.5909	1553600.0	765.0	0.0	44.0	4.0	395.0	33.0	229.0	0.0	16	vertical	1
9.006364	5.03571	3.0	79.2857	-54.9821	1868340.0	774.107	1.0	56.0	1.0	401.0	38.0	0.0	0.0	16	vertical	1
9.107076	7.0	3.0	40.0	-54.0	91111.7	450.0	7.0	2.0	2.0	398.0	0.0	0.0	0.0	16	vertical	1
9.207852	5.00699	3.0	79.8601	-54.7203	9425230.0	778.846	3.0	286.0	7.0	402.0	31.0	647.0	0.0	16	vertical	1
9.308315	5.0	3.0	80.0	-54.9555	12403400.0	780.0	0.0	382.0	5.0	405.0	21.0	0.0	0.0	16	vertical	1
9.408654	5.00844	3.0	79.8312	-55.481	8066630.0	778.608	0.0	237.0	2.0	399.0	61.0	2048.0	0.0	16	vertical	1
9.509724	5.0	3.0	80.0	-55.5271	4400370.0	780.0	1.0	129.0	2.0	390.0	77.0	2061.0	0.0	16	vertical	1
9.610032	5.02041	3.0	79.5918	-56.4745	6734640.0	776.633	0.0	196.0	4.0	409.0	77.0	0.0	0.0	16	vertical	1
9.710819	5.06452	3.0	78.7097	-57.3548	1098910.0	769.355	9.0	31.0	1.0	410.0	25.0	1239.0	0.0	16	vertical	1
9.811308	5.0	3.0	80.0	-57.4667	565656.0	780.0	0.0	15.0	0.0	406.0	13.0	175.0	0.0	16	vertical	1
9.912476	5.04255	3.0	79.1489	-56.6064	3105800.0	772.979	0.0	94.0	4.0	405.0	64.0	67.0	0.0	16	vertical	1
10.012551	5.06316	3.0	78.7368	-55.8421	3456050.0	769.579	0.0	95.0	4.0	398.0	71.0	1284.0	0.0	16	vertical	1
10.113324	5.0	3.0	80.0	-55.1071	932258.0	780.0	10.0	28.0	1.0	401.0	20.0	0.0	0.0	16	vertical	1
10.214562	7.0	3.0	50.0	-55.75	151643.0	581.25	6.0	4.0	3.0	400.0	1.0	640.0	0.0	16	vertical	1
10.314655	5.03846	3.0	79.2308	-56.1923	1874090.0	773.654	1.0	52.0	2.0	411.0	44.0	597.0	0.0	16	vertical	1
10.415473	5.16667	3.0	76.6667	-55.75	412366.0	752.5	0.0	12.0	1.0	402.0	11.0	415.0	0.0	16	vertical	1
10.516654	7.0	3.0	40.0	-55.0	45403.6	450.0	0.0	1.0	1.0	403.0	0.0	0.0	0.0	16	vertical	1
10.617057	5.0	3.0	80.0	-56.8411	3663230.0	780.0	9.0	107.0	6.0	405.0	55.0	514.0	0.0	16	vertical	1
10.717361	5.00866	3.0	79.8268	-56.632	7886970.0	778.571	1.0	231.0	5.0	397.0	96.0	2048.0	0.0	16	vertical	1
10.817549	5.0	3.0	80.0	-56.1208	7157060.0	780.0	0.0	207.0	7.0	397.0	77.0	208.0	0.0	16	vertical	1
10.917682	5.0	3.0	80.0	-55.7895	2042350.0	780.0	0.0	57.0	3.0	388.0	39.0	0.0	0.0	16	vertical	1
11.017791	5.0	3.0	80.0	-55.1818	843859.0	780.0	0.0	22.0	0.0	400.0	18.0	207.0	0.0	16	vertical	1
11.118766	5.00669	3.0	79.8662	-54.913	9909200.0	778.896	0.0	299.0	9.0	407.0	62.0	0.0	0.0	16	vertical	1
11.218856	5.01194	3.0	79.7612	-54.9821	11227600.0	778.03	0.0	335.0	9.0	398.0	45.0	0.0	0.0	16	vertical	1
11.319959	5.02051	3.0	79.5897	-55.8872	6530690.0	776.615	0.0	195.0	5.0	408.0	78.0	0.0	0.0	16	vertical	1
11.419983	5.0303	3.0	79.3939	-56.1061	2292030.0	775.0	1.0	66.0	1.0	402.0	21.0	0.0	0.0	16	vertical	1
11.521059	5.0	3.0	80.0	-54.4398	5318550.0	780.0	2.0	166.0	3.0	416.0	12.0	548.0	0.0	16	vertical	1
11.621701	5.06897	3.0	79.0805	-54.9885	5542000.0	774.655	3.0	174.0	13.0	397.0	18.0	196.0	0.0	16	vertical	1
11.723174	5.01509	3.0	79.6981	-55.483	8665720.0	777.509	0.0	265.0	4.0	409.0	61.0	0.0	0.0	16	vertical	1
11.824343	5.0	3.0	80.0	-55.7957	3044090.0	780.0	0.0	93.0	0.0	406.0	16.0	0.0	0.0	16	vertical	1
11.925305	5.11111	3.0	80.0	-55.8333	698445.0	790.833	5.0	18.0	3.0	400.0	2.0	672.0	0.0	16	vertical	1
12.026397	5.03448	3.0	80.0	-55.8103	1829170.0	783.362	2.0	58.0	0.0	412.0	1.0	178.0	0.0	16	vertical	1
12.126755							0.0	0.0	0.0	398.0	0.0	0.0	0.0	16	vertical	1
12.226872	7.0	3.0	80.0	-57.75	93230.5	975.0	2.0	4.0	1.0	411.0	3.0	863.0	0.0	16	vertical	1
12.328057	7.0	3.0	80.0	-59.0	45402.0	975.0	3.0	1.0	0.0	415.0	1.0	303.0	0.0	16	vertical	1
12.428168	5.03727	3.0	80.0	-56.1491	5382950.0	783.634	3.0	161.0	4.0	396.0	20.0	386.0	0.0	16	vertical	1
12.529309	7.0	3.0	80.0	-58.2	379215.0	975.0	0.0	10.0	2.0	415.0	8.0	135.0	0.0	16	vertical	1
12.629427	7.0	3.0	80.0	-57.9091	353981.0	975.0	2.0	11.0	0.0	402.0	10.0	791.0	0.0	16	vertical	1
12.730532	7.0	3.0	80.0	-58.1667	212769.0	975.0	2.0	6.0	0.0	409.0	6.0	333.0	0.0	16	vertical	1
12.830539	5.0	3.0	80.0	-56.1765	645037.0	780.0	3.0	17.0	1.0	401.0	9.0	431.0	0.0	16	vertical	1
12.932353	5.0	3.0	80.0	-56.2778	7211430.0	780.0	0.0	216.0	2.0	408.0	67.0	338.0	0.0	16	vertical	1
13.032519	5.0146	3.0	80.0	-55.8905	4684720.0	781.423	8.0	137.0	4.0	394.0	20.0	238.0	0.0	16	vertical	1
13.132976	5.0	3.0	80.0	-55.7862	10288300.0	780.0	2.0	318.0	9.0	415.0	35.0	64.0	0.0	16	vertical	1
13.234374	5.00649	3.0	80.0	-55.3799	9992560.0	780.633	3.0	308.0	6.0	408.0	30.0	0.0	0.0	16	vertical	1
13.336310	5.0	3.0	80.0	-55.1719	8529850.0	780.0	0.0	256.0	7.0	405.0	52.0	193.0	0.0	16	vertical	1
13.436602	5.04651	3.0	80.0	-55.8372	1593060.0	784.535	4.0	43.0	0.0	387.0	23.0	198.0	0.0	16	vertical	1
13.537676	5.0	3.0	80.0	-55.3879	10905300.0	780.0	0.0	330.0	6.0	401.0	45.0	0.0	0.0	16	vertical	1
13.638520	5.0	3.0	80.0	-54.5282	6487240.0	780.0	2.0	195.0	7.0	411.0	49.0	220.0	0.0	16	vertical	1
13.739185	5.0	3.0	80.0	-54.9371	6067020.0	780.0	1.0	175.0	1.0	394.0	60.0	0.0	0.0	16	vertical	1
13.840295	5.0	3.0	80.0	-55.0513	6588250.0	780.0	9.0	195.0	8.0	402.0	32.0	65.0	0.0	16	vertical	1
13.940529	5.04082	3.0	80.0	-55.5102	3391450.0	783.98	7.0	98.0	6.0	392.0	22.0	418.0	0.0	16	vertical	1
14.042301	5.0	3.0	80.0	-54.8057	8108680.0	780.0	0.0	247.0	2.0	410.0	47.0	256.0	0.0	16	vertical	1
14.143584	5.00943	3.0	80.0	-54.3962	7110510.0	780.92	1.0	212.0	8.0	392.0	61.0	2510.0	0.0	16	vertical	1
14.243717	5.0	3.0	80.0	-54.3636	369046.0	780.0	6.0	11.0	2.0	397.0	5.0	2420.0	0.0	16	vertical	1
14.344786	5.0	3.0	80.0	-54.2968	7013840.0	780.0	0.0	219.0	2.0	412.0	79.0	0.0	0.0	16	vertical	1
14.444848	5.0	3.0	80.0	-55.2814	5360470.0	780.0	6.0	167.0	1.0	406.0	71.0	2159.0	0.0	16	vertical	1
14.545001	5.0	3.0	80.0	-55.7875	9713930.0	780.0	0.0	287.0	6.0	401.0	80.0	2129.0	0.0	16	vertical	1
14.645948	5.0	3.0	80.0	-55.6078	3387120.0	780.0	5.0	102.0	3.0	400.0	53.0	102.0	0.0	16	vertical	1
14.746077	5.0	3.0	80.0	-56.2429	6921250.0	780.0	0.0	210.0	1.0	404.0	52.0	0.0	0.0	16	vertical	1
14.847566	5.0	3.0	80.0	-55.724	9103640.0	780.0	0.0	279.0	5.0	409.0	76.0	0.0	0.0	16	vertical	1
14.949221	5.0	3.0	80.0	-56.8385	4464680.0	780.0	9.0	130.0	2.0	402.0	71.0	1152.0	0.0	16	vertical	1
15.050178	5.0	3.0	80.0	-56.4207	5579670.0	780.0	1.0	164.0	4.0	407.0	85.0	387.0	0.0	16	vertical	1
15.150819	5.0	3.0	80.0	-55.9524	4162950.0	780.0	0.0	126.0	0.0	416.0	88.0	3169.0	0.0	16	vertical	1
15.252089	5.0	3.0	80.0	-56.2857	198499.0	780.0	6.0	7.0	0.0	404.0	6.0	0.0	0.0	16	vertical	1
15.353208	5.0	3.0	80.0	-56.4	5080020.0	780.0	0.0	145.0	3.0	417.0	88.0	2951.0	0.0	16	vertical	1
15.453270							0.0	0.0	0.0	394.0	0.0	0.0	0.0	16	vertical	1
15.553926							1.0	0.0	0.0	400.0	0.0	0.0	0.0	16	vertical	1
15.655264							1.0	0.0	0.0	395.0	0.0	0.0	0.0	16	vertical	1
15.755611							0.0	0.0	0.0	397.0	0.0	0.0	0.0	16	vertical	1
15.856914							0.0	0.0	0.0	403.0	0.0	0.0	0.0	16	vertical	1
15.957400							1.0	0.0	0.0	408.0	0.0	0.0	0.0	16	vertical	1
16.058356	7.0	3.0	80.0	-58.0	15650.4	975.0	2.0	1.0	0.0	412.0	1.0	0.0	0.0	16	vertical	1
16.158606							0.0	0.0	0.0	402.0	0.0	0.0	0.0	16	vertical	1
16.258825							5.0	0.0	0.0	401.0	0.0	0.0	0.0	16	vertical	1
16.359182							3.0	0.0	0.0	402.0	0.0	0.0	0.0	16	vertical	1
16.460100							1.0	0.0	0.0	394.0	0.0	0.0	0.0	16	vertical	1
16.560568							2.0	0.0	0.0	401.0	0.0	0.0	0.0	16	vertical	1
16.662133							0.0	0.0	0.0	414.0	0.0	0.0	0.0	16	vertical	1
16.762966							0.0	0.0	0.0	416.0	0.0	0.0	0.0	16	vertical	1
16.864118	7.0	3.0	80.0	-57.0	45416.8	975.0	0.0	1.0	0.0	398.0	1.0	0.0	0.0	16	vertical	1
16.964252							1.0	0.0	0.0	410.0	0.0	0.0	0.0	16	vertical	1
17.065232							0.0	0.0	0.0	411.0	0.0	0.0	0.0	16	vertical	1
17.166785	7.0	3.0	80.0	-58.0	90475.0	975.0	0.0	2.0	0.0	410.0	2.0	3983.0	0.0	16	vertical	1
17.267776							0.0	0.0	0.0	398.0	0.0	0.0	0.0	16	vertical	1
17.368444							21.0	0.0	0.0	404.0	0.0	0.0	0.0	16	vertical	1
17.468500							0.0	0.0	0.0	395.0	0.0	0.0	0.0	16	vertical	1
17.569295							0.0	0.0	0.0	412.0	0.0	0.0	0.0	16	vertical	1
17.670535							0.0	0.0	0.0	413.0	0.0	0.0	0.0	16	vertical	1
17.771065							1.0	0.0	0.0	394.0	0.0	0.0	0.0	16	vertical	1
17.871793							4.0	0.0	0.0	392.0	0.0	0.0	0.0	16	vertical	1
17.971947							2.0	0.0	0.0	398.0	0.0	0.0	0.0	16	vertical	1
18.072344							0.0	0.0	0.0	399.0	0.0	0.0	0.0	16	vertical	1
18.173042							3.0	0.0	0.0	401.0	0.0	0.0	0.0	16	vertical	1
18.273405							3.0	0.0	0.0	410.0	0.0	0.0	0.0	16	vertical	1
18.373844							2.0	0.0	0.0	420.0	0.0	0.0	0.0	16	vertical	1
18.474195							2.0	0.0	0.0	401.0	0.0	0.0	0.0	16	vertical	1
18.574238							0.0	0.0	0.0	410.0	0.0	0.0	0.0	16	vertical	1
18.674339							0.0	0.0	0.0	405.0	0.0	0.0	0.0	16	vertical	1
18.774353							1.0	0.0	0.0	409.0	0.0	0.0	0.0	16	vertical	1
18.874857							0.0	0.0	0.0	412.0	0.0	0.0	0.0	16	vertical	1
18.975230							0.0	0.0	0.0	403.0	0.0	0.0	0.0	16	vertical	1
19.076083							0.0	0.0	0.0	413.0	0.0	0.0	0.0	16	vertical	1
