time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101101	5.02419	3.0	79.5161	-55.7339	3740310.0	776.008	8.0	248.0	14.0	744.0	123.0	5403.0	0.0	16	vertical	1
8.201230	5.0	3.0	80.0	-55.8135	4690060.0	780.0	0.0	311.0	9.0	736.0	145.0	7418.0	0.0	16	vertical	1
8.301536	5.0	3.0	80.0	-55.7241	1751700.0	780.0	26.0	116.0	5.0	736.0	51.0	3028.0	0.0	16	vertical	1
8.402523	5.0	3.0	80.0	-55.8571	220148.0	780.0	34.0	14.0	1.0	726.0	8.0	841.0	0.0	16	vertical	1
8.502717	5.0	3.0	80.0	-55.8058	3187510.0	780.0	17.0	206.0	5.0	740.0	102.0	4186.0	0.0	16	vertical	1
8.602844	7.0	3.0	80.0	-58.0	17358.0	975.0	33.0	1.0	0.0	728.0	1.0	737.0	0.0	16	vertical	1
8.703485							29.0	0.0	0.0	748.0	0.0	0.0	0.0	16	vertical	1
8.804145	5.0	3.0	80.0	-55.7734	4304040.0	780.0	9.0	278.0	5.0	750.0	140.0	2209.0	0.0	16	vertical	1
8.905031	5.0	3.0	80.0	-55.7157	4690020.0	780.0	1.0	313.0	11.0	755.0	157.0	6211.0	0.0	16	vertical	1
9.006107	5.0	3.0	80.0	-55.7713	2826630.0	780.0	18.0	188.0	1.0	748.0	88.0	453.0	0.0	16	vertical	1
9.106684	5.0	3.0	80.0	-55.8023	2710040.0	780.0	31.0	177.0	9.0	743.0	82.0	3479.0	0.0	16	vertical	1
9.207576							32.0	0.0	0.0	733.0	0.0	0.0	0.0	16	vertical	1
9.307906							34.0	0.0	0.0	735.0	0.0	0.0	0.0	16	vertical	1
9.408766							42.0	0.0	0.0	746.0	0.0	0.0	0.0	16	vertical	1
9.509018	5.09091	3.0	80.0	-55.9545	349659.0	788.864	40.0	22.0	2.0	730.0	10.0	311.0	0.0	16	vertical	1
9.609905	5.0	3.0	80.0	-55.8138	3657570.0	780.0	10.0	247.0	2.0	761.0	117.0	2929.0	0.0	16	vertical	1
9.710978							25.0	0.0	0.0	725.0	0.0	0.0	0.0	16	vertical	1
9.811729							40.0	0.0	0.0	728.0	0.0	0.0	0.0	16	vertical	1
9.912998	7.0	3.0	50.0	-55.75	63553.8	581.25	40.0	4.0	3.0	741.0	1.0	0.0	0.0	16	vertical	1
10.013006	7.0	3.0	40.0	-55.0	186804.0	450.0	20.0	12.0	12.0	682.0	0.0	0.0	0.0	16	vertical	1
10.113334	5.11628	3.0	78.1395	-55.6628	1345110.0	766.919	28.0	86.0	11.0	734.0	38.0	93.0	0.0	16	vertical	1
10.213338	5.0	3.0	80.0	-55.8846	4808870.0	780.0	0.0	312.0	2.0	750.0	158.0	2438.0	0.0	16	vertical	1
10.313754	5.0	3.0	80.0	-55.8852	4622200.0	780.0	2.0	305.0	8.0	748.0	154.0	3601.0	0.0	16	vertical	1
10.414500	5.0	3.0	80.0	-55.8372	4554430.0	780.0	1.0	301.0	17.0	742.0	149.0	2050.0	0.0	16	vertical	1
10.515416	5.0	3.0	80.0	-55.8732	4266140.0	780.0	1.0	284.0	16.0	729.0	138.0	6536.0	0.0	16	vertical	1
10.615663	5.0	3.0	80.0	-55.8527	3944800.0	780.0	13.0	258.0	13.0	734.0	120.0	1917.0	0.0	16	vertical	1
10.716782	5.01575	3.0	80.0	-55.6614	1960080.0	781.535	35.0	127.0	8.0	746.0	56.0	3019.0	0.0	16	vertical	1
10.817117	5.05405	3.0	80.0	-55.9459	532913.0	785.27	34.0	37.0	2.0	734.0	22.0	2255.0	0.0	16	vertical	1
10.917570							31.0	0.0	0.0	734.0	0.0	0.0	0.0	16	vertical	1
11.017792							33.0	0.0	0.0	728.0	0.0	0.0	0.0	16	vertical	1
11.118002	5.0	3.0	80.0	-55.927	2676260.0	780.0	11.0	178.0	2.0	750.0	86.0	1541.0	0.0	16	vertical	1
11.218891	5.01667	3.0	80.0	-55.8417	1849430.0	781.625	22.0	120.0	8.0	722.0	61.0	2654.0	0.0	16	vertical	1
11.318955	5.0	3.0	80.0	-55.848	3061630.0	780.0	18.0	204.0	6.0	745.0	100.0	2369.0	0.0	16	vertical	1
11.419758	5.0	3.0	80.0	-55.9583	704123.0	780.0	44.0	48.0	3.0	746.0	20.0	819.0	0.0	16	vertical	1
11.520143							45.0	0.0	0.0	737.0	0.0	0.0	0.0	16	vertical	1
11.621393	5.0	3.0	80.0	-55.6774	494974.0	780.0	34.0	31.0	7.0	747.0	11.0	0.0	0.0	16	vertical	1
11.721580	5.0	3.0	80.0	-55.9236	2181270.0	780.0	18.0	144.0	0.0	730.0	77.0	1165.0	0.0	16	vertical	1
11.821672	5.0	3.0	80.0	-55.9564	4221100.0	780.0	1.0	275.0	8.0	757.0	143.0	5517.0	0.0	16	vertical	1
11.921852	5.0	3.0	80.0	-55.8963	4689720.0	780.0	1.0	299.0	11.0	780.0	151.0	4616.0	0.0	16	vertical	1
12.022904	5.0	3.0	80.0	-55.9596	4477660.0	780.0	0.0	297.0	9.0	802.0	160.0	5978.0	0.0	16	vertical	1
12.124099	5.0	3.0	80.0	-55.9396	2287670.0	780.0	25.0	149.0	11.0	797.0	79.0	4787.0	0.0	16	vertical	1
12.224935	7.0	3.0	80.0	-58.0	17235.9	975.0	38.0	1.0	0.0	776.0	1.0	1117.0	0.0	16	vertical	1
12.325793	5.0	3.0	80.0	-55.9725	2778500.0	780.0	21.0	182.0	8.0	783.0	100.0	3184.0	0.0	16	vertical	1
12.426232	5.0	3.0	80.0	-55.9552	3064480.0	780.0	15.0	201.0	5.0	743.0	117.0	10732.0	0.0	16	vertical	1
12.526726							55.0	0.0	0.0	775.0	0.0	0.0	0.0	16	vertical	1
12.626732	5.0	3.0	80.0	-56.0	368736.0	780.0	52.0	25.0	5.0	784.0	14.0	3536.0	0.0	16	vertical	1
12.727647	5.0	3.0	80.0	-56.0588	3412220.0	780.0	14.0	221.0	4.0	780.0	116.0	4585.0	0.0	16	vertical	1
12.827726	5.0	3.0	80.0	-55.8943	1966270.0	780.0	24.0	123.0	0.0	774.0	66.0	3784.0	0.0	16	vertical	1
12.928729	5.0	3.0	80.0	-56.0197	4726890.0	780.0	0.0	305.0	7.0	806.0	153.0	14207.0	0.0	16	vertical	1
13.029467	5.52273	3.0	69.5455	-55.7841	1357860.0	693.75	32.0	88.0	29.0	790.0	36.0	1040.0	0.0	16	vertical	1
13.130063	7.0	3.0	40.0	-55.0	81136.7	450.0	30.0	5.0	5.0	785.0	0.0	0.0	0.0	16	vertical	1
13.230685	7.0	3.0	40.0	-54.1333	215519.0	450.0	34.0	15.0	15.0	795.0	0.0	0.0	0.0	16	vertical	1
13.330789	7.0	3.0	40.0	-54.8125	250659.0	450.0	23.0	16.0	16.0	780.0	0.0	0.0	0.0	16	vertical	1
13.431877	5.28571	3.0	74.2857	-55.8214	861306.0	732.857	18.0	56.0	13.0	800.0	27.0	2181.0	0.0	16	vertical	1
13.532688	5.06667	3.0	78.6667	-56.119	3286550.0	769.0	4.0	210.0	14.0	788.0	116.0	9012.0	0.0	16	vertical	1
13.633319	7.0	3.0	40.0	-54.5	29176.0	450.0	25.0	2.0	2.0	797.0	0.0	0.0	0.0	16	vertical	1
13.733684	7.0	3.0	40.0	-54.0	17436.3	450.0	33.0	1.0	1.0	775.0	0.0	0.0	0.0	16	vertical	1
13.834472	5.38806	3.0	72.2388	-55.7313	1009670.0	715.97	23.0	67.0	14.0	803.0	23.0	488.0	0.0	16	vertical	1
13.934802	7.0	3.0	40.0	-55.3333	186066.0	450.0	37.0	12.0	12.0	773.0	0.0	0.0	0.0	16	vertical	1
