time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101435							7.0	0.0	0.0	1209.0	0.0	0.0	0.0	2	vertical	1
8.201859							6.0	0.0	0.0	1147.0	0.0	0.0	0.0	2	vertical	1
8.302001							64.0	0.0	0.0	1181.0	0.0	0.0	0.0	2	vertical	1
8.402270	9.0	2.0	80.0	-29.2972	15995100.0	866.0	26.0	545.0	8.0	1062.0	2.0	2118.0	0.0	2	vertical	1
8.502285	9.0	2.0	80.0	-29.2816	29895300.0	866.0	14.0	1030.0	30.0	1011.0	4.0	0.0	0.0	2	vertical	1
8.603460	9.0	2.0	80.0	-29.2015	31450800.0	866.0	15.0	1092.0	27.0	1063.0	1.0	0.0	0.0	2	vertical	1
8.703796	9.0	2.0	80.0	-29.2922	29094900.0	866.0	9.0	1013.0	12.0	1007.0	2.0	0.0	0.0	2	vertical	1
8.804795	9.0	2.0	80.0	-29.2174	7800850.0	866.0	39.0	276.0	1.0	1167.0	1.0	0.0	0.0	2	vertical	1
8.905290							72.0	0.0	0.0	1229.0	0.0	0.0	0.0	2	vertical	1
9.006128							71.0	0.0	0.0	1210.0	0.0	0.0	0.0	2	vertical	1
9.106134	8.24942	2.0	80.0	-29.4312	12632800.0	801.45	40.0	429.0	12.0	1241.0	1.0	0.0	0.0	2	vertical	1
9.206977	8.39983	2.0	80.0	-29.4134	34392400.0	814.385	8.0	1183.0	8.0	1184.0	2.0	0.0	0.0	2	vertical	1
9.307204	9.0	2.0	80.0	-29.3849	37756800.0	866.0	12.0	1286.0	28.0	1263.0	3.0	4.0	0.0	2	vertical	1
9.407694	9.0	2.0	80.0	-29.36	37409800.0	866.0	8.0	1275.0	13.0	1271.0	2.0	0.0	0.0	2	vertical	1
9.508320	9.0	2.0	80.0	-29.4375	15053100.0	866.0	41.0	512.0	12.0	1206.0	1.0	0.0	0.0	2	vertical	1
9.610132	9.0	2.0	80.0	-28.5	243664.0	866.0	32.0	8.0	0.0	1230.0	2.0	963.0	0.0	2	vertical	1
9.710923	9.0	2.0	80.0	-29.4597	15984900.0	866.0	22.0	546.0	11.0	1241.0	3.0	1078.0	0.0	2	vertical	1
9.812031	9.0	2.0	80.0	-29.4148	35710900.0	866.0	4.0	1227.0	15.0	1216.0	1.0	0.0	0.0	2	vertical	1
9.912249	9.0	2.0	80.0	-29.3333	37543500.0	866.0	9.0	1278.0	29.0	1262.0	3.0	0.0	0.0	2	vertical	1
10.012673	9.0	2.0	80.0	-29.4578	36637200.0	866.0	10.0	1256.0	23.0	1233.0	2.0	0.0	0.0	2	vertical	1
10.112890	9.0	2.0	80.0	-29.4299	35493600.0	866.0	10.0	1219.0	14.0	1213.0	2.0	0.0	0.0	2	vertical	1
10.213127	9.0	2.0	80.0	-29.3928	33879800.0	866.0	10.0	1166.0	18.0	1157.0	2.0	0.0	0.0	2	vertical	1
10.313129	9.0	2.0	80.0	-29.4577	37652900.0	866.0	17.0	1276.0	25.0	1263.0	4.0	0.0	0.0	2	vertical	1
