time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100579	7.00081	3	80.0	-23.3956	36476100.0	975.158	5.0	1236.0	49.0	1187.0	5.0	3635.0	0.0	10	vertical	0
8.201160	7.0	3	80.0	-23.3373	36824200.0	975.0	13.0	1260.0	38.0	1235.0	13.0	256.0	0.0	10	vertical	0
8.301958	7.0	3	80.0	-23.3636	33763300.0	975.0	8.0	1166.0	57.0	1145.0	10.0	0.0	0.0	10	vertical	0
8.402449	7.0031	3	80.0	-23.2616	37903400.0	975.604	9.0	1292.0	40.0	1267.0	7.0	0.0	0.0	10	vertical	0
8.502665	7.0	3	80.0	-23.2716	38705000.0	975.0	2.0	1318.0	70.0	1255.0	6.0	256.0	0.0	10	vertical	0
8.603020	7.00081	3	80.0	-23.3258	36417700.0	975.158	3.0	1231.0	34.0	1239.0	12.0	0.0	0.0	10	vertical	0
8.703022	7.0008	3	80.0	-23.375	36958600.0	975.155	3.0	1256.0	37.0	1237.0	8.0	133.0	0.0	10	vertical	0
8.803041	6.20709	3	80.0	-22.6285	36500900.0	897.691	4.0	1241.0	30.0	1213.0	2.0	0.0	0.0	10	vertical	0
8.903445	6.78741	3	80.0	-23.2404	35670600.0	954.272	0.0	1223.0	27.0	1215.0	7.0	0.0	0.0	10	vertical	0
9.004001	7.0	3	80.0	-23.3833	42853900.0	975.0	7.0	1453.0	30.0	1440.0	4.0	0.0	0.0	10	vertical	0
9.104263	7.0	3	80.0	-23.2641	45726700.0	975.0	7.0	1541.0	82.0	1457.0	2.0	0.0	0.0	10	vertical	0
9.204869	7.0	3	80.0	-23.4134	42823600.0	975.0	5.0	1444.0	43.0	1425.0	7.0	0.0	0.0	10	vertical	0
9.305299	7.00067	3	80.0	-23.3889	44426100.0	975.131	3.0	1494.0	69.0	1442.0	9.0	0.0	0.0	10	vertical	0
9.405303	7.0	3	80.0	-23.3753	45543800.0	975.0	9.0	1524.0	99.0	1422.0	4.0	0.0	0.0	10	vertical	0
9.506586	7.00203	3	80.0	-23.3785	43398100.0	975.396	9.0	1477.0	42.0	1448.0	4.0	0.0	0.0	10	vertical	0
9.607129	7.0	3	80.0	-23.2552	43918100.0	975.0	9.0	1485.0	52.0	1449.0	6.0	0.0	0.0	10	vertical	0
9.707367	7.0	3	80.0	-23.3711	42606500.0	975.0	4.0	1428.0	39.0	1434.0	12.0	0.0	0.0	10	vertical	0
9.808434	7.00066	3	80.0	-23.3152	44393300.0	975.13	12.0	1504.0	53.0	1464.0	5.0	0.0	0.0	10	vertical	0
9.908683	7.0	3	80.0	-23.3306	43087000.0	975.0	3.0	1452.0	50.0	1413.0	5.0	0.0	0.0	10	vertical	0
10.009096	7.0	3	80.0	-23.4277	44162400.0	975.0	1.0	1494.0	54.0	1448.0	5.0	0.0	0.0	10	vertical	0
10.110159	7.00069	3	80.0	-23.3519	42816000.0	975.134	12.0	1452.0	56.0	1414.0	11.0	0.0	0.0	10	vertical	0
10.210951	7.00068	3	80.0	-23.4317	43329000.0	975.133	13.0	1464.0	55.0	1443.0	16.0	0.0	0.0	10	vertical	0
10.310954	7.0	3	80.0	-23.442	44959700.0	975.0	3.0	1509.0	62.0	1452.0	2.0	0.0	0.0	10	vertical	0
10.411011	7.0	3	80.0	-23.3127	43368500.0	975.0	6.0	1455.0	41.0	1435.0	5.0	0.0	0.0	10	vertical	0
10.511224	7.0	3	80.0	-23.423	39917800.0	975.0	2.0	1345.0	19.0	1356.0	10.0	0.0	0.0	10	vertical	0
10.612213	7.0	3	80.0	-23.3089	41392600.0	975.0	2.0	1408.0	52.0	1377.0	4.0	0.0	0.0	10	vertical	0
10.713124	7.00199	3	80.0	-23.4432	44207200.0	975.389	13.0	1505.0	50.0	1469.0	6.0	0.0	0.0	10	vertical	0
