time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100358	0.00613497	3.0	80.0	-50.1442	10294200.0	97.6012	0.0	652.0	88.0	0.0	1.0	628.0	0.0	2	fan	1
8.202337	0.00608828	2.99391	80.0	-49.968	10208400.0	97.2009	0.0	657.0	94.0	0.0	0.0	0.0	0.0	2	fan	1
8.304260	0.0060698	3.0	80.0	-50.0774	10244900.0	97.5948	0.0	659.0	186.0	0.0	0.0	0.0	0.0	2	fan	1
8.404599	0.00617284	3.0	80.0	-50.1451	10233000.0	97.6049	0.0	648.0	103.0	0.0	0.0	0.0	0.0	2	fan	1
8.504787	0.00151976	2.99848	80.0	-50.2295	10406500.0	97.0502	0.0	658.0	85.0	0.0	0.0	0.0	0.0	2	fan	1
8.607157	0.373684	2.89868	80.0	-50.0592	11763200.0	127.036	0.0	760.0	418.0	0.0	0.0	0.0	0.0	2	fan	1
8.708810	0.00609756	2.9939	80.0	-50.1143	10225400.0	97.2012	0.0	656.0	130.0	0.0	0.0	0.0	0.0	2	fan	1
8.810089	0.00613497	3.0	80.0	-49.9571	10200600.0	97.6012	0.0	652.0	107.0	0.0	0.0	0.0	0.0	2	fan	1
8.912016	0.0121951	2.9939	80.0	-50.0838	10198000.0	97.7988	0.0	656.0	177.0	0.0	0.0	0.0	0.0	2	fan	1
9.012020	0.0	3.0	80.0	-50.0	10425500.0	97.0	0.0	658.0	131.0	0.0	0.0	0.0	0.0	2	fan	1
9.112867	0.00623053	3.0	80.0	-50.1168	10087200.0	97.6106	0.0	642.0	173.0	0.0	0.0	0.0	0.0	2	fan	1
9.214526	0.0121951	2.9939	80.0	-50.2851	10224900.0	97.7988	0.0	656.0	136.0	0.0	0.0	0.0	0.0	2	fan	1
9.314631	0.0	3.0	80.0	-50.2034	10272700.0	97.0	0.0	649.0	41.0	0.0	0.0	0.0	0.0	2	fan	1
9.414677	0.00607903	3.0	80.0	-50.1535	10421400.0	97.5957	0.0	658.0	117.0	0.0	0.0	0.0	0.0	2	fan	1
9.516670	0.00618238	3.0	80.0	-50.2859	10051600.0	97.6059	0.0	647.0	143.0	0.0	0.0	0.0	0.0	2	fan	1
9.616996	0.00617284	2.99383	80.0	-50.3966	10234300.0	97.2037	0.0	648.0	179.0	0.0	0.0	0.0	0.0	2	fan	1
9.717699	0.00612557	3.0	80.0	-50.245	10274800.0	97.6003	0.0	653.0	60.0	0.0	0.0	0.0	0.0	2	fan	1
9.817710	0.00609756	3.0	80.0	-50.2393	10393300.0	97.5976	0.0	656.0	112.0	0.0	0.0	0.0	0.0	2	fan	1
9.919627	0.0	3.0	80.0	-50.0602	10074600.0	97.0	0.0	648.0	102.0	0.0	0.0	0.0	0.0	2	fan	1
10.021061	0.0121766	2.99391	80.0	-50.1979	10263300.0	97.7976	0.0	657.0	65.0	0.0	0.0	0.0	0.0	2	fan	1
10.122710	0.00610687	3.0	80.0	-50.1847	10210100.0	97.5985	0.0	655.0	129.0	0.0	0.0	0.0	0.0	2	fan	1
10.222832	0.0	3.0	80.0	-50.1741	10271000.0	97.0	0.0	649.0	85.0	0.0	0.0	0.0	0.0	2	fan	1
10.324740	0.0060423	3.0	80.0	-50.1858	10293300.0	97.5921	0.0	662.0	23.0	0.0	0.0	0.0	0.0	2	fan	1
10.426358	0.0121766	2.99391	80.0	-50.1279	10244600.0	97.7976	0.0	657.0	187.0	0.0	0.0	0.0	0.0	2	fan	1
10.527993	0.0	3.0	80.0	-50.1396	10273900.0	97.0	0.0	659.0	48.0	0.0	0.0	0.0	0.0	2	fan	1
10.630181	0.00605144	3.0	80.0	-50.2088	10249500.0	97.593	0.0	661.0	118.0	0.0	0.0	0.0	0.0	2	fan	1
10.732163	0.00608828	3.0	80.0	-50.0609	10208000.0	97.5967	0.0	657.0	140.0	0.0	0.0	0.0	0.0	2	fan	1
10.832362	0.00613497	2.99387	80.0	-50.1212	10310600.0	97.2025	0.0	652.0	84.0	0.0	0.0	0.0	0.0	2	fan	1
10.933679	0.00607903	3.0	80.0	-50.0714	10290600.0	97.5957	0.0	658.0	102.0	0.0	0.0	0.0	0.0	2	fan	1
11.034100	0.00618238	3.0	80.0	-50.0587	10208900.0	97.6059	0.0	647.0	89.0	0.0	0.0	0.0	0.0	2	fan	1
11.134960	0.0	3.0	80.0	-50.1865	10274300.0	97.0	0.0	654.0	110.0	0.0	0.0	0.0	0.0	2	fan	1
11.235391	0.307902	2.89373	80.0	-50.3815	11580400.0	120.267	0.0	734.0	291.0	0.0	0.0	0.0	0.0	2	fan	1
11.335454	0.0	3.0	80.0	-50.176	10166000.0	97.0	0.0	642.0	178.0	0.0	0.0	0.0	0.0	2	fan	1
11.437460	0.289189	2.9	80.0	-50.1757	11494700.0	118.841	0.0	740.0	285.0	0.0	0.0	0.0	0.0	2	fan	1
11.539634	0.0060423	2.99396	80.0	-50.0846	10266400.0	97.1994	0.0	662.0	79.0	0.0	0.0	0.0	0.0	2	fan	1
11.640587	0.0121029	2.99395	80.0	-50.1014	10374900.0	97.7927	0.0	661.0	31.0	0.0	0.0	0.0	0.0	2	fan	1
11.741310	0.00617284	3.0	80.0	-50.2531	10194100.0	97.6049	0.0	648.0	44.0	0.0	0.0	0.0	0.0	2	fan	1
11.843753	0.0	3.0	80.0	-50.2416	10177500.0	97.0	0.0	658.0	94.0	0.0	0.0	0.0	0.0	2	fan	1
11.946017	0.0060698	3.0	80.0	-50.2185	10210900.0	97.5948	0.0	659.0	180.0	0.0	0.0	0.0	0.0	2	fan	1
12.046193	0.0122699	2.99387	80.0	-50.1933	10312800.0	97.8037	0.0	652.0	120.0	0.0	0.0	0.0	0.0	2	fan	1
12.147319	0.0	3.0	80.0	-50.1166	10216000.0	97.0	0.0	652.0	28.0	0.0	0.0	0.0	0.0	2	fan	1
12.248441	0.00612557	3.0	80.0	-50.0505	10232200.0	97.6003	0.0	653.0	71.0	0.0	0.0	0.0	0.0	2	fan	1
12.349267	0.00614439	3.0	80.0	-50.2012	10230700.0	97.6022	0.0	651.0	171.0	0.0	0.0	0.0	0.0	2	fan	1
12.451148	0.0060423	2.99396	80.0	-50.077	10295900.0	97.1994	0.0	662.0	31.0	0.0	0.0	0.0	0.0	2	fan	1
12.552392	0.00606061	3.0	80.0	-50.1409	10329200.0	97.5939	0.0	660.0	74.0	0.0	0.0	0.0	0.0	2	fan	1
12.652394	0.00611621	3.0	80.0	-50.2462	10362700.0	97.5994	0.0	654.0	83.0	0.0	0.0	0.0	0.0	2	fan	1
12.753561	0.0	3.0	80.0	-50.2367	9992700.0	97.0	0.0	638.0	139.0	0.0	0.0	0.0	0.0	2	fan	1
12.854441	0.0122324	2.99388	80.0	-50.1865	10272400.0	97.8012	0.0	654.0	66.0	0.0	0.0	0.0	0.0	2	fan	1
12.955738	0.00609756	3.0	80.0	-50.2149	10261400.0	97.5976	0.0	656.0	79.0	0.0	0.0	0.0	0.0	2	fan	1
13.056335	0.0	3.0	80.0	-50.1602	10222500.0	97.0	0.0	649.0	66.0	0.0	0.0	0.0	0.0	2	fan	1
13.157633	0.00607903	3.0	80.0	-50.3419	10292400.0	97.5957	0.0	658.0	126.0	0.0	0.0	0.0	0.0	2	fan	1
13.257680	0.197101	2.8029	80.0	-50.3681	10927900.0	103.504	0.0	690.0	160.0	0.0	0.0	0.0	0.0	2	fan	1
13.359073	0.0124611	2.99377	80.0	-50.1916	10033100.0	97.8162	0.0	642.0	74.0	0.0	0.0	0.0	0.0	2	fan	1
13.460155	0.00607903	3.0	80.0	-50.4073	10314400.0	97.5957	0.0	658.0	98.0	0.0	0.0	0.0	0.0	2	fan	1
13.562245	0.0122888	2.99386	80.0	-50.3364	10104300.0	97.8049	0.0	651.0	206.0	0.0	0.0	0.0	0.0	2	fan	1
13.662801	0.0	3.0	80.0	-50.3547	10305300.0	97.0	0.0	654.0	44.0	0.0	0.0	0.0	0.0	2	fan	1
