time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101669	0.0	3.0	80.0	-57.9439	10270500.0	97.0	0.0	659.0	77.0	0.0	1.0	1451.0	0.0	2	horizontal	1
8.203305	0.00606061	3.0	80.0	-57.9712	10289500.0	97.5939	0.0	660.0	49.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.303707	0.250725	2.74928	80.0	-57.8362	10889100.0	105.274	0.0	690.0	188.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.404679	0.0122511	2.99387	80.0	-57.7764	10247400.0	97.8025	0.0	653.0	137.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.506280	0.00610687	3.0	80.0	-58.0947	10215200.0	97.5985	0.0	655.0	137.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.606283	0.224286	2.77714	80.0	-58.0	11091200.0	104.494	0.0	700.0	206.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.707176	0.00466563	3.0	80.0	-57.9129	10098200.0	97.4572	0.0	643.0	32.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.807631	0.0121581	2.99392	80.0	-57.9347	10379000.0	97.7964	0.0	658.0	90.0	0.0	0.0	0.0	0.0	2	horizontal	1
8.907751	0.00152207	3.0	80.0	-58.1309	10397800.0	97.1492	0.0	657.0	88.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.009524	0.00465116	3.0	80.0	-57.924	10042300.0	97.4558	0.0	645.0	131.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.109580	0.620922	2.94038	80.0	-57.847	14078200.0	153.975	0.0	889.0	386.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.210833	0.583333	2.59596	80.0	-58.3472	12393700.0	127.904	0.0	792.0	440.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.311018	0.0122511	2.99387	80.0	-58.0689	10327900.0	97.8025	0.0	653.0	27.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.412192	0.00613497	3.0	80.0	-58.0123	10211200.0	97.6012	0.0	652.0	75.0	0.0	0.0	0.0	0.0	2	horizontal	1
9.513443	0.385576	2.61442	80.0	-58.2954	11283000.0	109.724	0.0	721.0	361.0	0.0	0.0	0.0	0.0	2	horizontal	1
