time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.103709	0.0	1.0	20.0	-58.0	751180.0	7.0	0.0	49.0	41.0	0.0	1.0	1349.0	0.0	18.8	vertical	1
8.205784	0.0	1.0	20.0	-58.25	747681.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.307906	0.0	1.0	20.0	-57.9583	747347.0	7.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.409993	0.0	1.0	20.0	-58.4583	747592.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.513742	0.0	1.0	20.0	-58.1667	735624.0	7.0	0.0	48.0	39.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.616958	0.0	1.0	20.0	-58.2917	739419.0	7.0	0.0	48.0	41.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.719010	0.0	1.0	20.0	-58.2292	747854.0	7.0	0.0	48.0	38.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.822124	0.0	1.0	20.0	-57.9583	740152.0	7.0	0.0	48.0	37.0	0.0	0.0	0.0	0.0	18.8	vertical	1
8.923095	0.0	1.0	20.0	-58.0208	755861.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.024972	0.0	1.0	20.0	-58.0833	749141.0	7.0	0.0	48.0	38.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.126330	0.0	1.0	20.0	-57.8542	752974.0	7.0	0.0	48.0	40.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.227175	0.08	1.0	20.0	-58.02	788217.0	7.56	0.0	50.0	32.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.329762	0.0	1.0	20.0	-58.25	743952.0	7.0	0.0	48.0	47.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.431096	0.0	1.0	20.0	-58.3333	753153.0	7.0	0.0	48.0	43.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.532789	0.0	1.0	20.0	-58.2708	750493.0	7.0	0.0	48.0	42.0	0.0	0.0	0.0	0.0	18.8	vertical	1
9.634499	0.0	1.0	20.0	-58.2708	750372.0	7.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	18.8	vertical	1
