time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100772	1.33467	3.0	80.0	-38.683	19546000.0	227.463	0.0	1243.0	545.0	0.0	1.0	2909.0	0.0	2	vertical	1
8.200847	1.92829	3.0	80.0	-38.6389	24289400.0	285.047	0.0	1534.0	613.0	0.0	0.0	0.0	0.0	2	vertical	1
8.300937	1.20978	2.99917	80.0	-38.8566	19093300.0	215.269	0.0	1206.0	462.0	0.0	0.0	0.0	0.0	2	vertical	1
8.400941	2.0025	3.0	80.0	-38.8341	25305100.0	292.245	0.0	1597.0	409.0	0.0	0.0	0.0	0.0	2	vertical	1
8.500964	2.0025	3.0	80.0	-38.8894	25363500.0	292.245	0.0	1601.0	349.0	0.0	0.0	0.0	0.0	2	vertical	1
8.600992	2.0	3.0	80.0	-38.7382	25172200.0	292.0	0.0	1589.0	395.0	0.0	0.0	0.0	0.0	2	vertical	1
8.701790	2.00741	2.99753	80.0	-38.8821	25466400.0	292.484	0.0	1620.0	657.0	0.0	0.0	0.0	0.0	2	vertical	1
8.802423	2.0026	3.0	80.0	-38.985	24218900.0	292.255	0.0	1538.0	496.0	0.0	0.0	0.0	0.0	2	vertical	1
8.902710	2.0	3.0	80.0	-38.7882	24526600.0	292.0	0.0	1553.0	462.0	0.0	0.0	0.0	0.0	2	vertical	1
9.002711	2.00256	3.0	80.0	-38.7826	24783000.0	292.251	0.0	1564.0	472.0	0.0	1.0	0.0	0.0	2	vertical	1
9.103073	2.00806	2.99731	80.0	-38.9704	23495400.0	292.527	0.0	1488.0	403.0	0.0	0.0	0.0	0.0	2	vertical	1
9.204104	2.0	3.0	80.0	-38.7382	24624800.0	292.0	0.0	1570.0	538.0	0.0	0.0	0.0	0.0	2	vertical	1
9.304716	2.00252	3.0	80.0	-38.7566	24979300.0	292.247	0.0	1586.0	546.0	0.0	0.0	0.0	0.0	2	vertical	1
9.404941	2.00258	3.0	80.0	-38.7689	24491100.0	292.253	0.0	1549.0	520.0	0.0	0.0	0.0	0.0	2	vertical	1
9.504986	2.00519	2.9974	80.0	-38.8513	24392400.0	292.255	0.0	1540.0	549.0	0.0	0.0	0.0	0.0	2	vertical	1
9.605605	2.00258	3.0	80.0	-38.8559	24379600.0	292.253	0.0	1548.0	461.0	0.0	0.0	0.0	0.0	2	vertical	1
9.705986	2.00254	3.0	80.0	-38.7947	24831500.0	292.249	0.0	1573.0	469.0	0.0	0.0	0.0	0.0	2	vertical	1
9.806734	2.0	3.0	80.0	-38.8857	24898300.0	292.0	0.0	1583.0	450.0	0.0	0.0	0.0	0.0	2	vertical	1
9.907223	2.00655	2.99738	80.0	-39.0865	24063800.0	292.385	0.0	1526.0	618.0	0.0	0.0	0.0	0.0	2	vertical	1
10.007972	2.00246	3.0	80.0	-38.8752	25573800.0	292.241	0.0	1626.0	308.0	0.0	0.0	0.0	0.0	2	vertical	1
