time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.103374	0.657534	1.0	20.0	-48.726	1121360.0	11.6027	0.0	73.0	53.0	0.0	1.0	1564.0	0.0	1	horizontal	1
8.205550	0.0	1.22222	20.0	-48.8333	840084.0	8.55556	0.0	54.0	36.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.307507	0.0	1.69737	21.0526	-49.7237	1183670.0	12.7237	0.0	76.0	41.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.407601	0.08	1.96	20.8	-50.55	1585520.0	15.2	0.0	100.0	57.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.507988	0.04	2.0	20.8	-50.35	1580880.0	15.2	0.0	100.0	51.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.610426	0.0	2.86432	34.8744	-51.5879	3079850.0	37.7387	0.0	199.0	140.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.711653	0.0	2.88693	40.5654	-52.2898	4431230.0	44.0389	0.0	283.0	192.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.814497	0.0	2.71956	40.5904	-52.583	4176840.0	41.31	0.0	271.0	183.0	0.0	0.0	0.0	0.0	1	horizontal	1
8.917926	0.0	2.28571	40.7882	-52.5911	3111930.0	35.3103	0.0	203.0	192.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.022024	0.0	1.96429	24.8214	-51.2768	1707130.0	17.3214	0.0	112.0	72.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.122484	0.028169	2.9507	20.5634	-48.9366	2241970.0	21.9507	0.0	142.0	74.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.225605	0.0	2.525	20.6667	-49.8333	1846180.0	18.475	0.0	120.0	82.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.327110	0.0	2.16176	21.1765	-49.4559	1063280.0	16.0735	0.0	68.0	66.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.429877	0.0	1.92391	20.8696	-50.4022	1420960.0	14.163	0.0	92.0	52.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.532754	0.115385	1.96154	20.7692	-50.4712	1604330.0	15.4231	0.0	104.0	63.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.634722	0.0384615	2.03846	20.7692	-50.4712	1618620.0	15.4231	0.0	104.0	41.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.736018	0.1	1.95	20.8	-50.21	1566690.0	14.99	0.0	100.0	47.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.837901	0.482143	1.79464	20.7143	-50.0893	1744350.0	16.7589	0.0	112.0	57.0	0.0	0.0	0.0	0.0	1	horizontal	1
9.942182	0.0769231	1.96154	20.7692	-50.2885	1582720.0	14.8846	0.0	104.0	44.0	0.0	0.0	0.0	0.0	1	horizontal	1
10.042735	0.0175439	2.45614	39.386	-52.9342	3594660.0	36.5965	0.0	228.0	170.0	0.0	0.0	0.0	0.0	1	horizontal	1
