time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100474	1.12432	2.43027	80.0	-45.3405	14587100.0	158.664	0.0	925.0	553.0	0.0	1.0	861.0	0.0	1	left	1
8.200603	1.3749	2.72998	80.0	-45.0182	19163000.0	209.374	0.0	1211.0	950.0	0.0	0.0	0.0	0.0	1	left	1
8.300603	0.855634	2.34624	80.0	-45.4847	13499600.0	138.203	0.0	852.0	502.0	0.0	0.0	0.0	0.0	1	left	1
8.402612	0.00607903	3.0	80.0	-44.5653	10220900.0	97.5957	0.0	658.0	79.0	0.0	0.0	0.0	0.0	1	left	1
8.504900	0.0182094	2.98786	80.0	-44.5903	10208500.0	97.9954	0.0	659.0	107.0	0.0	0.0	0.0	0.0	1	left	1
8.604999	0.0	3.0	80.0	-44.4815	10257500.0	97.0	0.0	648.0	125.0	0.0	0.0	0.0	0.0	1	left	1
8.706441	0.835984	2.85288	80.0	-44.827	15713300.0	169.36	0.0	1006.0	630.0	0.0	0.0	0.0	0.0	1	left	1
8.808000	0.00607903	2.99392	80.0	-44.769	10266100.0	97.2006	0.0	658.0	114.0	0.0	0.0	0.0	0.0	1	left	1
8.908142	0.697291	2.6278	80.0	-45.1154	13432800.0	141.141	0.0	849.0	579.0	0.0	0.0	0.0	0.0	1	left	1
9.009586	0.0120846	2.99396	80.0	-44.7402	10340200.0	97.7915	0.0	662.0	119.0	0.0	0.0	0.0	0.0	1	left	1
9.109616	0.394575	3.0	80.0	-44.7509	12846000.0	135.668	0.0	811.0	311.0	0.0	0.0	0.0	0.0	1	left	1
9.211270	0.366947	2.65406	80.0	-45.2857	11129100.0	110.475	0.0	714.0	347.0	0.0	0.0	0.0	0.0	1	left	1
9.313680	0.0121396	2.99393	80.0	-44.8149	10196400.0	97.7951	0.0	659.0	152.0	0.0	0.0	0.0	0.0	1	left	1
9.415289	0.0	3.0	80.0	-44.695	10276600.0	97.0	0.0	659.0	95.0	0.0	0.0	0.0	0.0	1	left	1
9.516811	0.25825	2.74749	80.0	-45.1148	10878600.0	105.895	0.0	697.0	144.0	0.0	0.0	0.0	0.0	1	left	1
9.618205	0.0	3.0	80.0	-44.7143	10282800.0	97.0	0.0	658.0	94.0	0.0	0.0	0.0	0.0	1	left	1
9.718209	0.681175	2.93036	80.0	-44.7726	14561200.0	159.229	0.0	919.0	446.0	0.0	0.0	0.0	0.0	1	left	1
9.819837	1.21725	2.08735	80.0	-46.0246	13923100.0	146.477	0.0	893.0	535.0	0.0	0.0	0.0	0.0	1	left	1
9.920813	1.41009	2.11777	80.0	-46.1209	14923100.0	160.425	0.0	951.0	543.0	0.0	0.0	0.0	0.0	1	left	1
10.021147	1.40132	2.36261	80.0	-45.8461	16723800.0	176.477	0.0	1059.0	634.0	0.0	0.0	0.0	0.0	1	left	1
10.122374	1.41309	2.28418	80.0	-45.6816	16027800.0	171.358	0.0	1024.0	748.0	0.0	0.0	0.0	0.0	1	left	1
10.223999	0.0121951	2.9939	80.0	-44.9116	10228300.0	97.7988	0.0	656.0	139.0	0.0	0.0	0.0	0.0	1	left	1
10.324542	0.00607903	3.0	80.0	-44.7462	10369700.0	97.5957	0.0	658.0	51.0	0.0	0.0	0.0	0.0	1	left	1
10.426634	0.00614439	2.99386	80.0	-44.7419	10104000.0	97.2028	0.0	651.0	98.0	0.0	0.0	0.0	0.0	1	left	1
10.526784	0.785203	2.37232	80.0	-45.6874	13258000.0	132.993	0.0	838.0	476.0	0.0	0.0	0.0	0.0	1	left	1
10.628224	0.892393	3.0	80.0	-44.782	16838700.0	184.455	0.0	1078.0	640.0	0.0	0.0	0.0	0.0	1	left	1
10.729202	0.741772	2.28861	80.0	-45.7899	12396100.0	123.453	0.0	790.0	439.0	0.0	0.0	0.0	0.0	1	left	1
10.829750	0.256186	2.74381	80.0	-45.1528	10826300.0	105.454	0.0	687.0	246.0	0.0	0.0	0.0	0.0	1	left	1
10.931818	0.659091	2.78523	80.0	-45.0602	13660900.0	147.631	0.0	880.0	414.0	0.0	0.0	0.0	0.0	1	left	1
11.033328	0.301994	2.7037	80.0	-45.1638	10957800.0	107.336	0.0	702.0	281.0	0.0	0.0	0.0	0.0	1	left	1
11.134343	0.219796	2.78603	80.0	-45.1223	10776500.0	104.632	0.0	687.0	156.0	0.0	0.0	0.0	0.0	1	left	1
11.234606	0.0	3.0	80.0	-44.8869	10477600.0	97.0	0.0	663.0	56.0	0.0	0.0	0.0	0.0	1	left	1
11.336159	0.0124224	2.99379	80.0	-44.8944	10048400.0	97.8137	0.0	644.0	181.0	0.0	0.0	0.0	0.0	1	left	1
