time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
7.153628	1.0	2.0	80.0	-55.0	25.162056	130.0	0.0	1.0	0.0	0.0	1.0	20.0		alleretour	CA	1
7.253862	5.737705	1.622951	80.0	-54.737705	128668.98791	346.688525	0.0	61.0	55.0	0.0	0.0	0.0		alleretour	CA	1
7.353886	3.550645	2.17434	80.0	-52.919583	25790152.800761	292.50706	0.0	1629.0	1066.0	0.0	0.0	0.0		alleretour	CA	1
7.453887	1.536254	3.0	80.0	-52.06571	20980344.749235	247.016616	0.0	1324.0	519.0	0.0	0.0	0.0		alleretour	CA	1
7.553996	2.001268	2.999366	80.0	-52.128091	24961999.280606	292.062143	0.0	1577.0	500.0	0.0	0.0	0.0		alleretour	CA	1
7.654093	2.002468	3.0	80.0	-52.093152	25660645.761209	292.241826	0.0	1621.0	493.0	0.0	0.0	0.0		alleretour	CA	1
7.754928	2.002551	3.0	80.0	-52.058036	24641912.154212	292.25	0.0	1568.0	419.0	0.0	0.0	0.0		alleretour	CA	1
7.855079	2.0	3.0	80.0	-52.068924	26168518.657346	292.0	0.0	1654.0	305.0	0.0	0.0	0.0		alleretour	CA	1
7.955080	2.007348	2.997551	80.0	-52.141457	25875796.142516	292.480098	0.0	1633.0	428.0	0.0	0.0	0.0		alleretour	CA	1
8.055713	2.002541	3.0	80.0	-52.123888	24785121.827837	292.249047	0.0	1574.0	458.0	0.0	0.0	0.0		alleretour	CA	1
8.156490	2.0	3.0	80.0	-52.085591	25535160.067726	292.0	0.0	1624.0	348.0	0.0	0.0	0.0		alleretour	CA	1
8.256609	2.003947	2.999342	80.0	-52.168421	24058086.850349	292.322368	0.0	1520.0	380.0	0.0	0.0	0.0		alleretour	CA	1
8.356687	2.006349	2.998095	80.0	-52.226032	24938470.742588	292.435556	0.0	1575.0	306.0	0.0	0.0	0.0		alleretour	CA	1
8.456963	2.002459	3.0	80.0	-52.324524	25709930.254779	292.240934	0.0	1627.0	464.0	0.0	0.0	0.0		alleretour	CA	1
8.557793	2.0	3.0	80.0	-52.257645	24155968.693319	292.0	0.0	1537.0	391.0	0.0	0.0	0.0		alleretour	CA	1
8.658448	2.007566	2.997478	80.0	-52.306431	24968282.766907	292.494325	0.0	1586.0	601.0	0.0	0.0	0.0		alleretour	CA	1
8.758827	2.002489	3.0	80.0	-52.185439	25368212.698099	292.243933	0.0	1607.0	382.0	0.0	0.0	0.0		alleretour	CA	1
8.858919	2.0	3.0	80.0	-52.397559	24649705.195446	292.0	0.0	1557.0	500.0	0.0	1.0	21.0		alleretour	CA	1
8.963182	2.002574	3.0	80.0	-52.326255	23618345.01113	292.252252	0.0	1554.0	539.0	0.0	0.0	0.0		alleretour	CA	1
9.063610	2.002391	3.0	80.0	-52.32636	26396751.371275	292.23431	0.0	1673.0	639.0	0.0	0.0	0.0		alleretour	CA	1
9.163843	2.005028	2.997486	80.0	-52.215588	25152123.365963	292.246386	0.0	1591.0	678.0	0.0	0.0	0.0		alleretour	CA	1
9.263850	2.002491	3.0	80.0	-52.384184	25446545.455767	292.244085	0.0	1606.0	382.0	0.0	0.0	0.0		alleretour	CA	1
9.363924	2.002514	3.0	80.0	-52.417348	25192054.254687	292.246386	0.0	1591.0	520.0	0.0	0.0	0.0		alleretour	CA	1
9.464228	2.005122	2.997439	80.0	-52.306018	24677111.159987	292.25096	0.0	1562.0	556.0	0.0	0.0	0.0		alleretour	CA	1
9.564459	2.002527	3.0	80.0	-52.307644	25026621.119712	292.247631	0.0	1583.0	442.0	0.0	0.0	0.0		alleretour	CA	1
9.664739	2.002564	3.0	80.0	-52.219872	24650986.655046	292.251282	0.0	1560.0	566.0	0.0	0.0	0.0		alleretour	CA	1
9.764749	2.0	3.0	80.0	-52.224347	24860057.089452	292.0	0.0	1569.0	659.0	0.0	0.0	0.0		alleretour	CA	1
9.865032	2.007747	2.997418	80.0	-52.267915	24476722.977365	292.506133	0.0	1549.0	634.0	0.0	0.0	0.0		alleretour	CA	1
9.965032	1.15911	3.0	80.0	-52.131904	19220698.109352	210.433636	0.0	1213.0	542.0	0.0	0.0	0.0		alleretour	CA	1
10.071853	1.598391	3.0	80.0	-52.062911	20278257.380611	253.046818	0.0	1367.0	639.0	0.0	0.0	0.0		alleretour	CA	1
10.172068	1.836169	3.0	80.0	-52.05482	25093534.768513	276.108381	0.0	1587.0	940.0	0.0	0.0	0.0		alleretour	CA	1
10.272180	2.007802	2.997399	80.0	-52.09948	24344223.309288	292.509753	0.0	1538.0	672.0	0.0	0.0	0.0		alleretour	CA	1
10.372538	2.002486	3.0	80.0	-52.193288	25404600.948954	292.24363	0.0	1609.0	571.0	0.0	0.0	0.0		alleretour	CA	1
10.472541	2.0	3.0	80.0	-52.238835	24482461.630669	292.0	0.0	1545.0	506.0	0.0	0.0	0.0		alleretour	CA	1
10.573032	2.002566	3.0	80.0	-52.230276	24583458.202962	292.251443	0.0	1559.0	494.0	0.0	0.0	0.0		alleretour	CA	1
10.675299	2.007762	2.997413	80.0	-52.168176	23954789.235398	292.507115	0.0	1546.0	730.0	0.0	0.0	0.0		alleretour	CA	1
10.776258	1.804236	3.0	80.0	-52.356868	24452852.740703	273.010911	0.0	1558.0	648.0	0.0	0.0	0.0		alleretour	CA	1
