time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
2.604323	5.0	3.0	80.0	-55.0	69.115854	702.0	0.0	1.0	0.0	0.0	1.0	32.0		approche	CA	1
2.706636	4.377049	2.650273	53.551913	-52.032787	1086114.309455	327.081967	0.0	183.0	155.0	0.0	0.0	0.0		approche	CA	1
2.809005	4.222989	2.177011	27.448276	-49.16092	12393805.980699	111.186207	0.0	435.0	435.0	0.0	0.0	0.0		approche	CA	1
2.910525	2.841538	1.733846	40.246154	-51.035385	10473065.848921	89.736923	0.0	650.0	533.0	0.0	0.0	0.0		approche	CA	1
3.010944	2.670843	2.088838	64.100228	-52.668565	16101955.08611	165.905467	0.0	878.0	802.0	0.0	0.0	0.0		approche	CA	1
3.110948	2.842163	1.449227	80.0	-53.990066	17472868.236278	160.09713	0.0	906.0	810.0	0.0	0.0	0.0		approche	CA	1
3.211203	1.004831	2.004831	80.0	-53.326087	13086699.890494	117.560386	0.0	828.0	428.0	0.0	0.0	0.0		approche	CA	1
3.312169	1.24359	1.951282	80.0	-53.582051	12240563.015981	108.307692	0.0	780.0	501.0	0.0	0.0	0.0		approche	CA	1
3.412495	0.012195	2.993902	80.0	-53.294207	10360648.966399	87.719512	0.0	656.0	30.0	0.0	0.0	0.0		approche	CA	1
3.513342	0.006182	3.0	80.0	-53.160742	10165854.299159	87.544049	0.0	647.0	49.0	0.0	0.0	0.0		approche	CA	1
3.613350	0.006135	2.993865	80.0	-53.257669	10330269.465201	87.184049	0.0	652.0	125.0	0.0	0.0	0.0		approche	CA	1
3.714941	0.006126	3.0	80.0	-53.382848	10184816.550988	87.539051	0.0	653.0	114.0	0.0	0.0	0.0		approche	CA	1
3.816136	0.006079	3.0	80.0	-53.43465	10302949.960173	87.534954	0.0	658.0	58.0	0.0	0.0	0.0		approche	CA	1
3.916951	0.0	3.0	80.0	-53.369632	10247522.486782	87.0	0.0	652.0	56.0	0.0	0.0	0.0		approche	CA	1
4.017238	0.012346	2.993827	80.0	-53.441358	10238453.418582	87.728395	0.0	648.0	121.0	0.0	0.0	0.0		approche	CA	1
4.119482	0.006042	3.0	80.0	-53.376133	10259368.998867	87.531722	0.0	662.0	30.0	0.0	0.0	0.0		approche	CA	1
4.219605	0.006192	2.993808	80.0	-53.385449	10223359.940004	87.185759	0.0	646.0	150.0	0.0	0.0	0.0		approche	CA	1
4.320931	0.00607	3.0	80.0	-53.693475	10305264.464256	87.534143	0.0	659.0	52.0	0.0	0.0	0.0		approche	CA	1
4.422887	0.006098	3.0	80.0	-53.3125	10195134.068869	87.536585	0.0	656.0	104.0	0.0	0.0	0.0		approche	CA	1
4.523729	0.0	3.0	80.0	-53.545315	10228931.529501	87.0	0.0	651.0	119.0	0.0	0.0	0.0		approche	CA	1
4.624353	0.012195	2.993902	80.0	-53.678354	10330095.738123	87.719512	0.0	656.0	133.0	0.0	0.0	0.0		approche	CA	1
4.726716	0.006135	3.0	80.0	-53.52454	10092608.284654	87.539877	0.0	652.0	142.0	0.0	0.0	0.0		approche	CA	1
4.828300	0.00607	3.0	80.0	-53.783005	10279144.807976	87.534143	0.0	659.0	80.0	0.0	0.0	0.0		approche	CA	1
4.928457	0.0	3.0	80.0	-53.835131	10267366.557542	87.0	0.0	649.0	148.0	0.0	0.0	0.0		approche	CA	1
5.029384	0.223547	2.782414	80.0	-53.859911	10534750.584502	94.052161	0.0	671.0	213.0	0.0	0.0	0.0		approche	CA	1
5.129500	0.0	3.0	80.0	-53.908951	10255629.728493	87.0	0.0	648.0	85.0	0.0	0.0	0.0		approche	CA	1
5.229769	0.941346	2.775962	80.0	-53.725	16435136.475619	156.844231	0.0	1040.0	551.0	0.0	0.0	0.0		approche	CA	1
5.329938	0.602941	2.402406	80.0	-53.748663	11832051.169395	105.237968	0.0	748.0	395.0	0.0	0.0	0.0		approche	CA	1
5.429942	1.073501	3.0	80.0	-53.622824	16383757.125003	181.468085	0.0	1034.0	547.0	0.0	0.0	0.0		approche	CA	1
5.530286	1.631349	2.301226	80.0	-53.788091	18032204.200028	175.712785	0.0	1142.0	812.0	0.0	0.0	0.0		approche	CA	1
5.630516	0.693069	2.840484	80.0	-53.385039	14369657.338871	138.738174	0.0	909.0	554.0	0.0	0.0	0.0		approche	CA	1
5.730539	0.006339	2.993661	80.0	-53.361331	9996061.921117	87.190174	0.0	631.0	167.0	0.0	0.0	0.0		approche	CA	1
5.830591	0.006061	3.0	80.0	-53.745455	10452313.612946	87.533333	0.0	660.0	81.0	0.0	0.0	0.0		approche	CA	1
5.932967	0.34375	2.65625	80.0	-54.053977	10896153.047358	97.3125	0.0	704.0	279.0	0.0	0.0	0.0		approche	CA	1
6.033787	0.753293	2.421557	80.0	-53.558084	13122843.810498	119.74012	0.0	835.0	398.0	0.0	0.0	0.0		approche	CA	1
6.133954	0.333809	2.671897	80.0	-53.940086	11088799.708503	97.345221	0.0	701.0	231.0	0.0	0.0	0.0		approche	CA	1
