time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
6.605597	2.0	3.0	80.0	-35.0	27.24962	292.0	0.0	1.0	0.0	0.0	1.0	4039.0		eloigne	CA	1
6.705709	2.3	2.9	80.0	-35.6	18778.862888	311.6	0.0	10.0	2.0	0.0	0.0	0.0		eloigne	CA	1
6.806040	2.088584	3.0	80.0	-34.768559	25318148.076537	300.681223	0.0	1603.0	317.0	0.0	0.0	0.0		eloigne	CA	1
6.906104	2.0	3.0	80.0	-34.548521	26761442.971297	292.0	0.0	1690.0	89.0	0.0	0.0	0.0		eloigne	CA	1
7.006424	2.002442	3.0	80.0	-34.284493	25872233.282992	292.239316	0.0	1638.0	202.0	0.0	0.0	0.0		eloigne	CA	1
7.107284	2.007264	2.997579	80.0	-34.358354	25953956.915962	292.474576	0.0	1652.0	226.0	0.0	0.0	0.0		eloigne	CA	1
7.207289	2.0	3.0	80.0	-34.661172	25954110.080729	292.0	0.0	1638.0	188.0	0.0	0.0	0.0		eloigne	CA	1
7.307290	2.002427	3.0	80.0	-34.618932	26113348.220746	292.237864	0.0	1648.0	163.0	0.0	0.0	0.0		eloigne	CA	1
7.408028	2.002459	3.0	80.0	-34.729564	25591947.269922	292.240934	0.0	1627.0	248.0	1015.0	1.0	26.0		eloigne	CA	1
7.508029	2.004799	2.9976	80.0	-34.303539	26414368.117383	292.235153	0.0	1667.0	163.0	0.0	0.0	0.0		eloigne	CA	1
7.608624	2.002546	3.0	80.0	-34.843412	24747456.301684	292.249523	0.0	1571.0	219.0	0.0	0.0	0.0		eloigne	CA	1
7.708924	2.002415	3.0	80.0	-34.443237	26161871.219255	292.236715	0.0	1656.0	190.0	0.0	0.0	0.0		eloigne	CA	1
7.809028	2.0	3.0	80.0	-34.479344	26054817.529967	292.0	0.0	1646.0	170.0	0.0	0.0	0.0		eloigne	CA	1
7.909736	2.007313	2.997562	80.0	-35.074954	25820214.612191	292.477757	0.0	1641.0	250.0	0.0	0.0	0.0		eloigne	CA	1
8.009774	2.002451	3.0	80.0	-34.846814	25850651.376817	292.240196	0.0	1632.0	128.0	0.0	0.0	0.0		eloigne	CA	1
8.110159	2.0	3.0	80.0	-34.922553	25476984.432548	292.0	0.0	1614.0	172.0	1794.0	1.0	31.0		eloigne	CA	1
8.210651	2.002433	3.0	80.0	-34.680049	25922599.095033	292.238443	0.0	1644.0	253.0	0.0	0.0	0.0		eloigne	CA	1
8.311276	2.007229	2.99759	80.0	-34.888554	26140468.061504	292.472289	0.0	1660.0	174.0	0.0	0.0	0.0		eloigne	CA	1
8.411341	2.0	3.0	80.0	-34.900062	25511455.969946	292.0	0.0	1611.0	297.0	0.0	0.0	0.0		eloigne	CA	1
8.512039	2.002483	3.0	80.0	-34.865301	25350816.767561	292.243327	0.0	1611.0	254.0	2377.0	1.0	23.0		eloigne	CA	1
8.612278	2.002439	3.0	80.0	-34.818293	25925118.448406	292.239024	0.0	1640.0	153.0	0.0	0.0	0.0		eloigne	CA	1
8.712700	2.004911	2.997545	80.0	-34.990792	25704001.696368	292.240638	0.0	1629.0	198.0	2319.0	1.0	28.0		eloigne	CA	1
8.812921	2.002502	3.0	80.0	-34.982489	25256852.300761	292.245153	0.0	1599.0	246.0	0.0	0.0	0.0		eloigne	CA	1
