time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100946	0.0125392	2.99373	80.0	-60.8809	10014600.0	97.8213	0.0	638.0	93.0	0.0	1.0	767.0	0.0	3	vertical	0
8.201486	0.0	3.0	80.0	-61.2329	10149300.0	97.0	0.0	644.0	250.0	0.0	0.0	0.0	0.0	3	vertical	0
8.301859	0.0124805	2.99376	80.0	-61.415	10119200.0	97.8175	0.0	641.0	283.0	0.0	0.0	0.0	0.0	3	vertical	0
8.402059	0.0723781	3.0	80.0	-61.935	10705700.0	104.093	0.0	677.0	228.0	0.0	0.0	0.0	0.0	3	vertical	0
8.505480	0.607143	2.68103	80.0	-61.4815	12440200.0	137.271	0.0	812.0	559.0	0.0	0.0	0.0	0.0	3	vertical	0
8.606394	0.0258621	2.12284	80.0	-61.2802	7286400.0	70.0431	0.0	464.0	181.0	0.0	0.0	0.0	0.0	3	vertical	0
8.707833	0.826446	2.73244	80.0	-61.8709	15120100.0	160.6	0.0	968.0	620.0	0.0	0.0	0.0	0.0	3	vertical	0
8.809428	0.585885	2.41944	80.0	-60.992	11712500.0	116.68	0.0	751.0	397.0	0.0	0.0	0.0	0.0	3	vertical	0
8.910174	0.0	3.0	80.0	-61.2818	10270000.0	97.0	0.0	653.0	225.0	0.0	0.0	0.0	0.0	3	vertical	0
9.012307	0.0121581	2.99392	80.0	-61.5213	10208600.0	97.7964	0.0	658.0	88.0	0.0	0.0	0.0	0.0	3	vertical	0
9.114018	0.0060423	3.0	80.0	-62.1027	10313100.0	97.5921	0.0	662.0	118.0	0.0	0.0	0.0	0.0	3	vertical	0
9.215285	0.0	3.0	80.0	-61.9344	10248600.0	97.0	0.0	655.0	211.0	0.0	0.0	0.0	0.0	3	vertical	0
9.316829	0.00607903	3.0	80.0	-61.3815	10267600.0	97.5957	0.0	658.0	192.0	0.0	0.0	0.0	0.0	3	vertical	0
9.417193	0.0123648	2.99382	80.0	-61.711	10214700.0	97.8099	0.0	647.0	177.0	0.0	0.0	0.0	0.0	3	vertical	0
9.518013	0.0	3.0	80.0	-61.5096	9807080.0	97.0	0.0	624.0	151.0	0.0	1.0	0.0	0.0	3	vertical	0
9.618280	0.920978	2.83161	80.0	-61.477	16797400.0	176.31	0.0	1063.0	753.0	0.0	0.0	0.0	0.0	3	vertical	0
9.720444	0.0214395	2.98469	80.0	-61.758	10127900.0	98.1057	0.0	653.0	196.0	0.0	0.0	0.0	0.0	3	vertical	0
9.821775	0.00607903	3.0	80.0	-61.5365	10289100.0	97.5957	0.0	658.0	154.0	0.0	0.0	0.0	0.0	3	vertical	0
9.921931	0.00630915	2.99369	80.0	-61.6956	10030200.0	97.2082	0.0	634.0	196.0	0.0	0.0	0.0	0.0	3	vertical	0
10.023204	0.447174	2.95455	80.0	-61.8145	12735100.0	137.869	0.0	814.0	520.0	0.0	0.0	0.0	0.0	3	vertical	0
10.125272	0.0121951	2.9939	80.0	-60.9649	10183900.0	97.7988	0.0	656.0	178.0	0.0	0.0	0.0	0.0	3	vertical	0
10.225382	0.379618	3.0	80.0	-61.8497	12424800.0	134.203	0.0	785.0	273.0	0.0	0.0	0.0	0.0	3	vertical	0
10.325948	0.711656	2.45521	80.0	-61.1853	12840800.0	131.331	0.0	815.0	463.0	0.0	0.0	0.0	0.0	3	vertical	0
10.426659	0.450928	2.73873	80.0	-62.2838	11862500.0	124.208	0.0	754.0	427.0	0.0	0.0	0.0	0.0	3	vertical	0
10.528649	0.0060423	2.99396	80.0	-61.3429	10284900.0	97.1994	0.0	662.0	88.0	0.0	0.0	0.0	0.0	3	vertical	0
10.629914	0.00612557	3.0	80.0	-62.5222	10217800.0	97.6003	0.0	653.0	202.0	0.0	0.0	0.0	0.0	3	vertical	0
10.730591	0.27973	2.99459	80.0	-61.6784	11646700.0	124.062	0.0	740.0	300.0	0.0	0.0	0.0	0.0	3	vertical	0
10.830598	0.736425	2.66176	80.0	-61.4695	14005300.0	147.184	0.0	884.0	626.0	0.0	0.0	0.0	0.0	3	vertical	0
10.930749	0.952565	2.80058	80.0	-61.3979	16343100.0	177.389	0.0	1033.0	703.0	0.0	0.0	0.0	0.0	3	vertical	0
11.032688	0.0660661	2.93994	80.0	-61.2432	10352300.0	99.5706	0.0	666.0	138.0	0.0	0.0	0.0	0.0	3	vertical	0
11.132773	0.262873	3.0	80.0	-61.6883	11683900.0	122.762	0.0	738.0	214.0	0.0	0.0	0.0	0.0	3	vertical	0
